object_id,state,reservation_name,clipped_acres,lessee
25279,OK,Kiowa-Comanche-Apache-Fort Sill Apache,41.15,
25281,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.65,
25280,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.33,
25283,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.01,
25282,OK,Kiowa-Comanche-Apache-Fort Sill Apache,41.06,
26109,OK,Kiowa-Comanche-Apache-Fort Sill Apache,37.98,
26107,OK,Kiowa-Comanche-Apache-Fort Sill Apache,38.48,
26108,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.81,
26106,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.59,
26120,OK,Kiowa-Comanche-Apache-Fort Sill Apache,38.07,
25118,OK,Kiowa-Comanche-Apache-Fort Sill Apache,38.47,
25119,OK,Kiowa-Comanche-Apache-Fort Sill Apache,38.5,
25269,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.35,
25270,OK,Kiowa-Comanche-Apache-Fort Sill Apache,38.6,
25272,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.67,
25271,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.76,
25275,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.98,
25276,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.17,
25278,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.99,
25277,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.61,
26080,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.05,
26078,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.81,
25389,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.92,
25390,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.66,
25391,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.71,
25392,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.82,
26081,OK,Kiowa-Comanche-Apache-Fort Sill Apache,41.37,
26079,OK,Kiowa-Comanche-Apache-Fort Sill Apache,41.34,
25388,OK,Kiowa-Comanche-Apache-Fort Sill Apache,41.88,
25385,OK,Kiowa-Comanche-Apache-Fort Sill Apache,41.22,
25386,OK,Kiowa-Comanche-Apache-Fort Sill Apache,41.09,
25387,OK,Kiowa-Comanche-Apache-Fort Sill Apache,41.79,
26128,OK,Kiowa-Comanche-Apache-Fort Sill Apache,41.06,
26127,OK,Kiowa-Comanche-Apache-Fort Sill Apache,23.1,
26130,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.04,
26129,OK,Kiowa-Comanche-Apache-Fort Sill Apache,38.01,
26126,OK,Kiowa-Comanche-Apache-Fort Sill Apache,38.68,
25273,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.62,
25274,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.48,
25328,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.68,
25329,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.06,
25325,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.93,
25326,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.11,
25324,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.81,
25327,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.41,
25330,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.39,
25903,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.68,
25904,OK,Kiowa-Comanche-Apache-Fort Sill Apache,38.84,
25331,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.89,
25902,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.96,
25905,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.12,
25332,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.15,
25384,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.65,
25333,OK,Kiowa-Comanche-Apache-Fort Sill Apache,42.02,
25383,OK,Kiowa-Comanche-Apache-Fort Sill Apache,41.29,
25382,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.31,
25334,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.71,
25335,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.96,
25899,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.93,
25898,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.07,
26121,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.02,
25320,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.52,
25323,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.67,
25322,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.76,
25321,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.29,
26099,OK,Kiowa-Comanche-Apache-Fort Sill Apache,42.51,
26123,OK,Kiowa-Comanche-Apache-Fort Sill Apache,42.51,
26098,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.9,
26124,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.9,
26100,OK,Kiowa-Comanche-Apache-Fort Sill Apache,41.13,
25900,OK,Kiowa-Comanche-Apache-Fort Sill Apache,41.05,
25901,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.16,
25159,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.15,
26102,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.75,
25158,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.83,
26103,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.34,
25309,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.25,
25310,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.17,
26101,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.85,
26104,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.06,
25343,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.08,
25336,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.42,
25308,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.9,
25307,OK,Kiowa-Comanche-Apache-Fort Sill Apache,38.99,
25297,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.85,
26125,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.31,
26105,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.31,
25381,OK,Kiowa-Comanche-Apache-Fort Sill Apache,41.4,
25366,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.35,
25342,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.94,
25305,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.71,
25337,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.55,
25304,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.93,
25303,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.9,
25302,OK,Kiowa-Comanche-Apache-Fort Sill Apache,38.88,
25296,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.35,
25298,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.06,
25380,OK,Kiowa-Comanche-Apache-Fort Sill Apache,41.38,
25367,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.99,
25340,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.94,
26122,OK,Kiowa-Comanche-Apache-Fort Sill Apache,41.13,
25311,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.81,
25317,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.94,
25316,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.88,
25313,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.92,
25312,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.82,
25290,OK,Kiowa-Comanche-Apache-Fort Sill Apache,38.98,
25319,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.98,
25318,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.66,
25314,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.27,
25315,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.37,
25293,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.29,
25288,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.3,
25289,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.6,
25294,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.39,
25295,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.06,
25347,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.94,
25346,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.83,
25265,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.78,
25266,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.05,
26111,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.92,
26110,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.01,
26112,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.07,
26113,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.42,
26263,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.58,
26262,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.07,
25935,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.61,
25936,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.52,
25408,OK,Kiowa-Comanche-Apache-Fort Sill Apache,41.47,
25411,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.81,
26116,OK,Kiowa-Comanche-Apache-Fort Sill Apache,38.61,
26117,OK,Kiowa-Comanche-Apache-Fort Sill Apache,30.06,
26119,OK,Kiowa-Comanche-Apache-Fort Sill Apache,14.87,
26118,OK,Kiowa-Comanche-Apache-Fort Sill Apache,25.62,
26115,OK,Kiowa-Comanche-Apache-Fort Sill Apache,22.95,
26114,OK,Kiowa-Comanche-Apache-Fort Sill Apache,24.62,
25291,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.73,
25292,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.85,
25117,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.68,
26145,OK,Kiowa-Comanche-Apache-Fort Sill Apache,38.94,
25267,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.13,
25268,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.39,
25285,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.13,
25286,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.52,
25284,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.35,
25287,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.02,
25405,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.86,
25404,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.21,
25402,OK,Kiowa-Comanche-Apache-Fort Sill Apache,41.67,
25403,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.32,
26146,OK,Kiowa-Comanche-Apache-Fort Sill Apache,32.68,
26147,OK,Kiowa-Comanche-Apache-Fort Sill Apache,15.29,
26158,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.07,
26149,OK,Kiowa-Comanche-Apache-Fort Sill Apache,47.44,
26148,OK,Kiowa-Comanche-Apache-Fort Sill Apache,14.5,
26150,OK,Kiowa-Comanche-Apache-Fort Sill Apache,12.36,
26156,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.11,
26157,OK,Kiowa-Comanche-Apache-Fort Sill Apache,38.32,
26155,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.27,
25162,OK,Kiowa-Comanche-Apache-Fort Sill Apache,41.07,
25163,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.51,
25167,OK,Kiowa-Comanche-Apache-Fort Sill Apache,42.84,
26220,OK,Kiowa-Comanche-Apache-Fort Sill Apache,42.84,
25166,OK,Kiowa-Comanche-Apache-Fort Sill Apache,42.33,
26217,OK,Kiowa-Comanche-Apache-Fort Sill Apache,42.33,
26222,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.77,
25161,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.77,
25160,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.71,
26221,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.71,
26154,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.1,
26152,OK,Kiowa-Comanche-Apache-Fort Sill Apache,41.13,
26153,OK,Kiowa-Comanche-Apache-Fort Sill Apache,41.62,
25494,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.26,
25495,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.24,
25492,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.66,
25496,OK,Kiowa-Comanche-Apache-Fort Sill Apache,38.69,
25497,OK,Kiowa-Comanche-Apache-Fort Sill Apache,38.76,
