,Township,TownshipFull,Range,RangeFull,Section,SectionFull,Edited_PLSS,Description and Class,Description,Formatted_Description,Aliquot_Description,MATCH_TERM,Mineral Acres,County,Notes,Code,Beneficiary
0,99,99,70.0,70.0,16,SN16,099070SN16,"LOTS, 1,2,3,4 - C",1,L1,L1,099070SN16L1,172.45,Charles Mix,,C,Common School
1,4,4,6.0,6.0,7,SN07,004006SN07,"LOTS, 1,2,4,5,6,7,8, N2NE, SE4NE, SE4SW, NW4SE - I",1,L1,L1,004006SN07L1,429.72,Custer,,I,Indemnity
2,116,116,67.0,67.0,6,SN06,116067SN06,"LOTS 1, 2, S2NE, SE4 - R",2,L2,L2,116067SN06L2,342.94,Hand,,R,Rural Credit
3,101,101,66.0,66.0,5,SN05,101066SN05,"LOTS 3, 4, S2NW - R",4,L4,L4,101066SN05L4,154.88,Aurora,,R,Rural Credit
4,99,99,69.0,69.0,31,SN31,099069SN31,"LOTS 3, 4, E2SW, SE4 - R",4,L4,L4,099069SN31L4,320.25,Charles Mix,,R,Rural Credit
5,102,102,62.0,62.0,3,SN03,102062SN03,"LOTS 3, 4, S2NW - R",4,L4,L4,102062SN03L4,164.48,Davison,,R,Rural Credit
6,110,110,76.0,76.0,4,SN04,110076SN04,"LOTS 3, 4, S2NW, SW4 - R",4,L4,L4,110076SN04L4,319.82,Hughes,,R,Rural Credit
7,97,97,64.0,64.0,16,SN16,097064SN16,"LOTS 2, 5, 6 - C",5,L5,L5,097064SN16L5,61.4,Charles Mix,,C,Common School
8,4,4,28.0,28.0,1,SN01,004028SN01,"LOTS 4, 6, NW4NW - R",6,L6,L6,004028SN01L6,115.35,Jones,,R,Rural Credit
9,97,97,64.0,64.0,16,SN16,097064SN16,"LOTS 2, 5, 6 - C",6,L6,L6,097064SN16L6,61.4,Charles Mix,,C,Common School
10,17,17,25.0,25.0,5,SN05,017025SN05,"LOTS 7, 8, S2N2 - R",8,L8,L8,017025SN05L8,205.36,Dewey,,R,Rural Credit
11,124,124,55.0,55.0,5,SN05,124055SN05,"LOTS 7, 8 - A",8,L8,L8,124055SN05L8,53.98,Day,,A,College of Agriculture
12,111,111,72.0,72.0,31,SN31,111072SN31,"LOTS 1,2, 9, 10, SE4 - R",9,L9,L9,111072SN31L9,318.84,Hyde,,R,Rural Credit
13,7,7,20.0,20.0,11,SN11,007020SN11,"LOTS 8, 9 - R",9,L9,L9,007020SN11L9,58.7,Haakon,,R,Rural Credit
14,5,5,12.0,12.0,31,SN31,005012SN31,"LOTS 8, 9 - R",9,L9,L9,005012SN31L9,95.4,Meade,,R,Rural Credit
15,111,111,72.0,72.0,31,SN31,111072SN31,"LOTS 1,2, 9, 10, SE4 - R",10,L10,L10,111072SN31L10,318.84,Hyde,,R,Rural Credit
16,127,127,56.0,56.0,19,SN19,127056SN19,"LOTS 9, 10, 11 - T",10,L10,L10,127056SN19L10,14.21,Marshall,,T,Training School
17,95,95,67.0,67.0,35,SN35,095067SN35,"LOTS 1,2,3,10 - R",10,L10,L10,095067SN35L10,128.96,Gregory,,R,Rural Credit
18,4,4,19.0,19.0,15,SN15,004019SN15,"LOTS 4,5,9,10 - R",10,L10,L10,004019SN15L10,120.95,Jackson,,R,Rural Credit
19,40,40,28.0,28.0,5,SN05,040028SN05,"LOTS 9,10 - I",10,L10,L10,040028SN05L10,80.0,Mellette,,I,Indemnity
20,3,3,6.0,6.0,1,SN01,003006SN01,"LOTS 6,7, 11,12, 18-26 incl. - I",11,L11,L11,003006SN01L11,471.89,Custer,,I,Indemnity
21,127,127,56.0,56.0,19,SN19,127056SN19,"LOTS 9, 10, 11 - T",11,L11,L11,127056SN19L11,14.21,Marshall,,T,Training School
22,3,3,22.0,22.0,32,SN32,003022SN32,"LOTS 8,9,10,11 - R",11,L11,L11,003022SN32L11,101.1,Jackson,,R,Rural Credit
23,3,3,6.0,6.0,19,SN19,003006SN19,"LOTS 1,2,4,9, 12, E2SE - I",12,L12,L12,003006SN19L12,205.18,Custer,,I,Indemnity
24,98,98,69.0,69.0,34,SN34,098069SN34,"LOTS 10,11,12 - C",12,L12,L12,098069SN34L12,98.05,Charles Mix,,C,Common School
25,95,95,66.0,66.0,6,SN06,095066SN06,"LOTS 2,3,8,9,10,11,12 - R",12,L12,L12,095066SN06L12,170.04,Gregory,,R,Rural Credit
26,112,112,75.0,75.0,2,SN02,112075SN02,"LOTS 5,6,11,12 - R",12,L12,L12,112075SN02L12,160.0,Hughes,,R,Rural Credit
27,112,112,71.0,71.0,2,SN02,112071SN02,"LOTS 6,7,8,9,10,11,12 - R",12,L12,L12,112071SN02L12,280.0,Hyde,,R,Rural Credit
28,127,127,67.0,67.0,7,SN07,127067SN07,"LOTS 1,2,3,4,5,6,7,8,9,10,11,12 - A",12,L12,L12,127067SN07L12,422.52,McPherson,,A,College of Agriculture
29,40,40,27.0,27.0,3,SN03,040027SN03,"LOTS 5,6,7,8,9,10,11,12 - R",12,L12,L12,040027SN03L12,320.0,Mellette,,R,Rural Credit
30,43,43,28.0,28.0,22,SN22,043028SN22,"LOTS 5,6,10,11,12 - R",12,L12,L12,043028SN22L12,141.81,Mellette,,R,Rural Credit
31,103,103,76.0,76.0,36,SN36,103076SN36,"LOTS 9,10,11,13 - C",13,L13,L13,103076SN36L13,68.1,Tripp,,C,Common School
32,112,112,76.0,76.0,5,SN05,112076SN05,"LOTS 11,12,13,14 - R",14,L14,L14,112076SN05L14,160.0,Hughes,,R,Rural Credit
33,112,112,80.0,80.0,5,SN05,112080SN05,"LOTS 7,8,9,10,11,12,13,14 - A",14,L14,L14,112080SN05L14,373.38,Hughes,,A,College of Agriculture
34,112,112,80.0,80.0,6,SN06,112080SN06,"LOTS 13,14 - I",14,L14,L14,112080SN06L14,48.85,Hughes,,I,Indemnity
35,111,111,77.0,77.0,6,SN06,111077SN06,"LOTS 1,2,3,4,5,6,7,8,9,10,15,16 - R",16,L16,L16,111077SN06L16,454.77,Hughes,,R,Rural Credit
36,112,112,72.0,72.0,3,SN03,112072SN03,"LOTS 9,10,15,16 - R",16,L16,L16,112072SN03L16,160.0,Hyde,,R,Rural Credit
37,108,108,69.0,69.0,4,SN04,108069SN04,"LOTS 5,6,7,8,9,10,11,12 E2W2SE E2SE - R",10,L10,L10,108069SN04L10,440.0,Buffalo,,R,Rural Credit
38,108,108,69.0,69.0,6,SN06,108069SN06,"LOTS 1,2,3,4,5,6,7,8,9,10,11,12,13,14, E2SW, SE4 - R",10,L10,L10,108069SN06L10,716.01,Buffalo,,R,Rural Credit
