OBJECTID,county,trust_name,lease_status,lessee,township,range,section,aliquot,acres,trs - Copy
160548,Yuma,PERM COMMON SCHOOLS,Y,Cocopah Indian Tribe,9S,23W,32,E2NW N2N2SW N2S2NWSW SENESW,140,9S - 23W - 32
160577,Yuma,PERM COMMON SCHOOLS,N,,9S,24W,36,E2 LYING E OF DOR 93-102385 EX PATENTS 53-101880 553 AND 674,189.55,9S - 24W - 36
160580,Yuma,PERM COMMON SCHOOLS,N,,9S,24W,36,W 33FT OF W2W2 EX N 72FT,3.95,9S - 24W - 36
160620,Yuma,PERM COMMON SCHOOLS,Y,Lee A. Consaul Co Inc,9S,25W,36,LOTS 1 AND 5 THRU 10 S2N2 S2,639.78,9S - 25W - 36
161197,Lapaz,PERM COMMON SCHOOLS,N,,4N,21W,36,E2,320,4N - 21W - 36
161246,Lapaz,PERM COMMON SCHOOLS,N,,3N,21W,2,E2 S2NW E2SW NWSW,520,3N - 21W - 2
161249,Lapaz,PERM COMMON SCHOOLS,N,,8N,19W,16,LOTS 1 THRU 4 E2 E2SW,504.72,8N - 19W - 16
161375,Lapaz,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Jason Schickedanz,7N,19W,19,LOTS 1 THRU 4 E2W2 E2,632.87,7N - 19W - 19
161403,Lapaz,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Jason Schickedanz,7N,19W,18,LOTS 1 THRU 4 E2SW E2,501.16,7N - 19W - 18
161717,Lapaz,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Jason Schickedanz,8N,19W,4,LOTS 6 THRU 8,80.67,8N - 19W - 4
161729,Lapaz,PERM COMMON SCHOOLS (INDMTY SELEC),N,,4N,22W,36,LOTS 5 6 7,55.43,4N - 22W - 36
161741,Lapaz,PERM COMMON SCHOOLS (INDMTY SELEC),N,,8N,19W,20,LOTS 5 THRU 7,79.82,8N - 19W - 20
161743,Lapaz,PERM COMMON SCHOOLS (INDMTY SELEC),N,,10N,19W,34,LOTS 5 6 E2NE N2NESE,168.81,10N - 19W - 34
161758,Lapaz,PERM COMMON SCHOOLS (INDMTY SELEC),N,,3N,21W,5,LOTS 5 THRU 8 SWNW S2 EX PAT 7186 LY IN SESE,461.06,3N - 21W - 5
161759,Lapaz,PERM COMMON SCHOOLS (INDMTY SELEC),N,,3N,22W,1,LOTS 1 THRU 4 S2N2 N2N2SW N2SE N2SESE EX PAT 7268 LY IN N2N2SW,349.14,3N - 22W - 1
161770,Lapaz,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Jason Schickedanz,8N,19W,3,LOTS 1 THRU 4 S2N2 S2,556,8N - 19W - 3
161775,Lapaz,PERM COMMON SCHOOLS (INDMTY SELEC),N,,8N,19W,9,LOTS 4 THRU 7 SWSE E2E2,291.76,8N - 19W - 9
161776,Lapaz,PERM COMMON SCHOOLS (INDMTY SELEC),Y,"U.S. FARMING SOLUTIONS, LLC",9N,19W,2,LOTS 1 THRU 6 S2NE SENW,363.67,9N - 19W - 2
161777,Lapaz,PERM COMMON SCHOOLS (INDMTY SELEC),Y,"U.S. FARMING SOLUTIONS, LLC",9N,19W,11,LOTS 5 6 SE M&B IN LOTS 3 4 N2N2NENW S2NE,313.98,9N - 19W - 11
161788,Lapaz,PERM COMMON SCHOOLS (INDMTY SELEC),Y,"U.S. FARMING SOLUTIONS, LLC",9N,19W,2,LOT 7,22.23,9N - 19W - 2
161789,Lapaz,PERM COMMON SCHOOLS (INDMTY SELEC),Y,"U.S. FARMING SOLUTIONS, LLC",9N,19W,3,LOT 7,13.02,9N - 19W - 3
161801,Lapaz,PERM COMMON SCHOOLS (INDMTY SELEC),N,,3N,21W,4,LOTS 6 7 8 N2SW NWSE AND N2N2S2SW LY N OF PAT 7186 SWSE LY N OF PAT 7186 AND INTERSTATE 10,247.68,3N - 21W - 4
161802,Lapaz,PERM COMMON SCHOOLS (INDMTY SELEC),N,,3N,21W,6,LOTS 1 THRU 7 S2NE SENW E2SW SE,530.37,3N - 21W - 6
160479,Yuma,PENITENTIARY LAND FUND,Y,"Cha Cha, L.L.C. Et Al",8S,23W,13,SLD LEASE PARCEL 1,309.83,8S - 23W - 13
160484,Yuma,PENITENTIARY LAND FUND,N,,8S,23W,23,PRESENT COLORADO RIVER IN N2 AND ABANDONED COLORADO RIVER CHANNEL IN NW,158.16,8S - 23W - 23
160499,Yuma,PENITENTIARY LAND FUND,N,,8S,23W,22,LOTS 1 2 3 7,177.33,8S - 23W - 22
160500,Yuma,PENITENTIARY LAND FUND,N,,8S,23W,24,ALL LY NLY OF LEFT BANK OF PRESENT COLORADO RIVER EX YIR IN N2NWNW AND W2 OF ABANDONED COLORADO RIVER CHANNEL IN W2NENW AND N2NWNW,321.85,8S - 23W - 24
160503,Yuma,PENITENTIARY LAND FUND,N,,8S,23W,15,L1 TO 4 S2SE,213.58,8S - 23W - 15
160790,Yuma,PERM COMMON SCHOOLS (INDMTY SELEC),N,,7S,11W,29,ALL,640,7S - 11W - 29
161103,Yuma,NAVIGABLE STREAMBEDS,Y,"Cha Cha, L.L.C. Et Al",8S,23W,13,SLD LEASE PARCEL 8,29.04,8S - 23W - 13
154595,Pinal,MINERS HSPTL-DISABLED MINERS,N,,4S,8E,10,SE,160,4S - 8E - 10
154596,Pinal,MINERS HSPTL-DISABLED MINERS,N,,4S,8E,15,E2,320,4S - 8E - 15
154599,Pinal,MINERS HSPTL-DISABLED MINERS,N,,5S,6E,15,N2,320,5S - 6E - 15
154600,Pinal,MINERS HSPTL-DISABLED MINERS,N,,5S,6E,14,ALL,640,5S - 6E - 14
154651,Pinal,NORMAL SCHOOL,N,,4S,8E,3,LOTS 1 2 S2NE SE,317.95,4S - 8E - 3
154833,Pinal,PERM COMMON SCHOOLS,N,,4S,2E,16,M&B IN N2N2 S2N2 S2,561.21,4S - 2E - 16
154834,Pinal,PERM COMMON SCHOOLS,Y,"Arizona Soaring, Inc.",4S,2E,16,W 2600FT E 4100FT N2N2,78.79,4S - 2E - 16
154835,Pinal,PERM COMMON SCHOOLS,Y,Troy Skousen Farms LLC,4S,3E,16,E2 M&B IN NW,336.42,4S - 3E - 16
154862,Pinal,PERM COMMON SCHOOLS,N,,5S,6E,16,W2NW SENW SW W2SE AND W2NE SWSENE NENW E2SE LY SWLY OF (I-10) PAT 5714,515.58,5S - 6E - 16
154863,Pinal,PERM COMMON SCHOOLS,Y,Crown Atlantic Company LLC,5S,6E,16,M&B IN NWNE,6.34,5S - 6E - 16
154901,Pinal,PERM COMMON SCHOOLS,N,,5S,6E,16,NENE AND NWNE NENESWNE SENE E2NESE LY NELY OF (I-10) PAT 5714,86.78,5S - 6E - 16
154902,Pinal,PERM COMMON SCHOOLS,N,,4S,3E,16,SWSWNW EX 53-94816-01 SW M&B IN NW,289.79,4S - 3E - 16
155467,Pinal,PERM COMMON SCHOOLS (INDMTY SELEC),N,,4S,2E,17,ALL,640,4S - 2E - 17
156759,Pinal,SCHOOL OF MINES,N,,5S,4E,12,ALL,640,5S - 4E - 12
144064,Coconino,AGRICULTURE & MECHANICAL CLLGE,Y,Hopi Tribe,16N,14E,8,ALL,640,16N - 14E - 8
144065,Coconino,AGRICULTURE & MECHANICAL CLLGE,Y,Hopi Tribe,16N,14E,10,M&B IN SEC N OF THE MIDDLE OF THE WATERCOURSE OF CLEAR CREEK CANYON,599.5,16N - 14E - 10
