OBJECTID,state,managing_agency,rights_type,state_enabling_act,,county,trust_name,activity,activity_info,township,range,section,aliquot,acres,gis_acres
206830,AZ,State Land Department,Surface,36 Stat. 557-579 (1910),,Yuma,PERM COMMON SCHLS,Unleased Parcels,layer_index: AZ-Surface Activities activity: Unleased Parcels lease_status: N lessee: ,9S,24W,36,E2 LYING E OF DOR 93-102385 EX PATENTS 53-101880 553 AND 674,189.550000000000011,185.541
206833,AZ,State Land Department,Surface,36 Stat. 557-579 (1910),,Yuma,PERM COMMON SCHLS,Unleased Parcels,layer_index: AZ-Surface Activities activity: Unleased Parcels lease_status: N lessee: ,9S,24W,36,W 33FT OF W2W2 EX N 72FT,3.950000000000000,3.952
206873,AZ,State Land Department,Surface,36 Stat. 557-579 (1910),,Yuma,PERM COMMON SCHLS,Agriculture,layer_index: AZ-Surface Activities activity: Agriculture lease_status: Y lessee: Lee A. Consaul Co Inc,9S,25W,36,LOTS 1 AND 5 THRU 10 S2N2 S2,639.779999999999973,639.48
207452,AZ,State Land Department,Surface,36 Stat. 557-579 (1910),,Lapaz,PERM COMMON SCHLS,Unleased Parcels,layer_index: AZ-Surface Activities activity: Unleased Parcels lease_status: N lessee: ,4N,21W,36,E2,320.000000000000000,321.235
207501,AZ,State Land Department,Surface,36 Stat. 557-579 (1910),,Lapaz,PERM COMMON SCHLS,Unleased Parcels,layer_index: AZ-Surface Activities activity: Unleased Parcels lease_status: N lessee: ,3N,21W,2,E2 S2NW E2SW NWSW,520.000000000000000,519.008
207504,AZ,State Land Department,Surface,36 Stat. 557-579 (1910),,Lapaz,PERM COMMON SCHLS,Unleased Parcels,layer_index: AZ-Surface Activities activity: Unleased Parcels lease_status: N lessee: ,8N,19W,16,LOTS 1 THRU 4 E2 E2SW,504.720000000000027,504.826
207658,AZ,State Land Department,Surface,36 Stat. 557-579 (1910),,Lapaz,PERM CMN SCHLS (INDMTY SELEC),Grazing Lease,layer_index: AZ-Surface Activities activity: Grazing Lease lease_status: Y lessee: Jason Schickedanz,7N,19W,18,LOTS 1 THRU 4 E2SW E2,501.160000000000025,501.414
207973,AZ,State Land Department,Surface,36 Stat. 557-579 (1910),,Lapaz,PERM CMN SCHLS (INDMTY SELEC),Grazing Lease,layer_index: AZ-Surface Activities activity: Grazing Lease lease_status: Y lessee: Jason Schickedanz,8N,19W,4,LOTS 6 THRU 8,80.670000000000002,80.7
207985,AZ,State Land Department,Surface,36 Stat. 557-579 (1910),,Lapaz,PERM CMN SCHLS (INDMTY SELEC),Unleased Parcels,layer_index: AZ-Surface Activities activity: Unleased Parcels lease_status: N lessee: ,4N,22W,36,LOTS 5 6 7,55.430000000000000,56.465
207997,AZ,State Land Department,Surface,36 Stat. 557-579 (1910),,Lapaz,PERM CMN SCHLS (INDMTY SELEC),Unleased Parcels,layer_index: AZ-Surface Activities activity: Unleased Parcels lease_status: N lessee: ,8N,19W,20,LOTS 5 THRU 7,79.819999999999993,79.861
207999,AZ,State Land Department,Surface,36 Stat. 557-579 (1910),,Lapaz,PERM CMN SCHLS (INDMTY SELEC),Unleased Parcels,layer_index: AZ-Surface Activities activity: Unleased Parcels lease_status: N lessee: ,10N,19W,34,LOTS 5 6 E2NE N2NESE,168.810000000000002,169.392
208014,AZ,State Land Department,Surface,36 Stat. 557-579 (1910),,Lapaz,PERM CMN SCHLS (INDMTY SELEC),Unleased Parcels,layer_index: AZ-Surface Activities activity: Unleased Parcels lease_status: N lessee: ,3N,21W,5,LOTS 5 THRU 8 SWNW S2 EX PAT 7186 LY IN SESE,461.060000000000002,464.378
208015,AZ,State Land Department,Surface,36 Stat. 557-579 (1910),,Lapaz,PERM CMN SCHLS (INDMTY SELEC),Unleased Parcels,layer_index: AZ-Surface Activities activity: Unleased Parcels lease_status: N lessee: ,3N,22W,1,LOTS 1 THRU 4 S2N2 N2N2SW N2SE N2SESE EX PAT 7268 LY IN N2N2SW,349.139999999999986,349.709
208026,AZ,State Land Department,Surface,36 Stat. 557-579 (1910),,Lapaz,PERM CMN SCHLS (INDMTY SELEC),Grazing Lease,layer_index: AZ-Surface Activities activity: Grazing Lease lease_status: Y lessee: Jason Schickedanz,8N,19W,3,LOTS 1 THRU 4 S2N2 S2,556.000000000000000,555.891
208031,AZ,State Land Department,Surface,36 Stat. 557-579 (1910),,Lapaz,PERM CMN SCHLS (INDMTY SELEC),Unleased Parcels,layer_index: AZ-Surface Activities activity: Unleased Parcels lease_status: N lessee: ,8N,19W,9,LOTS 4 THRU 7 SWSE E2E2,291.759999999999991,291.791
208032,AZ,State Land Department,Surface,36 Stat. 557-579 (1910),,Lapaz,PERM CMN SCHLS (INDMTY SELEC),Grazing Lease,"layer_index: AZ-Surface Activities activity: Grazing Lease lease_status: Y lessee: U.S. FARMING SOLUTIONS, LLC",9N,19W,2,LOTS 1 THRU 6 S2NE SENW,363.670000000000016,362.994
208033,AZ,State Land Department,Surface,36 Stat. 557-579 (1910),,Lapaz,PERM CMN SCHLS (INDMTY SELEC),Grazing Lease,"layer_index: AZ-Surface Activities activity: Grazing Lease lease_status: Y lessee: U.S. FARMING SOLUTIONS, LLC",9N,19W,11,LOTS 5 6 SE M&B IN LOTS 3 4 N2N2NENW S2NE,313.980000000000018,304.797
208044,AZ,State Land Department,Surface,36 Stat. 557-579 (1910),,Lapaz,PERM CMN SCHLS (INDMTY SELEC),Agriculture,"layer_index: AZ-Surface Activities activity: Agriculture lease_status: Y lessee: U.S. FARMING SOLUTIONS, LLC",9N,19W,2,LOT 7,22.230000000000000,22.218
