Asset_Laye,Net_ID,Property_N,Alt_Name,Net_Asset_,ns_int_id,Township,Range,Section,GIS_Legal,Acreage,Parcel_Com,GIS_Acreag,GIS_Differ,Meridian,County,Beneficiar,TRS_Merge,Section_TF,Hyperlink,FAM_url,WebMap_FAM,GlobalID,OBJECTID_1,Shape__Are,Shape__Len
Other Minerals,FAM034179,,,N-34U-12W-22-Other Minerals-La Plata-School,34179.000000000000000,34U,12W,22,SWNW,40.000000000000000,,39.501871629999997,0.498128370000000,New Mexico Meridian,La Plata,School,34U12W22,"22","<a href=""https://3596240.app.netsuite.com/app/common/custom/custrecordentry.nl?rectype=20&id=34179"" target=""_top"">STAFF USE ONLY</a>",https://3596240.app.netsuite.com/app/common/custom/custrecordentry.nl?rectype=20&id=34179,FAM034179 - STAFF USE ONLY,7639ad38-65bf-48f5-bc9f-788632543668,1604,251992.652343750000000,2007.988376795470003
Coal,FAM025237,,,N-34U-12W-22-Coal-La Plata-School,25237.000000000000000,34U,12W,22,SWNW,40.000000000000000,,39.501871629999997,0.498128370000000,New Mexico Meridian,La Plata,School,34U12W22,"22","<a href=""https://3596240.app.netsuite.com/app/common/custom/custrecordentry.nl?rectype=20&id=25237"" target=""_top"">STAFF USE ONLY</a>",https://3596240.app.netsuite.com/app/common/custom/custrecordentry.nl?rectype=20&id=25237,FAM025237 - STAFF USE ONLY,2e22b1ff-f853-45ba-9aac-8eeda29bd2d3,8145,251992.652343750000000,2007.988376795470003
Oil & Gas,FAM016314,,,N-34U-12W-22-Oil & Gas-La Plata-School,16314.000000000000000,34U,12W,22,SWNW,40.000000000000000,,39.501871629999997,0.498128370000000,New Mexico Meridian,La Plata,School,34U12W22,"22","<a href=""https://3596240.app.netsuite.com/app/common/custom/custrecordentry.nl?rectype=20&id=16314"" target=""_top"">STAFF USE ONLY</a>",https://3596240.app.netsuite.com/app/common/custom/custrecordentry.nl?rectype=20&id=16314,FAM016314 - STAFF USE ONLY,bbc37306-f864-46cc-a06b-6fb506cf9f18,21144,251992.652343750000000,2007.988376795470003
Other Minerals,FAM034176,,,N-34U-11W-4-Other Minerals-La Plata-School,34176.000000000000000,34U,11W,4,LOTS 2-3,69.620000000000005,,75.152578820000002,-5.532578820000000,New Mexico Meridian,La Plata,School,34U11W4,"4","<a href=""https://3596240.app.netsuite.com/app/common/custom/custrecordentry.nl?rectype=20&id=34176"" target=""_top"">STAFF USE ONLY</a>",https://3596240.app.netsuite.com/app/common/custom/custrecordentry.nl?rectype=20&id=34176,FAM034176 - STAFF USE ONLY,59026c5f-89ca-4ac7-94b8-13d8768d20bb,16961,479910.246093750000000,2969.560002817389886
Oil & Gas,FAM016311,,,N-34U-11W-4-Oil & Gas-La Plata-School,16311.000000000000000,34U,11W,4,LOTS 2-3,69.620000000000005,,75.152578820000002,-5.532578820000000,New Mexico Meridian,La Plata,School,34U11W4,"4","<a href=""https://3596240.app.netsuite.com/app/common/custom/custrecordentry.nl?rectype=20&id=16311"" target=""_top"">STAFF USE ONLY</a>",https://3596240.app.netsuite.com/app/common/custom/custrecordentry.nl?rectype=20&id=16311,FAM016311 - STAFF USE ONLY,f27e05d5-12f0-41b7-9867-59e27120d799,20491,479910.246093750000000,2969.560002817389886
Coal,FAM025125,,,N-33N-12W-10-Coal-La Plata-School,25125.000000000000000,33N,12W,10,N2NE,80.000000000000000,,80.366029970000000,-0.366029970000000,New Mexico Meridian,La Plata,School,33N12W10,"10","<a href=""https://3596240.app.netsuite.com/app/common/custom/custrecordentry.nl?rectype=20&id=25125"" target=""_top"">STAFF USE ONLY</a>",https://3596240.app.netsuite.com/app/common/custom/custrecordentry.nl?rectype=20&id=25125,FAM025125 - STAFF USE ONLY,732a7149-efef-4188-b051-c74a8a6cd511,1556,511949.617187500000000,3041.250246371439971
Oil & Gas,FAM016200,,,N-33N-12W-10-Oil & Gas-La Plata-School,16200.000000000000000,33N,12W,10,N2NE,80.000000000000000,,80.366029970000000,-0.366029970000000,New Mexico Meridian,La Plata,School,33N12W10,"10","<a href=""https://3596240.app.netsuite.com/app/common/custom/custrecordentry.nl?rectype=20&id=16200"" target=""_top"">STAFF USE ONLY</a>",https://3596240.app.netsuite.com/app/common/custom/custrecordentry.nl?rectype=20&id=16200,FAM016200 - STAFF USE ONLY,d069152f-7fe3-4c9a-bd96-101b76430689,9063,511949.617187500000000,3041.250246371439971
Other Minerals,FAM034065,,,N-33N-12W-10-Other Minerals-La Plata-School,34065.000000000000000,33N,12W,10,N2NE,80.000000000000000,,80.366029970000000,-0.366029970000000,New Mexico Meridian,La Plata,School,33N12W10,"10","<a href=""https://3596240.app.netsuite.com/app/common/custom/custrecordentry.nl?rectype=20&id=34065"" target=""_top"">STAFF USE ONLY</a>",https://3596240.app.netsuite.com/app/common/custom/custrecordentry.nl?rectype=20&id=34065,FAM034065 - STAFF USE ONLY,278203a4-371f-4c9f-a72f-e0d383cf167f,9355,511949.617187500000000,3041.250246371439971
Coal,FAM025127,,,N-33N-12W-17-Coal-La Plata-School,25127.000000000000000,33N,12W,17,"SWNW, NWSW",80.000000000000000,,80.654263790000002,-0.654263790000000,New Mexico Meridian,La Plata,School,33N12W17,"17","<a href=""https://3596240.app.netsuite.com/app/common/custom/custrecordentry.nl?rectype=20&id=25127"" target=""_top"">STAFF USE ONLY</a>",https://3596240.app.netsuite.com/app/common/custom/custrecordentry.nl?rectype=20&id=25127,FAM025127 - STAFF USE ONLY,8969ca67-f67e-4b9e-9d8e-250a406082fd,3909,513491.808593750000000,3058.118308462890127
Other Minerals,FAM034067,,,N-33N-12W-17-Other Minerals-La Plata-School,34067.000000000000000,33N,12W,17,"SWNW, NWSW",80.000000000000000,,80.654263790000002,-0.654263790000000,New Mexico Meridian,La Plata,School,33N12W17,"17","<a href=""https://3596240.app.netsuite.com/app/common/custom/custrecordentry.nl?rectype=20&id=34067"" target=""_top"">STAFF USE ONLY</a>",https://3596240.app.netsuite.com/app/common/custom/custrecordentry.nl?rectype=20&id=34067,FAM034067 - STAFF USE ONLY,a6327230-76c8-4646-aba6-79e709be977d,23848,513491.808593750000000,3058.118308462890127
