state,managing_agency,rights_type,state_enabling_act,OBJECTID,acres,trust_name
ID,Department of Lands,Subsurface,26 Stat. 215-219 (1890),1082865,650.830000000000041,"100.00% Public School (Indemnity, Schools, Common Schools)"
ID,Department of Lands,Subsurface,27 Stat. 215-219 (1890),1082871,640.000000000000000,"100.00% Public School (Indemnity, Schools, Common Schools)"
ID,Department of Lands,Subsurface,28 Stat. 215-219 (1890),1082876,0.67,"100.00% Public School (Indemnity, Schools, Common Schools)"
ID,Department of Lands,Subsurface,29 Stat. 215-219 (1890),1083005,55.700000000000003,General Fund
ID,Department of Lands,Subsurface,30 Stat. 215-219 (1890),1083042,,100.00% Dept. of Parks and Recreation
ID,Department of Lands,Subsurface,31 Stat. 215-219 (1890),1083043,479.949999999999989,100.00% Dept. of Parks and Recreation
ID,Department of Lands,Subsurface,32 Stat. 215-219 (1890),1083046,160.000000000000000,Dept. of Parks and Recreation
ID,Department of Lands,Subsurface,33 Stat. 215-219 (1890),1083047,640.000000000000000,Dept. of Parks and Recreation
ID,Department of Lands,Subsurface,34 Stat. 215-219 (1890),1083088,,100.00% Dept. of Parks and Recreation
ID,Department of Lands,Subsurface,35 Stat. 215-219 (1890),1083089,,100.00% Dept. of Parks and Recreation
ID,Department of Lands,Subsurface,36 Stat. 215-219 (1890),1083091,,Dept. of Parks and Recreation
ID,Department of Lands,Subsurface,37 Stat. 215-219 (1890),1083092,,100.00% Dept. of Parks and Recreation
ID,Department of Lands,Subsurface,38 Stat. 215-219 (1890),1083618,940.889999999999986,"100.00% Public School (Indemnity, Schools, Common Schools)"
ID,Department of Lands,Subsurface,39 Stat. 215-219 (1890),1083797,,100.00% Dept. of Parks and Recreation
ID,Department of Lands,Subsurface,40 Stat. 215-219 (1890),1083799,588.070000000000050,Dept. of Parks and Recreation
ID,Department of Lands,Subsurface,41 Stat. 215-219 (1890),1083805,80.000000000000000,"Public School (Indemnity, Schools, Common Schools)"
ID,Department of Lands,Subsurface,42 Stat. 215-219 (1890),1083811,40.000000000000000,Agricultural College
ID,Department of Lands,Subsurface,43 Stat. 215-219 (1890),1083833,,Dept. of Parks and Recreation
ID,Department of Lands,Subsurface,44 Stat. 215-219 (1890),1084354,1.710000000000000,"100.00% Public School (Indemnity, Schools, Common Schools)"
ID,Department of Lands,Subsurface,45 Stat. 215-219 (1890),1084476,,General Fund
ID,Department of Lands,Subsurface,46 Stat. 215-219 (1890),1084508,,100.00% Dept. of Parks and Recreation
ID,Department of Lands,Subsurface,47 Stat. 215-219 (1890),1084509,106.819999999999993,100.00% Dept. of Parks and Recreation
ID,Department of Lands,Subsurface,48 Stat. 215-219 (1890),1084510,4.700000000000000,Dept. of Parks and Recreation
ID,Department of Lands,Subsurface,49 Stat. 215-219 (1890),1084511,20.000000000000000,Dept. of Parks and Recreation
ID,Department of Lands,Subsurface,50 Stat. 215-219 (1890),1084524,80.000000000000000,"Public School (Indemnity, Schools, Common Schools)"
ID,Department of Lands,Subsurface,51 Stat. 215-219 (1890),1084568,,Dept. of Parks and Recreation
ID,Department of Lands,Subsurface,52 Stat. 215-219 (1890),1085032,,"100.00% Public School (Indemnity, Schools, Common Schools)"
ID,Department of Lands,Subsurface,53 Stat. 215-219 (1890),1085035,240.000000000000000,"100.00% Public School (Indemnity, Schools, Common Schools)"
ID,Department of Lands,Subsurface,54 Stat. 215-219 (1890),1085166,1.000000000000000,100.00% General Fund
ID,Department of Lands,Subsurface,55 Stat. 215-219 (1890),1085208,24.410000000000000,100.00% Dept. of Parks and Recreation
ID,Department of Lands,Subsurface,56 Stat. 215-219 (1890),1085210,,Dept. of Parks and Recreation
ID,Department of Lands,Subsurface,57 Stat. 215-219 (1890),1085222,,Agricultural College
ID,Department of Lands,Subsurface,58 Stat. 215-219 (1890),1085250,,100.00% Dept. of Parks and Recreation
ID,Department of Lands,Subsurface,59 Stat. 215-219 (1890),1085251,,100.00% Dept. of Parks and Recreation
ID,Department of Lands,Subsurface,60 Stat. 215-219 (1890),1085252,,"100.00% Public School (Indemnity, Schools, Common Schools)"
ID,Department of Lands,Subsurface,61 Stat. 215-219 (1890),1085253,,Dept. of Parks and Recreation
ID,Department of Lands,Subsurface,62 Stat. 215-219 (1890),1085254,,100.00% Dept. of Parks and Recreation
ID,Department of Lands,Subsurface,63 Stat. 215-219 (1890),1085255,,100.00% Dept. of Parks and Recreation
ID,Department of Lands,Subsurface,64 Stat. 215-219 (1890),1085256,,100.00% Dept. of Parks and Recreation
ID,Department of Lands,Subsurface,65 Stat. 215-219 (1890),1085879,160.000000000000000,100.00% University of Idaho
ID,Department of Lands,Subsurface,66 Stat. 215-219 (1890),1085900,1.260000000000000,100.00% Dept. of Fish and Game
ID,Department of Lands,Subsurface,67 Stat. 215-219 (1890),1085926,,Dept. of Parks and Recreation
ID,Department of Lands,Subsurface,68 Stat. 215-219 (1890),1085927,131.500000000000000,Dept. of Parks and Recreation
ID,Department of Lands,Subsurface,69 Stat. 215-219 (1890),1085928,604.850000000000023,Dept. of Parks and Recreation
ID,Department of Lands,Subsurface,70 Stat. 215-219 (1890),1085929,217.199999999999989,Dept. of Parks and Recreation
