state,managing_agency,rights_type,state_enabling_act,OBJECTID,acres,trust_name
ID,Department of Lands,Surface,26 Stat. 215-219 (1890),694457,650.830000000000041,"100.00% Public School (Indemnity, Schools, Common Schools)"
ID,Department of Lands,Surface,27 Stat. 215-219 (1890),694463,640.000000000000000,"100.00% Public School (Indemnity, Schools, Common Schools)"
ID,Department of Lands,Surface,28 Stat. 215-219 (1890),694468,0.67,"100.00% Public School (Indemnity, Schools, Common Schools)"
ID,Department of Lands,Surface,29 Stat. 215-219 (1890),694599,55.700000000000003,100.00% General Fund
ID,Department of Lands,Surface,30 Stat. 215-219 (1890),694636,,100.00% Dept. of Parks and Recreation
ID,Department of Lands,Surface,31 Stat. 215-219 (1890),694637,479.949999999999989,100.00% Dept. of Parks and Recreation
ID,Department of Lands,Surface,32 Stat. 215-219 (1890),694640,160.000000000000000,100.00% Dept. of Parks and Recreation
ID,Department of Lands,Surface,33 Stat. 215-219 (1890),694641,640.000000000000000,100.00% Dept. of Parks and Recreation
ID,Department of Lands,Surface,34 Stat. 215-219 (1890),694656,,100.00% Dept. of Parks and Recreation
ID,Department of Lands,Surface,35 Stat. 215-219 (1890),694657,,100.00% Dept. of Parks and Recreation
ID,Department of Lands,Surface,36 Stat. 215-219 (1890),694659,,100.00% Dept. of Parks and Recreation
ID,Department of Lands,Surface,37 Stat. 215-219 (1890),694660,,100.00% Dept. of Parks and Recreation
ID,Department of Lands,Surface,38 Stat. 215-219 (1890),695037,940.889999999999986,"100.00% Public School (Indemnity, Schools, Common Schools)"
ID,Department of Lands,Surface,39 Stat. 215-219 (1890),695220,,100.00% Dept. of Parks and Recreation
ID,Department of Lands,Surface,40 Stat. 215-219 (1890),695222,588.070000000000050,100.00% Dept. of Parks and Recreation
ID,Department of Lands,Surface,41 Stat. 215-219 (1890),695229,,100.00% Dept. of Parks and Recreation
ID,Department of Lands,Surface,42 Stat. 215-219 (1890),695428,1.710000000000000,"100.00% Public School (Indemnity, Schools, Common Schools)"
ID,Department of Lands,Surface,43 Stat. 215-219 (1890),695552,,100.00% General Fund
ID,Department of Lands,Surface,44 Stat. 215-219 (1890),695585,,100.00% Dept. of Parks and Recreation
ID,Department of Lands,Surface,45 Stat. 215-219 (1890),695586,106.819999999999993,100.00% Dept. of Parks and Recreation
ID,Department of Lands,Surface,46 Stat. 215-219 (1890),695587,4.700000000000000,100.00% Dept. of Parks and Recreation
ID,Department of Lands,Surface,47 Stat. 215-219 (1890),695588,20.000000000000000,100.00% Dept. of Parks and Recreation
ID,Department of Lands,Surface,48 Stat. 215-219 (1890),695604,,100.00% Dept. of Parks and Recreation
ID,Department of Lands,Surface,49 Stat. 215-219 (1890),695732,,"100.00% Public School (Indemnity, Schools, Common Schools)"
ID,Department of Lands,Surface,50 Stat. 215-219 (1890),695735,240.000000000000000,"100.00% Public School (Indemnity, Schools, Common Schools)"
ID,Department of Lands,Surface,51 Stat. 215-219 (1890),695867,1.000000000000000,100.00% General Fund
ID,Department of Lands,Surface,52 Stat. 215-219 (1890),695910,24.410000000000000,100.00% Dept. of Parks and Recreation
ID,Department of Lands,Surface,53 Stat. 215-219 (1890),695912,,100.00% Dept. of Parks and Recreation
ID,Department of Lands,Surface,54 Stat. 215-219 (1890),695921,,100.00% Dept. of Parks and Recreation
ID,Department of Lands,Surface,55 Stat. 215-219 (1890),695922,,100.00% Dept. of Parks and Recreation
ID,Department of Lands,Surface,56 Stat. 215-219 (1890),695923,,"100.00% Public School (Indemnity, Schools, Common Schools)"
ID,Department of Lands,Surface,57 Stat. 215-219 (1890),695924,,100.00% Dept. of Parks and Recreation
ID,Department of Lands,Surface,58 Stat. 215-219 (1890),695925,,100.00% Dept. of Parks and Recreation
ID,Department of Lands,Surface,59 Stat. 215-219 (1890),695926,,100.00% Dept. of Parks and Recreation
ID,Department of Lands,Surface,60 Stat. 215-219 (1890),695927,,100.00% Dept. of Parks and Recreation
ID,Department of Lands,Surface,61 Stat. 215-219 (1890),696500,160.000000000000000,100.00% University of Idaho
ID,Department of Lands,Surface,62 Stat. 215-219 (1890),696521,1.260000000000000,100.00% Dept. of Fish and Game
ID,Department of Lands,Surface,63 Stat. 215-219 (1890),696547,,100.00% Dept. of Parks and Recreation
ID,Department of Lands,Surface,64 Stat. 215-219 (1890),696548,131.500000000000000,100.00% Dept. of Parks and Recreation
ID,Department of Lands,Surface,65 Stat. 215-219 (1890),696549,604.850000000000023,100.00% Dept. of Parks and Recreation
ID,Department of Lands,Surface,66 Stat. 215-219 (1890),696550,217.199999999999989,100.00% Dept. of Parks and Recreation
ID,Department of Lands,Surface,67 Stat. 215-219 (1890),696551,38.100000000000001,100.00% Dept. of Parks and Recreation
ID,Department of Lands,Surface,68 Stat. 215-219 (1890),696552,14.010000000000000,100.00% Dept. of Parks and Recreation
ID,Department of Lands,Surface,69 Stat. 215-219 (1890),696559,,100.00% Dept. of Parks and Recreation
ID,Department of Lands,Surface,70 Stat. 215-219 (1890),696560,,100.00% Dept. of Parks and Recreation
ID,Department of Lands,Surface,71 Stat. 215-219 (1890),696561,,100.00% Dept. of Parks and Recreation
ID,Department of Lands,Surface,72 Stat. 215-219 (1890),696562,,100.00% Dept. of Parks and Recreation
ID,Department of Lands,Surface,73 Stat. 215-219 (1890),696616,640.000000000000000,"100.00% Public School (Indemnity, Schools, Common Schools)"
ID,Department of Lands,Surface,74 Stat. 215-219 (1890),696620,640.000000000000000,"100.00% Public School (Indemnity, Schools, Common Schools)"
ID,Department of Lands,Surface,75 Stat. 215-219 (1890),696621,640.000000000000000,"100.00% Public School (Indemnity, Schools, Common Schools)"
ID,Department of Lands,Surface,76 Stat. 215-219 (1890),696622,,"100.00% Public School (Indemnity, Schools, Common Schools)"
ID,Department of Lands,Surface,77 Stat. 215-219 (1890),696623,,"100.00% Public School (Indemnity, Schools, Common Schools)"
ID,Department of Lands,Surface,78 Stat. 215-219 (1890),696624,,"100.00% Public School (Indemnity, Schools, Common Schools)"
ID,Department of Lands,Surface,79 Stat. 215-219 (1890),696627,794.779999999999973,"100.00% Public School (Indemnity, Schools, Common Schools)"
ID,Department of Lands,Surface,80 Stat. 215-219 (1890),696628,640.360000000000014,"100.00% Public School (Indemnity, Schools, Common Schools)"
