OBJECTID,PARCELID,GISACRES,L_ACRES,OWNERTYPE,SUB_ENDOWM,SUB_ENDO_1,SURMIN,RESTRICTIO,RESTRICT_1,created_us,created_da,last_edite,last_edi_1,SHAPE.STAr,SHAPE.STLe,GlobalID
1082865,PN21956,641.559999999999945,650.830000000000041,Beneficiary: IDL Endowment,"1","100.00% Public School (Indemnity, Schools, Common Schools)","3","0",None,GISDATAOWNER,2023/12/13 22:07:27.000,GISDATAOWNER,2023/12/13 22:07:27.000,2596320.573045520111918,6461.201446134463367,{827ABEF1-7B97-46C9-9F05-ADAD91B4EF21}
1082871,PN22002,640.980000000000018,640.000000000000000,Beneficiary: IDL Endowment,"1","100.00% Public School (Indemnity, Schools, Common Schools)","3","0",None,GISDATAOWNER,2023/12/13 22:07:27.000,GISDATAOWNER,2023/12/13 22:07:27.000,2593964.855981105007231,6443.954141715908918,{9D90FD1B-4732-4989-BBDE-461B4721728D}
1082876,PN22071,0.720000000000000,0.670000000000000,Beneficiary: IDL Endowment,"1","100.00% Public School (Indemnity, Schools, Common Schools)","3","3",All minerals owned by the state.,GISDATAOWNER,2023/12/13 22:07:27.000,GISDATAOWNER,2023/12/13 22:07:27.000,2913.188959284999783,495.647625756486207,{DEEAC58F-3AF8-40D9-822C-B3ADF8051B27}
1083005,PN23553,56.079999999999998,55.700000000000003,Beneficiary: IDL Endowment,"10",General Fund,"4","3",Federal subsurface OC. All other minerals owned by the state.,GISDATAOWNER,2023/12/13 22:07:27.000,GISDATAOWNER,2023/12/13 22:07:27.000,226946.571321530005662,2099.234937446944969,{C114D1B8-B82D-4D97-A3C0-F205E516D260}
1083042,PN24108,3.740000000000000,,Beneficiary: Other State Agency,"17",100.00% Dept. of Parks and Recreation,"3","0",None,GISDATAOWNER,2023/12/13 22:07:27.000,GISDATAOWNER,2023/12/13 22:07:27.000,15142.594658635000087,538.475147081190130,{28886C89-D673-42D6-8465-EDA17C6408F0}
1083043,PN24118,484.129999999999995,479.949999999999989,Beneficiary: Other State Agency,"17",100.00% Dept. of Parks and Recreation,"3","0",None,GISDATAOWNER,2023/12/13 22:07:27.000,GISDATAOWNER,2023/12/13 22:07:27.000,1959197.129435670096427,5639.640105330327970,{3DACB205-9A6F-4FD3-8451-88D2C1D71290}
1083046,PN24155,162.199999999999989,160.000000000000000,Beneficiary: Other State Agency,"17",Dept. of Parks and Recreation,"4","0",None,GISDATAOWNER,2023/12/13 22:07:27.000,GISDATAOWNER,2023/12/13 22:07:27.000,656384.825924444827251,3240.758522753196758,{D326AA30-4C2D-4372-A08F-5FAF5FEE6958}
1083047,PN24187,639.539999999999964,640.000000000000000,Beneficiary: Other State Agency,"17",Dept. of Parks and Recreation,"4","0",None,GISDATAOWNER,2023/12/13 22:07:27.000,GISDATAOWNER,2023/12/13 22:07:27.000,2588135.040342755150050,6435.115635061356443,{E606AB51-DB19-45AD-AAC8-836792D4FB56}
1083088,PN25099,0.890000000000000,,Beneficiary: Other State Agency,"17",100.00% Dept. of Parks and Recreation,"3","0",None,GISDATAOWNER,2023/12/13 22:07:27.000,GISDATAOWNER,2023/12/13 22:07:27.000,3600.890388929999972,516.990765985495614,{F4D58D7A-1713-4FD1-B2C1-0BFE4EC1B775}
1083089,PN25131,2.720000000000000,,Beneficiary: Other State Agency,"17",100.00% Dept. of Parks and Recreation,"3","0",None,GISDATAOWNER,2023/12/13 22:07:27.000,GISDATAOWNER,2023/12/13 22:07:27.000,11025.781838220002101,967.754608057386463,{20208003-4726-43C0-81CC-BC796A6B0A45}
