state,managing_agency,rights_type,state_enabling_act,SU_SUID,county,township,RDIR,RANG,section,aliquot,acres,percent_owned,trust_name
MN,Department of Natural Resources,Surface,11 Stat. 166-167 (1857); 11 Stat. 285 (1858),116970,Itasca,61,0,25,2,NENE,46.01,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,12 Stat. 166-167 (1857); 11 Stat. 285 (1858),116971,Itasca,61,0,25,2,NWNE,45.22,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,13 Stat. 166-167 (1857); 11 Stat. 285 (1858),116974,Itasca,61,0,25,2,NENW,44.44,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,14 Stat. 166-167 (1857); 11 Stat. 285 (1858),116975,Itasca,61,0,25,2,NWNW,43.65,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,15 Stat. 166-167 (1857); 11 Stat. 285 (1858),115337,Itasca,62,0,24,30,NWSW,40.32,100,TRUST FUND: IND SCHOOL
MN,Department of Natural Resources,Surface,16 Stat. 166-167 (1857); 11 Stat. 285 (1858),115338,Itasca,62,0,24,30,SWSW,40.77,100,TRUST FUND: IND SCHOOL
MN,Department of Natural Resources,Surface,17 Stat. 166-167 (1857); 11 Stat. 285 (1858),115353,Itasca,62,0,24,31,NWSW,40.37,100,TRUST FUND: IND SCHOOL
MN,Department of Natural Resources,Surface,18 Stat. 166-167 (1857); 11 Stat. 285 (1858),115354,Itasca,62,0,24,31,SWSW,40.12,100,TRUST FUND: IND SCHOOL
MN,Department of Natural Resources,Surface,19 Stat. 166-167 (1857); 11 Stat. 285 (1858),120192,Itasca,62,0,26,25,NESE,40,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,20 Stat. 166-167 (1857); 11 Stat. 285 (1858),120321,Itasca,62,0,26,36,SESE,40,100,TRUST FUND: SCHOOL
MN,Department of Natural Resources,Surface,21 Stat. 166-167 (1857); 11 Stat. 285 (1858),142803,Koochiching,63,0,25,36,SESW,40,100,TRUST FUND: SCHOOL
MN,Department of Natural Resources,Surface,22 Stat. 166-167 (1857); 11 Stat. 285 (1858),142806,Koochiching,63,0,25,36,SWSE,40,100,TRUST FUND: SCHOOL
MN,Department of Natural Resources,Surface,23 Stat. 166-167 (1857); 11 Stat. 285 (1858),142807,Koochiching,63,0,25,36,SESE,40,100,TRUST FUND: SCHOOL
MN,Department of Natural Resources,Surface,24 Stat. 166-167 (1857); 11 Stat. 285 (1858),142802,Koochiching,63,0,25,36,SWSW,40,100,TRUST FUND: SCHOOL
MN,Department of Natural Resources,Surface,25 Stat. 166-167 (1857); 11 Stat. 285 (1858),557696,Itasca,62,0,26,1,NENE,16.2,42,TRUST FUND: SCHOOL
MN,Department of Natural Resources,Surface,26 Stat. 166-167 (1857); 11 Stat. 285 (1858),557698,Itasca,62,0,26,1,NESE,24,60,TRUST FUND: SCHOOL
MN,Department of Natural Resources,Surface,27 Stat. 166-167 (1857); 11 Stat. 285 (1858),137039,Koochiching,64,0,23,27,SWNW,26.78,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,28 Stat. 166-167 (1857); 11 Stat. 285 (1858),137040,Koochiching,64,0,23,27,SENW,27.13,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,29 Stat. 166-167 (1857); 11 Stat. 285 (1858),137054,Koochiching,64,0,23,28,SWNW,24.9,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,30 Stat. 166-167 (1857); 11 Stat. 285 (1858),137055,Koochiching,64,0,23,28,SENW,25.39,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,31 Stat. 166-167 (1857); 11 Stat. 285 (1858),137066,Koochiching,64,0,23,29,SWNW,22,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,32 Stat. 166-167 (1857); 11 Stat. 285 (1858),137078,Koochiching,64,0,23,30,SWNE,19.97,100,TRUST FUND: IND SCHOOL
MN,Department of Natural Resources,Surface,33 Stat. 166-167 (1857); 11 Stat. 285 (1858),137079,Koochiching,64,0,23,30,SENE,21.07,100,TRUST FUND: IND SCHOOL
MN,Department of Natural Resources,Surface,34 Stat. 166-167 (1857); 11 Stat. 285 (1858),137082,Koochiching,64,0,23,30,SWNW,19.09,100,TRUST FUND: SWAMP
