OBJECTID,SU_ID,SU_SUID,SU_SUIDNUM,DNRREGION,COUNTYNAME,COUN,TOWN,RDIR,RANG,SECT,FORT,GLOT,GM_CH,GS_CH,FORTDESC,PLSMATCH,SU_ACRES,SU_PCTFORT,UINT_NUMER,UINT_DENOM,SU_NETACRE,INT_TYPE,INT_STATUS,LANDTYPE,MEANSACQ,LANDTYPECO,MEANSACQCO,OMITTYPES,PRINTACRES,MOWNSTATUS,MOWNSTAT_1,LANDCLASS,MRECTYPE,MRECTYPECO,SURFACEOFF,LAST_OFFER,LAST_PROCE,LAST_PRO_1,DATA_DOWNL,Shape_Leng,Shape_Area
"105635",115247.00000000000,"115247",115247.00000000000,Northeast,Itasca,"31","62","0","24","19","33","4","31062024190004","3106202419",SWSW,forty/glot-level,39.12000000000,"0","1","1",39.12000000000,Fee Minerals,Finalized,TRUST FUND: IND SCHOOL,"US: Congressional Grant, Patent, Deed, Etc.","2",U,07-MANAGEMENT DECISION,,Yes,Y,SCHOOL,BREM REC - NOT RESEARCHED,X,No,W06,W06,"2006",01-15-2024,1558.96908579000,151305.12357299999
"108599",116970.00000000000,"116970",116970.00000000000,Northeast,Itasca,"31","61","0","25","2","11","1","31061025020001","3106102502",NENE,forty/glot-level,46.01000000000,"100","1","1",46.01000000000,Fee Minerals,Finalized,TRUST FUND: SWAMP,"US: Congressional Grant, Patent, Deed, Etc.","3",U,,,Yes,Y,SCHOOL,BREM REC - NOT RESEARCHED,X,Yes,W06,W06,"2006",01-15-2024,1722.82110870000,184603.69856700001
"108600",116971.00000000000,"116971",116971.00000000000,Northeast,Itasca,"31","61","0","25","2","12","2","31061025020002","3106102502",NWNE,forty/glot-level,45.22000000000,"100","1","1",45.22000000000,Fee Minerals,Finalized,TRUST FUND: SWAMP,"US: Congressional Grant, Patent, Deed, Etc.","3",U,,,Yes,Y,SCHOOL,BREM REC - NOT RESEARCHED,X,Yes,W06,W06,"2006",01-15-2024,1714.97901389000,182972.41632300001
"108603",116974.00000000000,"116974",116974.00000000000,Northeast,Itasca,"31","61","0","25","2","21","3","31061025020003","3106102502",NENW,forty/glot-level,44.44000000000,"100","1","1",44.44000000000,Fee Minerals,Finalized,TRUST FUND: SWAMP,"US: Congressional Grant, Patent, Deed, Etc.","3",U,,,Yes,Y,SCHOOL,BREM REC - NOT RESEARCHED,X,Yes,W06,W06,"2006",01-15-2024,1707.01968621000,181305.66449500000
"108604",116975.00000000000,"116975",116975.00000000000,Northeast,Itasca,"31","61","0","25","2","22","4","31061025020004","3106102502",NWNW,forty/glot-level,43.65000000000,"100","1","1",43.65000000000,Fee Minerals,Finalized,TRUST FUND: SWAMP,"US: Congressional Grant, Patent, Deed, Etc.","3",U,,,Yes,Y,SCHOOL,BREM REC - NOT RESEARCHED,X,Yes,W06,W06,"2006",01-15-2024,1699.09241994000,179635.27258399999
"111515",115337.00000000000,"115337",115337.00000000000,Northeast,Itasca,"31","62","0","24","30","32","3","31062024300003","3106202430",NWSW,forty/glot-level,40.32000000000,"100","1","1",40.32000000000,Fee Minerals,Finalized,TRUST FUND: IND SCHOOL,"US: Congressional Grant, Patent, Deed, Etc.","2",U,07-MANAGEMENT DECISION,,Yes,Y,SCHOOL,BREM REC - NOT RESEARCHED,X,Yes,W06,W06,"2006",01-15-2024,1633.87191411000,166816.96384200000
"111516",115338.00000000000,"115338",115338.00000000000,Northeast,Itasca,"31","62","0","24","30","33","4","31062024300004","3106202430",SWSW,forty/glot-level,40.77000000000,"100","1","1",40.77000000000,Fee Minerals,Finalized,TRUST FUND: IND SCHOOL,"US: Congressional Grant, Patent, Deed, Etc.","2",U,07-MANAGEMENT DECISION,,Yes,Y,SCHOOL,BREM REC - NOT RESEARCHED,X,Yes,W06,W06,"2006",01-15-2024,1644.27341243000,168646.25022799999
"111627",115353.00000000000,"115353",115353.00000000000,Northeast,Itasca,"31","62","0","24","31","32","3","31062024310003","3106202431",NWSW,forty/glot-level,40.37000000000,"100","1","1",40.37000000000,Fee Minerals,Finalized,TRUST FUND: IND SCHOOL,"US: Congressional Grant, Patent, Deed, Etc.","2",U,07-MANAGEMENT DECISION,,Yes,Y,SCHOOL,BREM REC - NOT RESEARCHED,X,Yes,W06,W06,"2006",01-15-2024,1571.21932972000,153978.45651100000
"111628",115354.00000000000,"115354",115354.00000000000,Northeast,Itasca,"31","62","0","24","31","33","4","31062024310004","3106202431",SWSW,forty/glot-level,40.12000000000,"100","1","1",40.12000000000,Fee Minerals,Finalized,TRUST FUND: IND SCHOOL,"US: Congressional Grant, Patent, Deed, Etc.","2",U,07-MANAGEMENT DECISION,,Yes,Y,SCHOOL,BREM REC - NOT RESEARCHED,X,Yes,W06,W06,"2006",01-15-2024,1580.31853202000,155749.00294899999
"111681",115331.00000000000,"115331",115331.00000000000,Northeast,Itasca,"31","62","0","24","30","22","1","31062024300001","3106202430",NWNW,forty/glot-level,39.42000000000,"0","1","1",39.42000000000,Fee Minerals,Finalized,TRUST FUND: IND SCHOOL,"US: Congressional Grant, Patent, Deed, Etc.","2",U,07-MANAGEMENT DECISION,,Yes,Y,SCHOOL,BREM REC - NOT RESEARCHED,X,No,W06,W06,"2006",01-15-2024,1613.15948375000,162545.44769199999
"113691",120192.00000000000,"120192",120192.00000000000,Northeast,Itasca,"31","62","0","26","25","41","0","31062026254100","3106202625",NESE,forty/glot-level,40.00000000000,"100","1","1",40.00000000000,Fee Minerals,Finalized,TRUST FUND: SWAMP,"US: Congressional Grant, Patent, Deed, Etc.","3",U,,,Yes,Y,SCHOOL,BREM REC - NOT RESEARCHED,X,Yes,W06,W06,"2006",01-15-2024,1607.26264323000,161441.91383999999
"113767",120321.00000000000,"120321",120321.00000000000,Northeast,Itasca,"31","62","0","26","36","44","0","31062026364400","3106202636",SESE,forty/glot-level,40.00000000000,"100","1","1",40.00000000000,Fee Minerals,Finalized,TRUST FUND: SCHOOL,"US: Congressional Grant, Patent, Deed, Etc.","1",U,,,Yes,Y,SCHOOL,BREM REC - NOT RESEARCHED,X,Yes,W06,W06,"2006",01-15-2024,1592.58085950000,158497.90546899999
"130898",142802.00000000000,"142802",142802.00000000000,Northeast,Koochiching,"36","63","0","25","36","33","0","36063025363300","3606302536",SWSW,forty/glot-level,40.00000000000,"100","1","1",40.00000000000,Fee Minerals,Finalized,TRUST FUND: SCHOOL,"US: Congressional Grant, Patent, Deed, Etc.","1",U,07-MANAGEMENT DECISION,,Yes,Y,SCHOOL,BREM REC - NOT RESEARCHED,X,Yes,W06,W06,"2006",01-15-2024,1579.76586499000,155760.97941500001
"130899",142803.00000000000,"142803",142803.00000000000,Northeast,Koochiching,"36","63","0","25","36","34","0","36063025363400","3606302536",SESW,forty/glot-level,40.00000000000,"100","1","1",40.00000000000,Fee Minerals,Finalized,TRUST FUND: SCHOOL,"US: Congressional Grant, Patent, Deed, Etc.","1",U,07-MANAGEMENT DECISION,,Yes,Y,SCHOOL,BREM REC - NOT RESEARCHED,X,Yes,W06,W06,"2006",01-15-2024,1582.29857099000,156263.02791000000
"130902",142806.00000000000,"142806",142806.00000000000,Northeast,Koochiching,"36","63","0","25","36","43","0","36063025364300","3606302536",SWSE,forty/glot-level,40.00000000000,"100","1","1",40.00000000000,Fee Minerals,Finalized,TRUST FUND: SCHOOL,"US: Congressional Grant, Patent, Deed, Etc.","1",U,07-MANAGEMENT DECISION,,Yes,Y,SCHOOL,BREM REC - NOT RESEARCHED,X,Yes,W06,W06,"2006",01-15-2024,1584.80359566000,156759.74992800000
"130903",142807.00000000000,"142807",142807.00000000000,Northeast,Koochiching,"36","63","0","25","36","44","0","36063025364400","3606302536",SESE,forty/glot-level,40.00000000000,"100","1","1",40.00000000000,Fee Minerals,Finalized,TRUST FUND: SCHOOL,"US: Congressional Grant, Patent, Deed, Etc.","1",U,07-MANAGEMENT DECISION,,Yes,Y,SCHOOL,BREM REC - NOT RESEARCHED,X,Yes,W06,W06,"2006",01-15-2024,1587.28072750000,157250.55782500000
"125277",137018.00000000000,"137018",137018.00000000000,Northeast,Koochiching,"36","64","0","23","25","13","7","36064023250007","3606402325",SWNE,forty/glot-level,25.98000000000,"100","1","1",25.98000000000,Fee Minerals,Finalized,TRUST FUND: IND SCHOOL,"US: Congressional Grant, Patent, Deed, Etc.","2",U,,,Yes,Y,,,,,,,"0",01-15-2024,1304.95160371000,101153.79064599999
"125279",137020.00000000000,"137020",137020.00000000000,Northeast,Koochiching,"36","64","0","23","25","23","5","36064023250005","3606402325",SWNW,forty/glot-level,26.75000000000,"100","1","1",26.75000000000,Fee Minerals,Finalized,TRUST FUND: IND SCHOOL,"US: Congressional Grant, Patent, Deed, Etc.","2",U,,,Yes,Y,,,,,,,"0",01-15-2024,1326.00304851000,105323.32702500001
"125280",137021.00000000000,"137021",137021.00000000000,Northeast,Koochiching,"36","64","0","23","25","24","6","36064023250006","3606402325",SENW,forty/glot-level,26.36000000000,"100","1","1",26.36000000000,Fee Minerals,Finalized,TRUST FUND: IND SCHOOL,"US: Congressional Grant, Patent, Deed, Etc.","2",U,,,Yes,Y,,,,,,,"0",01-15-2024,1315.68633090000,103264.87175700000
"125282",137023.00000000000,"137023",137023.00000000000,Northeast,Koochiching,"36","64","0","23","26","13","8","36064023260008","3606402326",SWNE,forty/glot-level,23.34000000000,"100","1","1",23.34000000000,Fee Minerals,Finalized,TRUST FUND: IND SCHOOL,"US: Congressional Grant, Patent, Deed, Etc.","2",U,,,Yes,Y,,,,,,,"0",01-15-2024,1237.11622624000,91816.87700240000
