SU_ID,SU_SUID,SU_SUIDNUM,DNRREGION,COUNTYNAME,COUN,TOWN,RDIR,RANG,SECT,FORT,GLOT,GM_CH,GS_CH,FORTDESC,PLSMATCH,SU_ACRES,SU_PCTFORT,UINT_NUMER,UINT_DENOM,INT_TYPE,INT_STATUS,LANDTYPE,MEANSACQ,LANDTYPECO,MEANSACQCO,ADMINISTRA,ADMINIST_1,MGTPRGPRJ,MGTPRJNAME,MGTPRGCODE,MGTPRGNAME,ADMPRGPRJA,DNRTRNXNUM,T_CLOSINGD,SU_CTYPIN_,DATA_DOWNL,Shape_Leng,Shape_Area
116970.00000000000,"116970",116970.00000000000,Northeast,Itasca,"31","61","0","25","2","11","1","31061025020001","3106102502",NENE,forty/glot-level,46.01000000000,"100","1","1",Fee Surface,Finalized,TRUST FUND: SWAMP,"US: Congressional Grant, Patent, Deed, Etc.","3",U,Forestry,"41",SFT00021,GEORGE WASHINGTON,SFT,STATE FOREST,,,,,11-15-2023,1722.82110870000,184603.69856700001
116971.00000000000,"116971",116971.00000000000,Northeast,Itasca,"31","61","0","25","2","12","2","31061025020002","3106102502",NWNE,forty/glot-level,45.22000000000,"100","1","1",Fee Surface,Finalized,TRUST FUND: SWAMP,"US: Congressional Grant, Patent, Deed, Etc.","3",U,Forestry,"41",SFT00021,GEORGE WASHINGTON,SFT,STATE FOREST,,,,,11-15-2023,1714.97901389000,182972.41632300001
116974.00000000000,"116974",116974.00000000000,Northeast,Itasca,"31","61","0","25","2","21","3","31061025020003","3106102502",NENW,forty/glot-level,44.44000000000,"100","1","1",Fee Surface,Finalized,TRUST FUND: SWAMP,"US: Congressional Grant, Patent, Deed, Etc.","3",U,Forestry,"41",SFT00021,GEORGE WASHINGTON,SFT,STATE FOREST,,,,,11-15-2023,1707.01968621000,181305.66449500000
116975.00000000000,"116975",116975.00000000000,Northeast,Itasca,"31","61","0","25","2","22","4","31061025020004","3106102502",NWNW,forty/glot-level,43.65000000000,"100","1","1",Fee Surface,Finalized,TRUST FUND: SWAMP,"US: Congressional Grant, Patent, Deed, Etc.","3",U,Forestry,"41",SFT00021,GEORGE WASHINGTON,SFT,STATE FOREST,,,,,11-15-2023,1699.09241994000,179635.27258399999
115337.00000000000,"115337",115337.00000000000,Northeast,Itasca,"31","62","0","24","30","32","3","31062024300003","3106202430",NWSW,forty/glot-level,40.32000000000,"100","1","1",Fee Surface,Finalized,TRUST FUND: IND SCHOOL,"US: Congressional Grant, Patent, Deed, Etc.","2",U,Forestry,"41",SFT00021,GEORGE WASHINGTON,SFT,STATE FOREST,,,,,11-15-2023,1633.87191411000,166816.96384200000
115338.00000000000,"115338",115338.00000000000,Northeast,Itasca,"31","62","0","24","30","33","4","31062024300004","3106202430",SWSW,forty/glot-level,40.77000000000,"100","1","1",Fee Surface,Finalized,TRUST FUND: IND SCHOOL,"US: Congressional Grant, Patent, Deed, Etc.","2",U,Forestry,"41",SFT00021,GEORGE WASHINGTON,SFT,STATE FOREST,,,,,11-15-2023,1644.27341243000,168646.25022799999
115353.00000000000,"115353",115353.00000000000,Northeast,Itasca,"31","62","0","24","31","32","3","31062024310003","3106202431",NWSW,forty/glot-level,40.37000000000,"100","1","1",Fee Surface,Finalized,TRUST FUND: IND SCHOOL,"US: Congressional Grant, Patent, Deed, Etc.","2",U,Forestry,"41",SFT00021,GEORGE WASHINGTON,SFT,STATE FOREST,,,,,11-15-2023,1571.21932972000,153978.45651100000
115354.00000000000,"115354",115354.00000000000,Northeast,Itasca,"31","62","0","24","31","33","4","31062024310004","3106202431",SWSW,forty/glot-level,40.12000000000,"100","1","1",Fee Surface,Finalized,TRUST FUND: IND SCHOOL,"US: Congressional Grant, Patent, Deed, Etc.","2",U,Forestry,"41",SFT00021,GEORGE WASHINGTON,SFT,STATE FOREST,,,,,11-15-2023,1580.31853202000,155749.00294899999
120192.00000000000,"120192",120192.00000000000,Northeast,Itasca,"31","62","0","26","25","41","0","31062026254100","3106202625",NESE,forty/glot-level,40.00000000000,"100","1","1",Fee Surface,Finalized,TRUST FUND: SWAMP,"US: Congressional Grant, Patent, Deed, Etc.","3",U,Forestry,"41",,,,,,,,,11-15-2023,1607.26264323000,161441.91383999999
120321.00000000000,"120321",120321.00000000000,Northeast,Itasca,"31","62","0","26","36","44","0","31062026364400","3106202636",SESE,forty/glot-level,40.00000000000,"100","1","1",Fee Surface,Finalized,TRUST FUND: SCHOOL,"US: Congressional Grant, Patent, Deed, Etc.","1",U,Forestry,"41",,,,,,,,,11-15-2023,1592.58085950000,158497.90546899999
