state,state_enabling_act,trust_name,managing_agency,university,acres,gis_acres,rights_type,activity,county,township,range,section,aliquot,data_source,parcel_count,acres_agg,object_id
MT,"25 Stat. 676-684, esp. 679-81 (1889)",Common Schools,Department of Natural Resources,Montana State University,640,639.42,subsurface,Mineral Rights: Coal,SANDERS,17N,22W,36,ALL,,1,640,28
MT,"25 Stat. 676-684, esp. 679-81 (1889)",Common Schools,Department of Natural Resources,Montana State University,60,59.26,subsurface,Mineral Rights: Coal,LAKE,16N,20W,12,NE4NE4_N2SE4NE4,,1,60,39
MT,"25 Stat. 676-684, esp. 679-81 (1889)",Common Schools,Department of Natural Resources,Montana State University,60,40.01,subsurface,Mineral Rights: Coal,LAKE,17N,20W,24,NW4SW4_N2SW4SW4,,1,60,42
MT,"25 Stat. 676-684, esp. 679-81 (1889)",Common Schools,Department of Natural Resources,Montana State University,626.58,625.32,subsurface,Mineral Rights: Coal,LAKE,23N,18W,16,LOTS 1_2_ E2NW4_NE4_S2,,1,626.58,60
MT,"25 Stat. 676-684, esp. 679-81 (1889)",Common Schools,Department of Natural Resources,Montana State University,320,320.39,subsurface,Mineral Rights: Coal,LAKE,22N,20W,16,S2,,1,320,68
MT,"25 Stat. 676-684, esp. 679-81 (1889)",Common Schools,Department of Natural Resources,Montana State University,517.04,501.06,subsurface,Mineral Rights: Coal,SANDERS,19N,24W,36,LOTS 1_2_3_4_ LOTS 7-12 INC._ N2NW4_S2SE4_SE4SW4,,1,517.04,130
MT,"25 Stat. 676-684, esp. 679-81 (1889)",Common Schools,Department of Natural Resources,Montana State University,277.71,280.29,subsurface,Mineral Rights: Coal,LAKE,23N,20W,19,LOTS 2_3_4_ SE4NW4_N2SE4_SE4SW4,,1,277.71,207
MT,"25 Stat. 676-684, esp. 679-81 (1889)",Common Schools,Department of Natural Resources,Montana State University,640,642.34,subsurface,Mineral Rights: Coal,SANDERS,23N,24W,36,ALL,,1,640,214
MT,"25 Stat. 676-684, esp. 679-81 (1889)",Common Schools,Department of Natural Resources,Montana State University,260.75,221.64,subsurface,Mineral Rights: Coal,LAKE,24N,19W,16,LOT 1_ NE4_E2SE4,,1,260.75,264
MT,"25 Stat. 676-684, esp. 679-81 (1889)",University of Montana,Department of Natural Resources,Montana State University,79.52,79.25,subsurface,Mineral Rights: Coal,LAKE,22N,19W,5,LOT 2_ SW4NE4_ PART OF NW4SE4,,1,79.52,270
MT,"25 Stat. 676-684, esp. 679-81 (1889)",Common Schools,Department of Natural Resources,Montana State University,177.16,146.17,subsurface,Mineral Rights: Coal,PONDERA,30N,6W,12,"LOTS 1-5 INC._SE4SW4 (SUBJECT TO 70-16-201, MCA)",,1,177.16,276
MT,"25 Stat. 676-684, esp. 679-81 (1889)",Common Schools,Department of Natural Resources,Montana State University,75.33,79.75,subsurface,Mineral Rights: Coal,PONDERA,30N,6W,13,"LOTS 1_2 (SUBJECT TO 70-16-201, MCA)",,1,75.33,278
MT,"25 Stat. 676-684, esp. 679-81 (1889)",Common Schools,Department of Natural Resources,Montana State University,183.72,194.23,subsurface,Mineral Rights: Coal,PONDERA,30N,6W,25,"LOTS 1-7 INC. (SUBJECT TO 70-16-201, MCA)",,1,183.72,281
MT,"25 Stat. 676-684, esp. 679-81 (1889)",Common Schools,Department of Natural Resources,Montana State University,138.9,140.66,subsurface,Mineral Rights: Coal,PONDERA,28N,9W,18,LOTS 8_9_10_12_13,,1,138.9,283
