state,managing_agency,rights_type,state_enabling_act,OBJECTID,trust_name,acres,section,township,range,Agricultur,GrazingAcr,ForestAcre,OtherAcres,TRS - Copy
MT,Department of Natural Resources,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",3358,CS,639.6,15,N20,W36,0,0,639.13,0,15_N20_W36
MT,Department of Natural Resources,Surface,"26 Stat. 676-684, esp. 679-81 (1889)",3392,CS,641.9,15,N19,W16,0,0,640,0,15_N19_W16
MT,Department of Natural Resources,Surface,"27 Stat. 676-684, esp. 679-81 (1889)",3471,CS,319.6,16,N18,W16,0,0,320,0,16_N18_W16
MT,Department of Natural Resources,Surface,"28 Stat. 676-684, esp. 679-81 (1889)",3475,CS,40,16,N20,W36,0,0,40,0,16_N20_W36
MT,Department of Natural Resources,Surface,"29 Stat. 676-684, esp. 679-81 (1889)",3637,CS,2.5,18,N22,W16,0,2.47,0,0,18_N22_W16
MT,Department of Natural Resources,Surface,"30 Stat. 676-684, esp. 679-81 (1889)",4261,CS,11.7,23,N25,W36,0,0,11.48,0,23_N25_W36
MT,Department of Natural Resources,Surface,"31 Stat. 676-684, esp. 679-81 (1889)",4360,CS,39.9,24,N23,W32,0,40,0,0,24_N23_W32
MT,Department of Natural Resources,Surface,"32 Stat. 676-684, esp. 679-81 (1889)",4361,CS,10.7,24,N25,W16,0,0,10.7,0,24_N25_W16
MT,Department of Natural Resources,Surface,"33 Stat. 676-684, esp. 679-81 (1889)",6313,CS,61.3,15,N20,W16,0,0,61.05,0,15_N20_W16
MT,Department of Natural Resources,Surface,"34 Stat. 676-684, esp. 679-81 (1889)",7598,CS,663,18,N24,W16,0,0,656.92,0,18_N24_W16
MT,Department of Natural Resources,Surface,"35 Stat. 676-684, esp. 679-81 (1889)",7599,CS,640.3,18,N24,W36,0,0,640,0,18_N24_W36
MT,Department of Natural Resources,Surface,"36 Stat. 676-684, esp. 679-81 (1889)",7600,CS,639.5,19,N24,W16,0,0,640,0,19_N24_W16
MT,Department of Natural Resources,Surface,"37 Stat. 676-684, esp. 679-81 (1889)",7609,CS,558.4,20,N24,W16,229,331,0,0,20_N24_W16
MT,Department of Natural Resources,Surface,"38 Stat. 676-684, esp. 679-81 (1889)",7613,CS,246.2,20,N25,W04,0,0,245.2,0,20_N25_W04
MT,Department of Natural Resources,Surface,"39 Stat. 676-684, esp. 679-81 (1889)",7615,CS,815.7,20,N25,W36,0,0,821.35,0,20_N25_W36
MT,Department of Natural Resources,Surface,"40 Stat. 676-684, esp. 679-81 (1889)",7617,CS,559.7,21,N24,W16,0,0,560,0,21_N24_W16
MT,Department of Natural Resources,Surface,"41 Stat. 676-684, esp. 679-81 (1889)",7618,CS,639.9,21,N24,W36,0,640,0,0,21_N24_W36
