state,managing_agency,rights_type,state_enabling_act,OBJECTID,TRACTID,county,township,range,section,aliquot,TRUST,,trust_name,net_acres,acres,lease_status,lessee
ND,Commissioner of University and School Lands,Subsurface,"25 Stat. 676-684, esp. 679-81 (1889)",102295,1311440,DUNN,149,91,11,MISSOURI RIVER IN SE4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,74.019999999999996,74.019999999999996,Y,OASIS PETROLEUM NORTH AMERICA LLC
ND,Commissioner of University and School Lands,Subsurface,"26 Stat. 676-684, esp. 679-81 (1889)",102309,3114650,MOUNTRAIL,151,91,23,E2SW4,T,ND STATE TREASURER,ND STATE TREASURER,40.000000000000000,80.000000000000000,Y,MARSHALL & WINSTON INC
ND,Commissioner of University and School Lands,Subsurface,"27 Stat. 676-684, esp. 679-81 (1889)",102593,2910140,MERCER,147,90,7,MISSOURI RIVER IN SE4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,1.790000000000000,1.790000000000000,,N/A
ND,Commissioner of University and School Lands,Subsurface,"28 Stat. 676-684, esp. 679-81 (1889)",102665,1311190,DUNN,150,93,7,MISSOURI RIVER IN SE4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,18.750000000000000,18.750000000000000,Y,MARATHON OIL COMPANY
ND,Commissioner of University and School Lands,Subsurface,"29 Stat. 676-684, esp. 679-81 (1889)",103018,3114590,MOUNTRAIL,152,91,19,SW4NE4,L,BANK OF NORTH DAKOTA,BANK OF NORTH DAKOTA,20.000000000000000,40.000000000000000,Y,Multiple Lessees
ND,Commissioner of University and School Lands,Subsurface,"30 Stat. 676-684, esp. 679-81 (1889)",103019,3114580,MOUNTRAIL,152,91,19,"LOTS 1,2",L,BANK OF NORTH DAKOTA,BANK OF NORTH DAKOTA,33.390000000000001,66.780000000000001,Y,Multiple Lessees
ND,Commissioner of University and School Lands,Subsurface,"31 Stat. 676-684, esp. 679-81 (1889)",103456,2909110,MERCER,147,87,27,MISSOURI RIVER IN NW4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,106.319999999999993,106.319999999999993,,N/A
ND,Commissioner of University and School Lands,Subsurface,"32 Stat. 676-684, esp. 679-81 (1889)",103457,1312010,DUNN,148,91,27,MISSOURI RIVER IN NW4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,9.010000000000000,9.010000000000000,Y,SKYWORLD OIL ND LTD
ND,Commissioner of University and School Lands,Subsurface,"33 Stat. 676-684, esp. 679-81 (1889)",103458,1309920,DUNN,150,93,27,MISSOURI RIVER IN NW4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,109.680000000000007,109.680000000000007,Y,Multiple Lessees
ND,Commissioner of University and School Lands,Subsurface,"34 Stat. 676-684, esp. 679-81 (1889)",103542,2713000,MCKENZIE,152,93,27,MISSOURI RIVER IN NW4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,110.920000000000002,110.920000000000002,Y,A. G. ANDRIKOPOULOS RESOURCES INC
ND,Commissioner of University and School Lands,Subsurface,"35 Stat. 676-684, esp. 679-81 (1889)",103544,2909290,MERCER,147,88,28,MISSOURI RIVER IN NW4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,0.94,0.94,,N/A
ND,Commissioner of University and School Lands,Subsurface,"36 Stat. 676-684, esp. 679-81 (1889)",103714,1310140,DUNN,150,93,28,MISSOURI RIVER IN NW4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,14.810000000000000,14.810000000000000,Y,JEFFREY KENDALL VEIGEL
ND,Commissioner of University and School Lands,Subsurface,"37 Stat. 676-684, esp. 679-81 (1889)",103716,2909330,MERCER,147,88,29,MISSOURI RIVER IN NW4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,123.170000000000002,123.170000000000002,,N/A
ND,Commissioner of University and School Lands,Subsurface,"38 Stat. 676-684, esp. 679-81 (1889)",103756,3101320,MOUNTRAIL,151,92,18,SE4,L,BANK OF NORTH DAKOTA,BANK OF NORTH DAKOTA,80.000000000000000,160.000000000000000,Y,Multiple Lessees
ND,Commissioner of University and School Lands,Subsurface,"39 Stat. 676-684, esp. 679-81 (1889)",103758,3100820,MOUNTRAIL,151,90,18,"E2NW4, LOTS 1,2",L,BANK OF NORTH DAKOTA,BANK OF NORTH DAKOTA,75.909999999999997,151.810000000000002,Y,EOG RESOURCES INC
ND,Commissioner of University and School Lands,Subsurface,"40 Stat. 676-684, esp. 679-81 (1889)",103762,3102540,MOUNTRAIL,152,91,8,"S2SE4, LOTS 7,8",V,VALLEY CITY,VALLEY CITY,70.989999999999995,141.990000000000009,Y,WHITING OIL AND GAS CORPORATION
ND,Commissioner of University and School Lands,Subsurface,"41 Stat. 676-684, esp. 679-81 (1889)",103783,2909240,MERCER,147,87,33,MISSOURI RIVER IN NE4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,19.320000000000000,19.320000000000000,,N/A
ND,Commissioner of University and School Lands,Subsurface,"42 Stat. 676-684, esp. 679-81 (1889)",104127,2909650,MERCER,147,89,7,MISSOURI RIVER IN NE4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,139.000000000000000,139.000000000000000,,N/A
ND,Commissioner of University and School Lands,Subsurface,"43 Stat. 676-684, esp. 679-81 (1889)",104128,2910120,MERCER,147,90,7,MISSOURI RIVER IN NE4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,85.900000000000006,85.900000000000006,,N/A
ND,Commissioner of University and School Lands,Subsurface,"44 Stat. 676-684, esp. 679-81 (1889)",104131,2909680,MERCER,147,89,8,MISSOURI RIVER IN NE4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,159.280000000000001,159.280000000000001,,N/A
ND,Commissioner of University and School Lands,Subsurface,"45 Stat. 676-684, esp. 679-81 (1889)",104132,2910150,MERCER,147,90,8,MISSOURI RIVER IN NE4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,49.090000000000003,49.090000000000003,,N/A
ND,Commissioner of University and School Lands,Subsurface,"46 Stat. 676-684, esp. 679-81 (1889)",104133,2909720,MERCER,147,89,9,MISSOURI RIVER IN NE4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,11.830000000000000,11.830000000000000,,N/A
ND,Commissioner of University and School Lands,Subsurface,"47 Stat. 676-684, esp. 679-81 (1889)",104134,2910190,MERCER,147,90,9,MISSOURI RIVER IN NE4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,62.570000000000000,62.570000000000000,,N/A
ND,Commissioner of University and School Lands,Subsurface,"48 Stat. 676-684, esp. 679-81 (1889)",104205,2815700,MCLEAN,149,87,33,"W2SW4, LOTS 7,8",L,BANK OF NORTH DAKOTA,BANK OF NORTH DAKOTA,51.729999999999997,103.450000000000003,,N/A
ND,Commissioner of University and School Lands,Subsurface,"49 Stat. 676-684, esp. 679-81 (1889)",104215,1312230,DUNN,148,91,9,MISSOURI RIVER IN NE4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,22.510000000000002,22.510000000000002,Y,NORRA RESOURCES LLC
ND,Commissioner of University and School Lands,Subsurface,"50 Stat. 676-684, esp. 679-81 (1889)",104216,2910230,MERCER,147,90,10,MISSOURI RIVER IN NE4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,144.969999999999999,144.969999999999999,,N/A
ND,Commissioner of University and School Lands,Subsurface,"51 Stat. 676-684, esp. 679-81 (1889)",104217,2909200,MERCER,147,87,32,MISSOURI RIVER IN NE4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,107.790000000000006,107.790000000000006,,N/A
ND,Commissioner of University and School Lands,Subsurface,"52 Stat. 676-684, esp. 679-81 (1889)",104218,2909410,MERCER,147,88,32,MISSOURI RIVER IN NE4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,103.560000000000002,103.560000000000002,,N/A
ND,Commissioner of University and School Lands,Subsurface,"53 Stat. 676-684, esp. 679-81 (1889)",104219,1309880,DUNN,150,92,32,MISSOURI RIVER IN NE4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,36.689999999999998,36.689999999999998,Y,OASIS PETROLEUM NORTH AMERICA LLC
ND,Commissioner of University and School Lands,Subsurface,"54 Stat. 676-684, esp. 679-81 (1889)",104220,2718150,MCKENZIE,152,93,32,MISSOURI RIVER IN NE4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,60.479999999999997,60.479999999999997,Y,MARATHON OIL COMPANY
ND,Commissioner of University and School Lands,Subsurface,"55 Stat. 676-684, esp. 679-81 (1889)",104246,2808210,MCLEAN,148,90,6,"E2SW4, LOTS 6,7",A,COMMON SCHOOLS,COMMON SCHOOLS,74.700000000000003,149.400000000000006,,N/A
ND,Commissioner of University and School Lands,Subsurface,"56 Stat. 676-684, esp. 679-81 (1889)",104249,2808090,MCLEAN,148,88,6,"LOTS 1,2",L,BANK OF NORTH DAKOTA,BANK OF NORTH DAKOTA,25.800000000000001,51.600000000000001,,N/A
ND,Commissioner of University and School Lands,Subsurface,"57 Stat. 676-684, esp. 679-81 (1889)",104526,1310120,DUNN,150,93,26,MISSOURI RIVER IN NW4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,76.840000000000003,76.840000000000003,Y,ALAMEDA ENERGY INC
ND,Commissioner of University and School Lands,Subsurface,"58 Stat. 676-684, esp. 679-81 (1889)",104928,2909210,MERCER,147,87,32,MISSOURI RIVER IN NW4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,19.640000000000001,19.640000000000001,,N/A
ND,Commissioner of University and School Lands,Subsurface,"59 Stat. 676-684, esp. 679-81 (1889)",105098,1310040,DUNN,150,92,32,MISSOURI RIVER IN NW4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,147.990000000000009,147.990000000000009,Y,OASIS PETROLEUM NORTH AMERICA LLC
ND,Commissioner of University and School Lands,Subsurface,"60 Stat. 676-684, esp. 679-81 (1889)",105099,2718160,MCKENZIE,152,93,32,MISSOURI RIVER IN NW4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,3.240000000000000,3.240000000000000,Y,MARATHON OIL COMPANY
ND,Commissioner of University and School Lands,Subsurface,"61 Stat. 676-684, esp. 679-81 (1889)",105505,3114340,MOUNTRAIL,151,93,6,MISSOURI RIVER IN SE4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,128.120000000000005,128.120000000000005,Y,MARATHON OIL COMPANY
ND,Commissioner of University and School Lands,Subsurface,"62 Stat. 676-684, esp. 679-81 (1889)",105849,2909670,MERCER,147,89,7,MISSOURI RIVER IN SE4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,0.49,0.49,,N/A
ND,Commissioner of University and School Lands,Subsurface,"63 Stat. 676-684, esp. 679-81 (1889)",106239,1312040,DUNN,148,91,35,MISSOURI RIVER IN NW4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,122.280000000000001,122.280000000000001,Y,ADVANTA RESOURCES LLC
