OBJECTID,state,managing_agency,state_enabling_act,rights_type,county,township,range,section,aliquot,trust_name,activity,activity_info_2,net_acres,lease_status,LESSEE,gis_acres
102295,ND,Commissioner of University and School Lands,"25 Stat. 676-684, esp. 679-81 (1889)",Subsurface,DUNN,149,91,11,MISSOURI RIVER IN SE4,SOVEREIGNÊLANDS,Oil and gas lease,layer_index: ND-Oil and gas lease activity: Oil and gas lease lease_status: PR lessee: OASIS PETROLEUM NORTH AMERICA LLC,74.019999999999996,PR,OASIS PETROLEUM NORTH AMERICA LLC,74.03
102309,ND,Commissioner of University and School Lands,"25 Stat. 676-684, esp. 679-81 (1889)",Subsurface,MOUNTRAIL,151,91,23,E2SW4,NDÊSTATEÊTREASURER,Oil and gas lease,layer_index: ND-Oil and gas lease activity: Oil and gas lease lease_status: PR lessee: MARSHALL & WINSTON INC,40.000000000000000,PR,MARSHALL & WINSTON INC,79.02
102593,ND,Commissioner of University and School Lands,"25 Stat. 676-684, esp. 679-81 (1889)",Subsurface,MERCER,147,90,7,MISSOURI RIVER IN SE4,SOVEREIGNÊLANDS,,,1.790000000000000,,N/A,1.793
102665,ND,Commissioner of University and School Lands,"25 Stat. 676-684, esp. 679-81 (1889)",Subsurface,DUNN,150,93,7,MISSOURI RIVER IN SE4,SOVEREIGNÊLANDS,Oil and gas lease,layer_index: ND-Oil and gas lease activity: Oil and gas lease lease_status: PR lessee: MARATHON OIL COMPANY,18.750000000000000,PR,MARATHON OIL COMPANY,18.75
103018,ND,Commissioner of University and School Lands,"25 Stat. 676-684, esp. 679-81 (1889)",Subsurface,MOUNTRAIL,152,91,19,SW4NE4,BANK OFÊNORTHÊDAKOTA,Oil and gas lease,layer_index: ND-Oil and gas lease activity: Oil and gas lease lease_status: PR lessee: Multiple Lessees,20.000000000000000,PR,Multiple Lessees,38.103
103019,ND,Commissioner of University and School Lands,"25 Stat. 676-684, esp. 679-81 (1889)",Subsurface,MOUNTRAIL,152,91,19,"LOTS 1,2",BANK OFÊNORTHÊDAKOTA,Oil and gas lease,layer_index: ND-Oil and gas lease activity: Oil and gas lease lease_status: PR lessee: Multiple Lessees,33.390000000000001,PR,Multiple Lessees,68.861
103456,ND,Commissioner of University and School Lands,"25 Stat. 676-684, esp. 679-81 (1889)",Subsurface,MERCER,147,87,27,MISSOURI RIVER IN NW4,SOVEREIGNÊLANDS,,,106.319999999999993,,N/A,106.325
103457,ND,Commissioner of University and School Lands,"25 Stat. 676-684, esp. 679-81 (1889)",Subsurface,DUNN,148,91,27,MISSOURI RIVER IN NW4,SOVEREIGNÊLANDS,Oil and gas lease,layer_index: ND-Oil and gas lease activity: Oil and gas lease lease_status: AC lessee: SKYWORLD OIL ND LTD,9.010000000000000,AC,SKYWORLD OIL ND LTD,9.009
103458,ND,Commissioner of University and School Lands,"25 Stat. 676-684, esp. 679-81 (1889)",Subsurface,DUNN,150,93,27,MISSOURI RIVER IN NW4,SOVEREIGNÊLANDS,Oil and gas lease,layer_index: ND-Oil and gas lease activity: Oil and gas lease lease_status: AC lessee: Multiple Lessees,109.680000000000007,AC,Multiple Lessees,109.695
103542,ND,Commissioner of University and School Lands,"25 Stat. 676-684, esp. 679-81 (1889)",Subsurface,MCKENZIE,152,93,27,MISSOURI RIVER IN NW4,SOVEREIGNÊLANDS,Oil and gas lease,layer_index: ND-Oil and gas lease activity: Oil and gas lease lease_status: PR lessee: A. G. ANDRIKOPOULOS RESOURCES INC,110.920000000000002,PR,A. G. ANDRIKOPOULOS RESOURCES INC,110.933
