TRACT_ID,ACRES,COUNTY,TOWNSHIP,RANGE,SECTION,SUBDIVISIO,SECTWPRNG,Trust,Trust_Desc
"2708880",85.60000000,MCKENZIE,"152","95","36","LOTS 3,4","3615295",A,COMMON SCHOOLS
"3100090",40.00000000,MOUNTRAIL,"150","92","19",SE4NE4,"1915092",A,COMMON SCHOOLS
"3100100",40.00000000,MOUNTRAIL,"150","92","20",SW4SE4,"2015092",A,COMMON SCHOOLS
"3100130",160.00000000,MOUNTRAIL,"150","92","27",SE4,"2715092",I,ND INDUSTRIAL SCHOOL
"3100120",80.00000000,MOUNTRAIL,"150","92","26",W2SW4,"2615092",I,ND INDUSTRIAL SCHOOL
"3101880",160.00000000,MOUNTRAIL,"152","88","16",NE4,"1615288",A,COMMON SCHOOLS
"2811350",160.00000000,MCLEAN,"149","89","16",NW4,"1614989",A,COMMON SCHOOLS
"2811340",160.00000000,MCLEAN,"149","89","16",NE4,"1614989",A,COMMON SCHOOLS
"2808250",160.00000000,MCLEAN,"148","90","18",NE4,"1814890",A,COMMON SCHOOLS
"2808240",80.00000000,MCLEAN,"148","90","16",E2NE4,"1614890",A,COMMON SCHOOLS
"1307811",80.00000000,DUNN,"146","92","16",S2SE4,"1614692",A,COMMON SCHOOLS
"2706971",88.84000000,MCKENZIE,"151","95","36","LOTS 1,2","3615195",A,COMMON SCHOOLS
"2814950",160.00000000,MCLEAN,"150","89","36",SE4,"3615089",A,COMMON SCHOOLS
"2811310",159.36000000,MCLEAN,"149","89","9",SE4,"914989",E,ELLENDALE
"3101520",139.43000000,MOUNTRAIL,"151","92","36","W2NE4SW4, NW4SW4, S2SW4","3615192",A,COMMON SCHOOLS
"2706972",89.24000000,MCKENZIE,"151","95","36","LOTS 3,4","3615195",A,COMMON SCHOOLS
"3100050",77.46000000,MOUNTRAIL,"150","92","10",S2SW4,"1015092",A,COMMON SCHOOLS
"2814330",160.00000000,MCLEAN,"150","88","16",NW4,"1615088",A,COMMON SCHOOLS
"2814740",160.00000000,MCLEAN,"150","89","17",NE4,"1715089",A,COMMON SCHOOLS
"2814750",160.00000000,MCLEAN,"150","89","17",NW4,"1715089",A,COMMON SCHOOLS
"3100080",80.00000000,MOUNTRAIL,"150","92","15",W2SW4,"1515092",A,COMMON SCHOOLS
"2814350",160.00000000,MCLEAN,"150","88","16",SW4,"1615088",A,COMMON SCHOOLS
"3101900",140.71000000,MOUNTRAIL,"152","88","16",SE4,"1615288",A,COMMON SCHOOLS
"3102760",160.00000000,MOUNTRAIL,"152","92","14",SE4,"1415292",A,COMMON SCHOOLS
"3102822",46.98000000,MOUNTRAIL,"152","92","23",NE4NW4,"2315292",A,COMMON SCHOOLS
"3102821",50.00000000,MOUNTRAIL,"152","92","23","W2W2NE4NE4, NW4NE4","2315292",A,COMMON SCHOOLS
"2808260",48.01000000,MCLEAN,"148","90","19","NE4NW4, LOT 1","1914890",A,COMMON SCHOOLS
"2808270",36.21000000,MCLEAN,"148","90","19",NW4SE4,"1914890",A,COMMON SCHOOLS
"2708870",84.96000000,MCKENZIE,"152","95","36","LOTS 1,2","3615295",A,COMMON SCHOOLS
"2808150",78.36000000,MCLEAN,"148","88","36",N2NE4,"3614888",I,ND INDUSTRIAL SCHOOL
"4304110",80.00000000,SIOUX,"132","82","20",E2SE4,"2013282",A,COMMON SCHOOLS
"4304140",120.00000000,SIOUX,"132","82","28","E2NW4, NW4NW4","2813282",A,COMMON SCHOOLS
"4304130",80.00000000,SIOUX,"132","82","28",W2NE4,"2813282",A,COMMON SCHOOLS
"4301490",160.00000000,SIOUX,"129","86","28",NE4,"2812986",A,COMMON SCHOOLS
"4301450",160.00000000,SIOUX,"129","86","25",NE4,"2512986",A,COMMON SCHOOLS
"4301500",160.00000000,SIOUX,"129","86","28",NW4,"2812986",A,COMMON SCHOOLS
"4301860",160.00000000,SIOUX,"129","89","26",SW4,"2612989",A,COMMON SCHOOLS
"4301850",160.00000000,SIOUX,"129","89","26",SE4,"2612989",A,COMMON SCHOOLS
"4301470",160.00000000,SIOUX,"129","86","25",SE4,"2512986",A,COMMON SCHOOLS
"4300730",160.00000000,SIOUX,"129","83","28",SE4,"2812983",A,COMMON SCHOOLS
"4303511",86.00000000,SIOUX,"131","82","16",NE4 E OF HWY,"1613182",A,COMMON SCHOOLS
"4303512",65.04000000,SIOUX,"131","82","16",NE4 W OF HWY,"1613182",A,COMMON SCHOOLS
"4303740",160.00000000,SIOUX,"131","83","33",NW4,"3313183",A,COMMON SCHOOLS
"4303841",80.00000000,SIOUX,"131","84","36",W2NE4,"3613184",A,COMMON SCHOOLS
"4303730",160.00000000,SIOUX,"131","83","33",NE4,"3313183",A,COMMON SCHOOLS
"4303850",160.00000000,SIOUX,"131","84","36",NW4,"3613184",A,COMMON SCHOOLS
"4303400",151.00000000,SIOUX,"131","81","31",NW4,"3113181",A,COMMON SCHOOLS
"4301410",160.00000000,SIOUX,"129","86","21",NE4,"2112986",A,COMMON SCHOOLS
"4301420",160.00000000,SIOUX,"129","86","21",NW4,"2112986",A,COMMON SCHOOLS
"4300200",160.00000000,SIOUX,"129","80","20",NW4,"2012980",A,COMMON SCHOOLS
"4301430",160.00000000,SIOUX,"129","86","21",SE4,"2112986",A,COMMON SCHOOLS
"4301440",160.00000000,SIOUX,"129","86","21",SW4,"2112986",A,COMMON SCHOOLS
"4300550",80.00000000,SIOUX,"129","82","20",W2SW4,"2012982",A,COMMON SCHOOLS
"4301810",160.00000000,SIOUX,"129","89","25",NE4,"2512989",A,COMMON SCHOOLS
"4301820",160.00000000,SIOUX,"129","89","25",NW4,"2512989",A,COMMON SCHOOLS
"4301600",160.00000000,SIOUX,"129","87","26",NE4,"2612987",A,COMMON SCHOOLS
"4303212",78.94000000,SIOUX,"130","89","36","LOTS 9,10","3613089",A,COMMON SCHOOLS
"4302200",160.00000000,SIOUX,"130","81","28",NW4,"2813081",A,COMMON SCHOOLS
"4302190",160.00000000,SIOUX,"130","81","28",NE4,"2813081",A,COMMON SCHOOLS
"4302090",154.20000000,SIOUX,"130","80","30",NW4,"3013080",A,COMMON SCHOOLS
"4302080",160.00000000,SIOUX,"130","80","30",NE4,"3013080",A,COMMON SCHOOLS
"4302950",155.00000000,SIOUX,"130","84","25",SE4,"2513084",A,COMMON SCHOOLS
"4302220",160.00000000,SIOUX,"130","81","28",SW4,"2813081",A,COMMON SCHOOLS
"4302210",160.00000000,SIOUX,"130","81","28",SE4,"2813081",A,COMMON SCHOOLS
"4302100",160.00000000,SIOUX,"130","80","30",SE4,"3013080",A,COMMON SCHOOLS
"4302110",154.60000000,SIOUX,"130","80","30",SW4,"3013080",A,COMMON SCHOOLS
"4302980",160.00000000,SIOUX,"130","84","34",SW4,"3413084",A,COMMON SCHOOLS
"4302970",160.00000000,SIOUX,"130","84","34",SE4,"3413084",A,COMMON SCHOOLS
"4303010",160.00000000,SIOUX,"130","84","35",SE4,"3513084",A,COMMON SCHOOLS
"4303690",160.00000000,SIOUX,"131","83","28",SE4,"2813183",A,COMMON SCHOOLS
"4303660",160.00000000,SIOUX,"131","83","27",SW4,"2713183",A,COMMON SCHOOLS
"4303531",125.80000000,SIOUX,"131","82","16",SE4 E OF HWY,"1613182",A,COMMON SCHOOLS
"4303532",24.00000000,SIOUX,"131","82","16",SE4 W OF HWY,"1613182",A,COMMON SCHOOLS
"4303060",160.00000000,SIOUX,"130","84","36",SW4,"3613084",A,COMMON SCHOOLS
"4302820",157.43000000,SIOUX,"130","83","31",SW4,"3113083",A,COMMON SCHOOLS
"4302810",160.00000000,SIOUX,"130","83","31",SE4,"3113083",A,COMMON SCHOOLS
"4303020",160.00000000,SIOUX,"130","84","35",SW4,"3513084",A,COMMON SCHOOLS
"4303050",160.00000000,SIOUX,"130","84","36",SE4,"3613084",A,COMMON SCHOOLS
"4302340",156.00000000,SIOUX,"130","81","36",SW4,"3613081",A,COMMON SCHOOLS
"4302330",149.40000000,SIOUX,"130","81","36",SE4,"3613081",A,COMMON SCHOOLS
"4303213",23.49000000,SIOUX,"130","89","36",LOT 11,"3613089",A,COMMON SCHOOLS
"4303222",50.10000000,SIOUX,"130","89","36","LOTS 12,13","3613089",A,COMMON SCHOOLS
"4303221",45.69000000,SIOUX,"130","89","36","LOTS 14,15","3613089",A,COMMON SCHOOLS
"4303222",50.10000000,SIOUX,"130","89","36","LOTS 12,13","3613089",A,COMMON SCHOOLS
"1900423",27.50000000,GRANT,"130","89","36",LOT 7,"3613089",A,COMMON SCHOOLS
"4300760",160.00000000,SIOUX,"129","84","1","S2NE4, LOTS 1,2","112984",A,COMMON SCHOOLS
"4300800",160.00000000,SIOUX,"129","84","2",SE4,"212984",A,COMMON SCHOOLS
"4300810",160.00000000,SIOUX,"129","84","2",SW4,"212984",A,COMMON SCHOOLS
"1900421",20.00000000,GRANT,"130","89","36",LOT 2,"3613089",A,COMMON SCHOOLS
"4301551",30.77000000,SIOUX,"129","87","16",NE4 E OF RD,"1612987",A,COMMON SCHOOLS
"4301571",58.20000000,SIOUX,"129","87","16",SE4 E OF RD,"1612987",A,COMMON SCHOOLS
"4303150",19.60000000,SIOUX,"130","86","23",LOT 6,"2313086",A,COMMON SCHOOLS
"4302450",80.00000000,SIOUX,"130","82","19",E2NW4,"1913082",A,COMMON SCHOOLS
"4302460",160.00000000,SIOUX,"130","82","20",NW4,"2013082",A,COMMON SCHOOLS
"4302470",80.00000000,SIOUX,"130","82","21",W2NW4,"2113082",A,COMMON SCHOOLS
"4302010",153.40000000,SIOUX,"130","80","19","E2NW4, LOTS 1,2","1913080",A,COMMON SCHOOLS
"4302030",153.80000000,SIOUX,"130","80","19","E2SW4, LOTS 3,4","1913080",A,COMMON SCHOOLS
"4302020",160.00000000,SIOUX,"130","80","19",SE4,"1913080",A,COMMON SCHOOLS
"4303290",160.00000000,SIOUX,"130","90","36",SE4,"3613090",A,COMMON SCHOOLS
"4303300",160.00000000,SIOUX,"130","90","36",SW4,"3613090",A,COMMON SCHOOLS
"1900422",80.30000000,GRANT,"130","89","36","LOTS 4,5,6","3613089",A,COMMON SCHOOLS
"4303130",160.00000000,SIOUX,"130","85","36",SE4,"3613085",A,COMMON SCHOOLS
"4303140",160.00000000,SIOUX,"130","85","36",SW4,"3613085",A,COMMON SCHOOLS
"4303180",160.00000000,SIOUX,"130","86","36",SE4,"3613086",A,COMMON SCHOOLS
"4303190",160.00000000,SIOUX,"130","86","36",SW4,"3613086",A,COMMON SCHOOLS
"4304380",160.00000000,SIOUX,"133","81","10",NE4,"1013381",N,ND STATE UNIVERSITY
"4303810",160.00000000,SIOUX,"131","84","27",SE4,"2713184",A,COMMON SCHOOLS
"4303820",160.00000000,SIOUX,"131","84","27",SW4,"2713184",A,COMMON SCHOOLS
"4303700",160.00000000,SIOUX,"131","83","28",SW4,"2813183",A,COMMON SCHOOLS
"4303270",160.00000000,SIOUX,"130","90","36",NE4,"3613090",A,COMMON SCHOOLS
"4303280",160.00000000,SIOUX,"130","90","36",NW4,"3613090",A,COMMON SCHOOLS
"1900410",103.70000000,GRANT,"130","89","36","NE4NE4, LOTS 1,3","3613089",A,COMMON SCHOOLS
"4303110",160.00000000,SIOUX,"130","85","36",NE4,"3613085",A,COMMON SCHOOLS
"4302960",152.55000000,SIOUX,"130","84","31","E2NW4, LOTS 1,2","3113084",A,COMMON SCHOOLS
"4303120",160.00000000,SIOUX,"130","85","36",NW4,"3613085",A,COMMON SCHOOLS
"4303170",160.00000000,SIOUX,"130","86","36",NW4,"3613086",A,COMMON SCHOOLS
"4303160",160.00000000,SIOUX,"130","86","36",NE4,"3613086",A,COMMON SCHOOLS
"4302990",160.00000000,SIOUX,"130","84","35",NE4,"3513084",A,COMMON SCHOOLS
"4303040",160.00000000,SIOUX,"130","84","36",NW4,"3613084",A,COMMON SCHOOLS
"4302800",157.61000000,SIOUX,"130","83","31",NW4,"3113083",A,COMMON SCHOOLS
"4302790",160.00000000,SIOUX,"130","83","31",NE4,"3113083",A,COMMON SCHOOLS
"4303000",160.00000000,SIOUX,"130","84","35",NW4,"3513084",A,COMMON SCHOOLS
"4303030",160.00000000,SIOUX,"130","84","36",NE4,"3613084",A,COMMON SCHOOLS
"4302290",160.00000000,SIOUX,"130","81","33",NE4,"3313081",A,COMMON SCHOOLS
"4302320",160.00000000,SIOUX,"130","81","36",NW4,"3613081",A,COMMON SCHOOLS
"4302310",160.00000000,SIOUX,"130","81","36",NE4,"3613081",A,COMMON SCHOOLS
"4303211",15.57000000,SIOUX,"130","89","36",LOT 8,"3613089",A,COMMON SCHOOLS
"4301780",160.00000000,SIOUX,"129","89","16",NW4,"1612989",A,COMMON SCHOOLS
"4301770",160.00000000,SIOUX,"129","89","16",NE4,"1612989",A,COMMON SCHOOLS
"4301230",155.02000000,SIOUX,"129","85","16",NW4,"1612985",A,COMMON SCHOOLS
"4301560",160.00000000,SIOUX,"129","87","16",NW4,"1612987",A,COMMON SCHOOLS
"4301552",129.23000000,SIOUX,"129","87","16",NE4 W OF RD,"1612987",A,COMMON SCHOOLS
"4301220",160.00000000,SIOUX,"129","85","16",NE4,"1612985",A,COMMON SCHOOLS
