Meridian,Township,Range,Section,SurveyType,Aliquot,ParcelNumb,LLDID,GEOID,ParentGEOI,UniversalI,ParentUniv,AppTownshi,AppRange,AppSection,AppAliquot,CountyCode,BeneGroupC,EffectiveD,Terminatio,Status,WorkflowSt,ParcelAcre,ParcelAc_1,ValidGeogr,ValidAttri,OngardStat,CreatedUse,CreatedDat,LastEdited,LastEdit_1,AuditProgr,GEOCODETIM,GEOCODEUSE,GEOCODEGRI,GlobalID,Shape_STAr,Shape_STLe
"23",0050N,0060W,"02",A,NESE,"000",230050N0060W002ANESE,230050N0060W002ANESE000,,,,05N,06W,"2",NE4SE4,"6","01",,,A,,40.00000000,,,,,GIS,2022/03/19,GIS,2022/03/19,UPLOAD,2014/12/20,wbaillargeon,LUMASGridPrimary,{94A33F19-5058-42AD-A12E-E8958407369C},160327.66185400001,1601.70115565000
"23",0050N,0060W,"02",A,NWSW,"000",230050N0060W002ANWSW,230050N0060W002ANWSW000,,,,05N,06W,"2",NW4SW4,"6","01",,,A,,40.00000000,,,,,GIS,2022/03/19,GIS,2022/03/19,UPLOAD,2014/12/20,wbaillargeon,LUMASGridPrimary,{81CFBA9F-E6F5-4FF6-A2C9-86D9A6608F4D},162157.77337700000,1610.81100512000
"23",0050N,0060W,"02",A,SENE,"000",230050N0060W002ASENE,230050N0060W002ASENE000,,,,05N,06W,"2",SE4NE4,"6","01",,,A,,40.00000000,,,,,GIS,2022/03/19,GIS,2022/03/19,UPLOAD,2014/12/20,wbaillargeon,LUMASGridPrimary,{52EC15A0-54D4-426C-AFD8-D90FA6ABE596},162106.30291299999,1610.56255531000
"23",0050N,0060W,"02",A,SESE,"000",230050N0060W002ASESE,230050N0060W002ASESE000,,,,05N,06W,"2",SE4SE4,"6","01",,,A,,40.00000000,,,,,GIS,2022/03/19,GIS,2022/03/19,UPLOAD,2014/12/20,wbaillargeon,LUMASGridPrimary,{849DAD36-B0E6-48C5-98FE-EB6FC1112FC8},159703.99709500000,1598.55077705000
"23",0050N,0060W,"02",A,SESW,"000",230050N0060W002ASESW,230050N0060W002ASESW000,,,,05N,06W,"2",SE4SW4,"6","01",,,A,,40.00000000,,,,,GIS,2022/03/19,GIS,2022/03/19,UPLOAD,2014/12/20,wbaillargeon,LUMASGridPrimary,{B9BCD26D-41BE-4CE2-8B0A-915481D1CB0F},162855.87812600000,1614.31771773000
"23",0050N,0060W,"02",A,SWNW,"000",230050N0060W002ASWNW,230050N0060W002ASWNW000,,,,05N,06W,"2",SW4NW4,"6","01",,,A,,40.00000000,,,,,GIS,2022/03/19,GIS,2022/03/19,UPLOAD,2014/12/20,wbaillargeon,LUMASGridPrimary,{3FB306FF-CF0C-4166-ACA8-38F66C596F91},159828.11248000001,1599.32347057000
"23",0050N,0060W,"02",A,SWSE,"000",230050N0060W002ASWSE,230050N0060W002ASWSE000,,,,05N,06W,"2",SW4SE4,"6","01",,,A,,40.00000000,,,,,GIS,2022/03/19,GIS,2022/03/19,UPLOAD,2014/12/20,wbaillargeon,LUMASGridPrimary,{83F84398-9DA3-42BB-B220-BDD1D57471EF},161281.81967699999,1606.40791561000
"23",0050N,0060W,"16",A,NENE,"000",230050N0060W016ANENE,230050N0060W016ANENE000,,,,05N,06W,"16",NE4NE4,"6","01",,,A,,40.00000000,,,,,GIS,2022/03/19,GIS,2022/03/19,UPLOAD,2014/12/20,wbaillargeon,LUMASGridPrimary,{BE9ABF41-F406-48D9-9CA4-CF60AF18BEDD},157633.95249699999,1588.51803539000
"23",0050N,0060W,"16",A,NENW,"000",230050N0060W016ANENW,230050N0060W016ANENW000,,,,05N,06W,"16",NE4NW4,"6","01",,,A,,40.00000000,,,,,GIS,2022/03/19,GIS,2022/03/19,UPLOAD,2014/12/20,wbaillargeon,LUMASGridPrimary,{D775D721-E6B7-489D-A3C6-3EBF3211CE0A},160485.86021099999,1602.78435083000
"23",0050N,0060W,"16",A,NWNE,"000",230050N0060W016ANWNE,230050N0060W016ANWNE000,,,,05N,06W,"16",NW4NE4,"6","01",,,A,,40.00000000,,,,,GIS,2022/03/19,GIS,2022/03/19,UPLOAD,2014/12/20,wbaillargeon,LUMASGridPrimary,{AD108AFD-8A0E-4E1F-BF2C-72EFB16B92CC},158637.69484499999,1593.57811370000
"23",0050N,0060W,"16",A,NWNW,"000",230050N0060W016ANWNW,230050N0060W016ANWNW000,,,,05N,06W,"16",NW4NW4,"6","01",,,A,,40.00000000,,,,,GIS,2022/03/19,GIS,2022/03/19,UPLOAD,2014/12/20,wbaillargeon,LUMASGridPrimary,{9E720DDD-86DB-4A7D-BB67-8907841CC27E},161596.60693800001,1608.12217892000
"23",0050N,0060W,"16",A,NWSW,"000",230050N0060W016ANWSW,230050N0060W016ANWSW000,,,,05N,06W,"16",NW4SW4,"6","01",,,A,,40.00000000,,,,,GIS,2022/03/19,GIS,2022/03/19,UPLOAD,2014/12/20,wbaillargeon,LUMASGridPrimary,{1FBEA009-1C44-4AA2-9627-620787DEA38C},161224.28167800000,1606.72900628000
"23",0050N,0060W,"16",A,SENE,"000",230050N0060W016ASENE,230050N0060W016ASENE000,,,,05N,06W,"16",SE4NE4,"6","01",,,A,,40.00000000,,,,,GIS,2022/03/19,GIS,2022/03/19,UPLOAD,2014/12/20,wbaillargeon,LUMASGridPrimary,{6A4DC25A-A1BA-4B93-8870-0B3E74E76DC7},157013.04823799999,1585.24639726000
"23",0050N,0060W,"16",A,SESE,"000",230050N0060W016ASESE,230050N0060W016ASESE000,,,,05N,06W,"16",SE4SE4,"6","01",,,A,,40.00000000,,,,,GIS,2022/03/19,GIS,2022/03/19,UPLOAD,2014/12/20,wbaillargeon,LUMASGridPrimary,{122605E0-8F61-46F0-BBDD-AA475F18AAB5},155621.42436800001,1578.05169878000
"23",0050N,0060W,"16",A,SWNW,"000",230050N0060W016ASWNW,230050N0060W016ASWNW000,,,,05N,06W,"16",SW4NW4,"6","01",,,A,,40.00000000,,,,,GIS,2022/03/19,GIS,2022/03/19,UPLOAD,2014/12/20,wbaillargeon,LUMASGridPrimary,{C0330800-36AA-4CB1-B4D2-F33038157F7C},163059.54067799999,1615.39459443000
"23",0050N,0060W,"16",A,SWSW,"000",230050N0060W016ASWSW,230050N0060W016ASWSW000,,,,05N,06W,"16",SW4SW4,"6","01",,,A,,40.00000000,,,,,GIS,2022/03/19,GIS,2022/03/19,UPLOAD,2014/12/20,wbaillargeon,LUMASGridPrimary,{DFB10B1F-F312-4E37-9CF1-CF3FBB4C9D14},160323.88208300000,1602.13642843000
"23",0050N,0070W,"02",A,NESE,"000",230050N0070W002ANESE,230050N0070W002ANESE000,,,,05N,07W,"2",NE4SE4,"6","01",,,A,,40.00000000,,,,,GIS,2022/03/19,GIS,2022/03/19,UPLOAD,2014/12/20,wbaillargeon,LUMASGridPrimary,{78CCC73A-21AB-4D45-93A8-6C925B8CD71A},162178.47384200001,1610.88017769000
"23",0050N,0070W,"02",A,SENE,"000",230050N0070W002ASENE,230050N0070W002ASENE000,,,,05N,07W,"2",SE4NE4,"6","01",,,A,,40.00000000,,,,,GIS,2022/03/19,GIS,2022/03/19,UPLOAD,2014/12/20,wbaillargeon,LUMASGridPrimary,{A94C20B4-3FCD-429E-BB70-7E4084EAA839},162985.98831399999,1614.87937206000
"23",0050N,0070W,"02",A,SESE,"000",230050N0070W002ASESE,230050N0070W002ASESE000,,,,05N,07W,"2",SE4SE4,"6","01",,,A,,40.00000000,,,,,GIS,2022/03/19,GIS,2022/03/19,UPLOAD,2014/12/20,wbaillargeon,LUMASGridPrimary,{1EEC7F27-AA52-4A5E-A565-C257E5B63205},161774.64582500001,1608.93065790000
"23",0060N,0060W,"02",A,SESE,"000",230060N0060W002ASESE,230060N0060W002ASESE000,,,,06N,06W,"2",SE4SE4,"6","01",,,A,,40.00000000,,,,,GIS,2022/03/19,GIS,2022/03/19,UPLOAD,2014/12/20,wbaillargeon,LUMASGridPrimary,{6C274C85-57E3-44E5-9F8E-901FEFE193AB},163244.82776300001,1616.30917319000
"23",0060N,0060W,"26",A,NWNW,"000",230060N0060W026ANWNW,230060N0060W026ANWNW000,,,,06N,06W,"26",NW4NW4,"6","01",,,A,,40.00000000,,,,,GIS,2022/03/19,GIS,2022/03/19,UPLOAD,2014/12/20,wbaillargeon,LUMASGridPrimary,{B718F6DE-E7D1-42D5-B35E-14B32865655B},161046.15194800001,1605.44506287000
