OBJECTID,state,managing_agency,rights_type,state_enabling_act,Acres,trust_name
398,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",641.33,School and Public Lands
399,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",642.87,School and Public Lands
400,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",622.63,School and Public Lands
401,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",641.66,School and Public Lands
402,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",651.5,School and Public Lands
403,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",636.77,School and Public Lands
404,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",318.57,School and Public Lands
470,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",639.68,School and Public Lands
471,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",482.87,School and Public Lands
472,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",320.34,School and Public Lands
475,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",378.57,School and Public Lands
476,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",656.26,School and Public Lands
477,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",329.31,School and Public Lands
478,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",477.46,School and Public Lands
479,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",635.13,School and Public Lands
480,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",805.73,School and Public Lands
481,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",635.98,School and Public Lands
