state,managing_agency,rights_type,state_enabling_act,activity,objectid,township,range,section,county,bene_cd,bene_abrev,legal_desc,acres
UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),Oil and gas,405510,41,17,36,Washington,10,SCH,"NE4,E2SE4,N2SW4,SW4SW4",360.000000000000000
UT,Trust Lands Administration,Subsurface,29 Stat. 107-110 (1894),Oil and gas,400651,5,8,2,Tooele,10,SCH,"LOTS 1-4, S2N2, S2 (ALL)",640.960000000000036
UT,Trust Lands Administration,Subsurface,30 Stat. 107-110 (1894),Oil and gas,400652,5,8,24,Tooele,10,SCH,ALL,640.000000000000000
UT,Trust Lands Administration,Subsurface,31 Stat. 107-110 (1894),Oil and gas,400654,5,8,36,Tooele,10,SCH,ALL,640.000000000000000
UT,Trust Lands Administration,Subsurface,32 Stat. 107-110 (1894),Oil and gas,400954,9,19,22,Tooele,6,NS,NE4SW4,40.000000000000000
UT,Trust Lands Administration,Subsurface,33 Stat. 107-110 (1894),Oil and gas,400956,9,19,32,Tooele,10,SCH,ALL,640.000000000000000
UT,Trust Lands Administration,Subsurface,34 Stat. 107-110 (1894),Oil and gas,401051,10,19,36,Tooele,10,SCH,ALL,640.000000000000000
UT,Trust Lands Administration,Subsurface,35 Stat. 107-110 (1894),Oil and gas,401052,10,20,36,Tooele,10,SCH,"LOTS 1(118.94), 2(119.22) [ALL]",238.159999999999997
UT,Trust Lands Administration,Subsurface,36 Stat. 107-110 (1894),Oil and gas,406041,3,1,22,Salt Lake,10,SCH,"NE4, E2NW4",240.000000000000000
UT,Trust Lands Administration,Subsurface,37 Stat. 107-110 (1894),Oil and gas,406043,3,1,23,Salt Lake,10,SCH,"NE4NE4, NW4",200.000000000000000
UT,Trust Lands Administration,Subsurface,38 Stat. 107-110 (1894),Oil and gas,406191,4,19,2,Uintah,10,SCH,"LOTS 1(48.76), 2(44.13), 3(39.51), 4(34.90) [ALL]",167.300000000000011
UT,Trust Lands Administration,Subsurface,39 Stat. 107-110 (1894),Oil and gas,406292,5,19,2,Uintah,10,SCH,"LOTS 1(42.30), 2(42.32), 3(42.36), 4(36.84), 5(33.55), S2NE4, SE4NW4, S2 [ALL]",637.370000000000005
UT,Trust Lands Administration,Subsurface,40 Stat. 107-110 (1894),Oil and gas,406296,5,19,16,Uintah,10,SCH,"LOTS 1(25.68), 4(32.37), NE4NE4 [LOTS AKA PART OF NW4NE4, PART OF SW4SW4]",98.049999999999997
UT,Trust Lands Administration,Subsurface,41 Stat. 107-110 (1894),Oil and gas,406297,5,19,32,Uintah,10,SCH,LOT 1 [PART OF NE4NE4],7.820000000000000
UT,Trust Lands Administration,Subsurface,42 Stat. 107-110 (1894),Oil and gas,406298,5,19,36,Uintah,10,SCH,ALL,640.000000000000000
UT,Trust Lands Administration,Subsurface,43 Stat. 107-110 (1894),Oil and gas,406314,5,20,32,Uintah,10,SCH,"LOTS 1(45.11), 2(44.84), 3(44.58), 4(44.31), N2, N2S2 [ALL]",658.840000000000032
UT,Trust Lands Administration,Subsurface,44 Stat. 107-110 (1894),Oil and gas,406315,5,20,36,Uintah,10,SCH,"LOTS 1(40.77), 2(40.55), 3(40.33), 4(40.11), NW4, N2SW4, NW4SE4 [LOTS AKA S2S2]",441.759999999999991
UT,Trust Lands Administration,Subsurface,45 Stat. 107-110 (1894),Oil and gas,406360,5,21,32,Uintah,10,SCH,"LOTS 1(40.06), 2(40.69), 3(41.36), 4(41.51), N2, N2S2 [ALL]",643.620000000000005
UT,Trust Lands Administration,Subsurface,46 Stat. 107-110 (1894),Oil and gas,406362,5,21,35,Uintah,10,SCH,"W2, SE4",480.000000000000000
UT,Trust Lands Administration,Subsurface,47 Stat. 107-110 (1894),Oil and gas,406364,5,21,36,Uintah,10,SCH,"LOTS 1(19.27), 2(40.00), 3(40.00), 4(20.17), 5(21.07), 6(40.00), 7(40.00), 8(21.97), W2E2, W2 [ALL]",722.480000000000018
