state,managing_agency,rights_type,state_enabling_act,objectid,township,range,section,county,bene_cd,bene_abrev,aliquot,acres
UT,Trust Lands Administration,Surface,28 Stat. 107-110 (1894),297729,9,19,32,Tooele,10,SCH,ALL,640.000000000000000
UT,Trust Lands Administration,Surface,29 Stat. 107-110 (1894),298290,10,20,36,Tooele,10,SCH,"LOTS 1, 2 (ALL)",238.159999999999997
UT,Trust Lands Administration,Surface,30 Stat. 107-110 (1894),289628,7,20,2,Uintah,10,SCH,"LOTS 1-4, S2N2, S2 (ALL)",642.879999999999995
UT,Trust Lands Administration,Surface,31 Stat. 107-110 (1894),289649,9,25,21,Uintah,10,SCH,"LOTS 1, 2, S2NE4, NW4, S2 (ALL)",638.590000000000032
UT,Trust Lands Administration,Surface,32 Stat. 107-110 (1894),289692,15,23,13,Uintah,10,SCH,ALL,640.000000000000000
UT,Trust Lands Administration,Surface,33 Stat. 107-110 (1894),289755,12,20,16,Uintah,10,SCH,ALL,640.000000000000000
UT,Trust Lands Administration,Surface,34 Stat. 107-110 (1894),289759,7,21,36,Uintah,10,SCH,ALL,640.000000000000000
UT,Trust Lands Administration,Surface,35 Stat. 107-110 (1894),289764,9,25,19,Uintah,10,SCH,SE4,160.000000000000000
UT,Trust Lands Administration,Surface,36 Stat. 107-110 (1894),289767,13,23,32,Uintah,10,SCH,ALL,640.000000000000000
UT,Trust Lands Administration,Surface,37 Stat. 107-110 (1894),289768,11,23,36,Uintah,10,SCH,ALL,640.000000000000000
UT,Trust Lands Administration,Surface,38 Stat. 107-110 (1894),289769,11,25,32,Uintah,10,SCH,"LOTS 7(40.00), 8(26.82), 9(40.00), 10(40.00), 11(36.75), 12(30.54), 13(40.00), NE4, NE4NW4, S2SW4, E2SE4 [ALL, EXCEPT MINING CLAIM]",614.110000000000014
UT,Trust Lands Administration,Surface,39 Stat. 107-110 (1894),289784,7,19,2,Uintah,10,SCH,"LOTS 1(41.92), 2(47.42), 3(28.65), SE4NE4 [LOTS AKA N2NE4, PART OF SW4NE4]",157.990000000000009
UT,Trust Lands Administration,Surface,40 Stat. 107-110 (1894),289808,5,20,36,Uintah,10,SCH,"LOTS 1(40.77), 2(40.55), 3(40.33), 4(40.11), NW4, N2SW4, NW4SE4 [LOTS AKA S2S2]",441.759999999999991
UT,Trust Lands Administration,Surface,41 Stat. 107-110 (1894),289873,12,17,2,Carbon,10,SCH,"LOTS 1-4, S2 (ALL)",476.959999999999980
UT,Trust Lands Administration,Surface,42 Stat. 107-110 (1894),289875,12,24,29,Uintah,10,SCH,ALL,640.000000000000000
UT,Trust Lands Administration,Surface,43 Stat. 107-110 (1894),289890,12,22,36,Uintah,10,SCH,ALL,640.000000000000000
UT,Trust Lands Administration,Surface,44 Stat. 107-110 (1894),289895,7,21,2,Uintah,10,SCH,"LOTS 4(20.50), 5(4.90), 6(39.40), 7(35.00), 8(30.50), SW4NW4, S2 [LOTS AKA PART OF S2NE4, PART OF S2N2NW4, PART OF SE4NW4]",490.300000000000011
UT,Trust Lands Administration,Surface,45 Stat. 107-110 (1894),289900,7,23,2,Uintah,10,SCH,"LOTS 1(20.80), 2(20.82), 3(20.86), 4(20.88), 5(40.00), 6(40.00), 7(40.00), 8(40.00), 9(40.00), 10(40.00), 11(40.00), 12(40.00), S2N2, S2 [ALL]",883.360000000000014
UT,Trust Lands Administration,Surface,46 Stat. 107-110 (1894),289903,15,23,2,Uintah,10,SCH,"LOTS 1(40.58), 2(40.51), 3(40.43), 4(40.36), S2N2, S2 [ALL]",641.879999999999995
UT,Trust Lands Administration,Surface,47 Stat. 107-110 (1894),289904,7,22,16,Uintah,10,SCH,ALL,640.000000000000000
UT,Trust Lands Administration,Surface,48 Stat. 107-110 (1894),289907,13,23,30,Uintah,10,SCH,"LOTS 1(37.12), 2(37.15), 3(37.19), 4(37.22), E2, E2W2 [ALL]",628.679999999999950
UT,Trust Lands Administration,Surface,49 Stat. 107-110 (1894),289934,12,25,2,Uintah,10,SCH,"LOTS 1(40.10), 2(40.07), 3(40.03), 4(40.00), S2N2, S2 [ALL]",640.200000000000045
UT,Trust Lands Administration,Surface,50 Stat. 107-110 (1894),289955,15,16,36,Carbon,10,SCH,ALL,640.000000000000000
UT,Trust Lands Administration,Surface,51 Stat. 107-110 (1894),289972,6,24,6,Uintah,10,SCH,"LOTS 6(36.87), 7(35.62), W2W2SW4SE4SW4 [LOTS AKA W2SW4]",74.989999999999995
UT,Trust Lands Administration,Surface,52 Stat. 107-110 (1894),289993,13,23,29,Uintah,10,SCH,"NE4NE4, NE4NW4NE4, NE4NW4NW4NE4, S2NW4NW4NE4, S2NW4NE4, S2NE4, S2NE4NE4NW4, S2NE4NW4, SE4NW4, S2",542.500000000000000
UT,Trust Lands Administration,Surface,53 Stat. 107-110 (1894),289994,13,20,2,Uintah,10,SCH,ALL,641.039999999999964
UT,Trust Lands Administration,Surface,54 Stat. 107-110 (1894),290004,10,25,16,Uintah,10,SCH,NE4,160.000000000000000
UT,Trust Lands Administration,Surface,55 Stat. 107-110 (1894),290011,12,24,26,Uintah,10,SCH,E2,320.000000000000000
UT,Trust Lands Administration,Surface,56 Stat. 107-110 (1894),290013,9,25,36,Uintah,10,SCH,"LOTS 1-4, W2SW4",200.900000000000006
UT,Trust Lands Administration,Surface,57 Stat. 107-110 (1894),290014,15,23,12,Uintah,10,SCH,ALL,640.000000000000000
UT,Trust Lands Administration,Surface,58 Stat. 107-110 (1894),290025,14,23,6,Uintah,10,SCH,"LOTS 3(36.27), 4(33.84), 5(37.34) [AKA N2NW4, SW4NW4]",107.450000000000003
UT,Trust Lands Administration,Surface,59 Stat. 107-110 (1894),290028,14,23,16,Uintah,10,SCH,ALL,640.000000000000000
UT,Trust Lands Administration,Surface,60 Stat. 107-110 (1894),290070,10,21,21,Uintah,10,SCH,ALL,640.000000000000000
UT,Trust Lands Administration,Surface,61 Stat. 107-110 (1894),290071,12,21,16,Uintah,10,SCH,ALL,640.000000000000000
UT,Trust Lands Administration,Surface,62 Stat. 107-110 (1894),290072,10,23,32,Uintah,10,SCH,ALL,640.000000000000000
UT,Trust Lands Administration,Surface,63 Stat. 107-110 (1894),290076,12,24,12,Uintah,10,SCH,S2S2,160.000000000000000
UT,Trust Lands Administration,Surface,64 Stat. 107-110 (1894),290081,10,21,29,Uintah,10,SCH,ALL,640.000000000000000
UT,Trust Lands Administration,Surface,65 Stat. 107-110 (1894),290094,10,21,33,Uintah,10,SCH,ALL,640.000000000000000
UT,Trust Lands Administration,Surface,66 Stat. 107-110 (1894),290095,9,25,15,Uintah,10,SCH,N2,320.000000000000000
UT,Trust Lands Administration,Surface,67 Stat. 107-110 (1894),290117,9,25,19,Uintah,10,SCH,SW4,160.000000000000000
UT,Trust Lands Administration,Surface,68 Stat. 107-110 (1894),290119,12,24,28,Uintah,10,SCH,ALL,640.000000000000000
UT,Trust Lands Administration,Surface,69 Stat. 107-110 (1894),290126,13,22,12,Uintah,10,SCH,ALL,640.000000000000000
UT,Trust Lands Administration,Surface,70 Stat. 107-110 (1894),290145,13,23,2,Uintah,10,SCH,"LOTS 1, 2, 5, 6, SE4NE4NW4, N2NE4SE4NW4, SE4NE4SE4NW4, E2SE4SE4NW4, E2NE4NE4SW4, W2W2SE4, N2NE4NW4SE4, N2N2NE4SE4, S2NE4
",248.090000000000003
UT,Trust Lands Administration,Surface,71 Stat. 107-110 (1894),290154,13,21,36,Uintah,10,SCH,ALL,640.000000000000000
UT,Trust Lands Administration,Surface,72 Stat. 107-110 (1894),290175,10,11,36,Duchesne,10,SCH,ALL,121.189999999999998
UT,Trust Lands Administration,Surface,73 Stat. 107-110 (1894),290178,11,22,36,Uintah,10,SCH,ALL,640.000000000000000
UT,Trust Lands Administration,Surface,74 Stat. 107-110 (1894),290194,12,24,33,Uintah,10,SCH,ALL,640.000000000000000
UT,Trust Lands Administration,Surface,75 Stat. 107-110 (1894),290202,15,22,36,Uintah,10,SCH,ALL,640.000000000000000
UT,Trust Lands Administration,Surface,76 Stat. 107-110 (1894),290212,13,21,31,Uintah,10,SCH,"LOTS 3(36.99), 4(37.22), E2, E2SW4 [LOTS AKA W2SW4]",474.209999999999980
UT,Trust Lands Administration,Surface,77 Stat. 107-110 (1894),290229,15,21,27,Uintah,10,SCH,ALL,640.000000000000000
UT,Trust Lands Administration,Surface,78 Stat. 107-110 (1894),290239,11,19,2,Uintah,10,SCH,ALL,625.620000000000005
UT,Trust Lands Administration,Surface,79 Stat. 107-110 (1894),290268,9,25,9,Uintah,10,SCH,"S2N2, S2",480.000000000000000
UT,Trust Lands Administration,Surface,80 Stat. 107-110 (1894),290286,13,20,35,Uintah,10,SCH,ALL,640.000000000000000
UT,Trust Lands Administration,Surface,81 Stat. 107-110 (1894),290301,12,25,31,Uintah,10,SCH,E2,320.000000000000000
UT,Trust Lands Administration,Surface,82 Stat. 107-110 (1894),290318,13,23,22,Uintah,10,SCH,"NE4NE4NE4NE4, S2NE4NE4NE4, S2NW4NE4NE4, S2NE4NE4, S2NE4NW4NE4, S2NW4NE4, S2NE4, NE4SW4NE4NW4, S2SW4NE4NW4, SE4NE4NW4, S2SE4NW4NW4, S2NW4, S2",560.000000000000000
UT,Trust Lands Administration,Surface,83 Stat. 107-110 (1894),290322,10,13,32,Duchesne,10,SCH,LOTS 1-4 (ALL),85.760000000000005
