objectid,state,managing_agency,rights_type,state_enabling_act,comboown,activity,aliquot,acres,township,township,townd,range,section,county,benemin,gis_acres,trust_name
1444351,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals","NE4,E2SE4,N2SW4,SW4SW4",360,41S,41,S,17W,36,Washington,SCH,360.276,Public Schools
1442101,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals",ALL,640,5S,5,S,8W,24,Tooele,SCH,639.452,Public Schools
1443626,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals",ALL,640,5S,5,S,8W,36,Tooele,SCH,641.288,Public Schools
1453248,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals","LOTS 1-4, S2N2, S2 (ALL)",640.96,5S,5,S,8W,2,Tooele,SCH,644.922,Public Schools
1444521,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals",ALL,640,10S,10,S,19W,36,Tooele,SCH,634.641,Public Schools
1446428,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals","LOTS 1(118.94), 2(119.22) [ALL]",238.16,10S,10,S,20W,36,Tooele,SCH,234.35,Public Schools
1446927,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals",ALL,640,9S,9,S,19W,32,Tooele,SCH,643.571,Public Schools
1450128,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals",NE4SW4,40,9S,9,S,19W,22,Tooele,NS,40.224,Teaching Colleges at Public Universities
1439299,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),100,Mineral Rights: Oil and gas only,S2N2,160,15S,15,S,21E,32,Uintah,X111,160.156,Recreation Exchange
1439300,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),100,Mineral Rights: Oil and gas only,ALL,640,9S,9,S,19E,36,Uintah,SCH,652.152,Public Schools
1439306,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),100,Mineral Rights: Oil and gas only,"LOTS 3(40.70), 4(40.74), SW4NW4, W2SW4 [LOTS AKA N2NW4]",201.44,14S,14,S,21E,3,Uintah,X111,201.1,Recreation Exchange
1439307,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),100,Mineral Rights: Oil and gas only,"LOTS 1(41.21), 2(41.37), 3(41.53), 4(41.68), S2N2, S2 [ALL]",645.79,10S,10,S,19E,2,Uintah,SCH,645.085,Public Schools
1439309,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),100,Mineral Rights: Oil and gas only,N2 (A 4.865901% IN THE MINERAL INTEREST),15.57,11S,11,S,25E,29,Uintah,SCH,320.616,Public Schools
1439310,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),100,Mineral Rights: Oil and gas only,"LOTS 1(42.03), 2(41.90), 3(41.74), 4(41.61), S2N2, S2 [ALL]",647.28,10S,10,S,20E,2,Uintah,SCH,642.808,Public Schools
1439311,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),100,Mineral Rights: Oil and gas only,SE4SE4,40,14S,14,S,21E,4,Uintah,X111,39.836,Recreation Exchange
1439313,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),100,Mineral Rights: Oil and gas only,SE4,160,8S,8,S,22E,31,Uintah,SCH,156.497,Public Schools
1439314,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),100,Mineral Rights: Oil and gas only,ALL,640,11S,11,S,20E,16,Uintah,SCH,637.779,Public Schools
1439320,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),100,Mineral Rights: Oil and gas only,"LOTS 1(37.69), 2(37.70), 3(37.72), 4(37.73), S2N2, S2 [ALL]",630.84,11S,11,S,21E,2,Uintah,SCH,630.819,Public Schools
1439322,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),100,Mineral Rights: Oil and gas only,ALL,640,9S,9,S,24E,29,Uintah,SCH,637.011,Public Schools
1439331,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),100,Mineral Rights: Oil and gas only,"N2, SW4, N2SE4, SW4SE4",600,8S,8,S,22E,32,Uintah,SCH,591.668,Public Schools
1439333,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),100,Mineral Rights: Oil and gas only,"LOTS 1(39.64), 2(38.20), 3(22.20), 4(39.05), N2, NW4SW4, N2SW4SW4, SW4SW4SW4, N2SE4SW4SW4, SW4SE4SW4SW4, N2SE4 [LOTS AKA E2SW4, S2SE4]",616.59,9S,9,S,24E,15,Uintah,SCH,620.798,Public Schools
1439335,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),100,Mineral Rights: Oil and gas only,W2SW4,80,15S,15,S,21E,34,Uintah,X111,79.755,Recreation Exchange
1439337,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),100,Mineral Rights: Oil and gas only,"LOT 3(39.75), NE4SW4 [LOT AKA NW4SW4]",79.75,8S,8,S,22E,31,Uintah,RES,81.263,Reservoirs
1439338,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),100,Mineral Rights: Oil and gas only,"LOTS 1(15.19), 2(15.16), 3(15.14), 4(15.11), 5(40.00), 6(40.00), 7(40.00), 8(40.00), S2N2, S2 [ALL]",700.6,11S,11,S,22E,2,Uintah,SCH,701.921,Public Schools
1439714,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),101,Mineral Rights: Oil and gas and Other minerals,SE4SW4,40,19S,19,S,20E,9,Grand,SCH,39.986,Public Schools
1439719,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),101,Mineral Rights: Oil and gas and Other minerals,"LOT 4(24.32), NW4SW4 [LOT AKA SE4SW4]",64.32,7S,7,S,25E,25,Uintah,SCH,64.556,Public Schools
1440140,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),011,Mineral Rights: Coal and Other minerals,SW4SE4,40,9S,9,S,24E,23,Uintah,SCH,39.46,Public Schools
1440153,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),011,Mineral Rights: Coal and Other minerals,SW4,160,5S,5,S,3W,6,Duchesne,SCH,160.554,Public Schools
1440160,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),011,Mineral Rights: Coal and Other minerals,"N2N2, SW4NW4",200,10S,10,S,20E,24,Uintah,SCH,202,Public Schools
1440166,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),011,Mineral Rights: Coal and Other minerals,"SW4NW4, NE4SE4",80,8S,8,S,23E,24,Uintah,SCH,80.061,Public Schools
