objectid,quad,township,range,section_,county_cd,county_abr,county_nam,bene_cd,bene_abrev,parcel_lay,parcel_seq,legal_desc,acres,lin,block_id,globalid,Shape__Are,Shape__Len
405510,"3",41.000000000000000,17.000000000000000,"36","27",WASH,Washington,"10",SCH,"2","1","NE4,E2SE4,N2SW4,SW4SW4",360.000000000000000,3T41.0R17.0S36C27_B10PT0L2_SQ1,North St. George Block,{D3BC8CE1-0539-4CCB-A97C-C6A45F1C8D83},1458890.401550523005426,8051.508420648769970
400651,"3",5.000000000000000,8.000000000000000,"2","23",TOOL,Tooele,"10",SCH,"2","1","LOTS 1-4, S2N2, S2 (ALL)",640.960000000000036,3T5.0R8.0S2C23_B10PT0L2_SQ1,Undefined,{E68D5484-807A-4E72-87EC-838B234A5EA8},2609179.820999921765178,6460.117211725611014
400652,"3",5.000000000000000,8.000000000000000,"24","23",TOOL,Tooele,"10",SCH,"2","1",ALL,640.000000000000000,3T5.0R8.0S24C23_B10PT0L2_SQ1,Undefined,{63BD075A-ED68-4380-A262-4B3882F0211E},2587023.212799781467766,6433.731188429539543
400654,"3",5.000000000000000,8.000000000000000,"36","23",TOOL,Tooele,"10",SCH,"2","1",ALL,640.000000000000000,3T5.0R8.0S36C23_B10PT0L2_SQ1,Undefined,{34C50AE5-908B-45FA-ADF0-F335E64B9136},2594450.693500260822475,6442.949805908496273
400954,"3",9.000000000000000,19.000000000000000,"22","23",TOOL,Tooele,"6",NS,"2","1",NE4SW4,40.000000000000000,3T9.0R19.0S22C23_B6PT0L2_SQ1,Undefined,{8F7410E5-134F-423E-ADDE-D3CDEC09DAE1},162909.735900349274743,1614.488073847132000
400956,"3",9.000000000000000,19.000000000000000,"32","23",TOOL,Tooele,"10",SCH,"2","1",ALL,640.000000000000000,3T9.0R19.0S32C23_B10PT0L2_SQ1,Undefined,{CDF7102B-F754-4939-B9FA-9EA2C7672F4E},2606595.004499742761254,6458.026307289993383
401051,"3",10.000000000000000,19.000000000000000,"36","23",TOOL,Tooele,"10",SCH,"2","1",ALL,640.000000000000000,3T10.0R19.0S36C23_B10PT0L2_SQ1,Undefined,{DFC465D1-A91C-46D4-9530-6337C5BFC0D9},2570231.040900453459471,6411.600464938182085
401052,"3",10.000000000000000,20.000000000000000,"36","23",TOOL,Tooele,"10",SCH,"2","1","LOTS 1(118.94), 2(119.22) [ALL]",238.159999999999997,3T10.0R20.0S36C23_B10PT0L2_SQ1,Undefined,{172C18A7-977F-404E-85B4-CFCB78D7FB7C},949202.158599921036512,4401.976615745425988
406041,"4",3.000000000000000,1.000000000000000,"22","18",SALT,Salt Lake,"10",SCH,"2","1","NE4, E2NW4",240.000000000000000,4T3.0R1.0S22C18_B10PT0L2_SQ1,Undefined,{B36935F1-AB4C-46AB-9055-B01CE26D7C02},976094.304149677511305,4033.519874762079326
406043,"4",3.000000000000000,1.000000000000000,"23","18",SALT,Salt Lake,"10",SCH,"2","1","NE4NE4, NW4",200.000000000000000,4T3.0R1.0S23C18_B10PT0L2_SQ1,Undefined,{ACA62E43-BEC8-4EE8-BEC7-577A59080E1A},814775.920050021610223,4833.872273762307486
406191,"4",4.000000000000000,19.000000000000000,"2","24",UINT,Uintah,"10",SCH,"2","1","LOTS 1(48.76), 2(44.13), 3(39.51), 4(34.90) [ALL]",167.300000000000011,4T4.0R19.0S2C24_B10PT0L2_SQ1,Undefined,{51FC087E-22EB-4D8E-B0FF-5FF67CCFDD04},679483.141549462801777,4148.419968778856855
406292,"4",5.000000000000000,19.000000000000000,"2","24",UINT,Uintah,"10",SCH,"2","1","LOTS 1(42.30), 2(42.32), 3(42.36), 4(36.84), 5(33.55), S2NE4, SE4NW4, S2 [ALL]",637.370000000000005,4T5.0R19.0S2C24_B10PT0L2_SQ1,Undefined,{19F1A9C9-09BF-428D-BAC5-F273984D83BB},2569861.464249710552394,6509.564682147452913
406296,"4",5.000000000000000,19.000000000000000,"16","24",UINT,Uintah,"10",SCH,"2","1","LOTS 1(25.68), 4(32.37), NE4NE4 [LOTS AKA PART OF NW4NE4, PART OF SW4SW4]",98.049999999999997,4T5.0R19.0S16C24_B10PT0L2_SQ1,Undefined,{A0BCFC9D-FC15-49D8-8CAD-04ADE1C9269C},399597.603850370505825,3728.636627897348262
406297,"4",5.000000000000000,19.000000000000000,"32","24",UINT,Uintah,"10",SCH,"2","1",LOT 1 [PART OF NE4NE4],7.820000000000000,4T5.0R19.0S32C24_B10PT0L2_SQ1,Undefined,{2C4864C2-C00B-46BF-B064-91DA5CA00A61},32092.416550028410711,980.171924385697366
406298,"4",5.000000000000000,19.000000000000000,"36","24",UINT,Uintah,"10",SCH,"2","1",ALL,640.000000000000000,4T5.0R19.0S36C24_B10PT0L2_SQ1,Undefined,{286F3BBA-A20F-42C3-98A5-29774F84A334},2596620.065349206794053,6446.650760883781913
406314,"4",5.000000000000000,20.000000000000000,"32","24",UINT,Uintah,"10",SCH,"2","1","LOTS 1(45.11), 2(44.84), 3(44.58), 4(44.31), N2, N2S2 [ALL]",658.840000000000032,4T5.0R20.0S32C24_B10PT0L2_SQ1,Undefined,{0EFD8D70-EC0D-4372-84FD-9B17847C20BF},2660661.501099764835089,6524.936012173808194
406315,"4",5.000000000000000,20.000000000000000,"36","24",UINT,Uintah,"10",SCH,"2","1","LOTS 1(40.77), 2(40.55), 3(40.33), 4(40.11), NW4, N2SW4, NW4SE4 [LOTS AKA S2S2]",441.759999999999991,4T5.0R20.0S36C24_B10PT0L2_SQ1,Undefined,{64E7F32F-E190-4A7B-B127-F173E33F29F6},1778284.388598773861304,6430.428602061076162
406360,"4",5.000000000000000,21.000000000000000,"32","24",UINT,Uintah,"10",SCH,"2","1","LOTS 1(40.06), 2(40.69), 3(41.36), 4(41.51), N2, N2S2 [ALL]",643.620000000000005,4T5.0R21.0S32C24_B10PT0L2_SQ1,Undefined,{D20706E9-4A5B-4040-98AB-1E63B7F8F6C8},2604023.174100534524769,6451.996552371232610
406362,"4",5.000000000000000,21.000000000000000,"35","24",UINT,Uintah,"10",SCH,"2","2","W2, SE4",480.000000000000000,4T5.0R21.0S35C24_B10PT0L2_SQ2,Asphalt Ridge Block,{8C8109F5-0D5C-461E-A4F8-01E6B3C5CDC3},1933908.123050351860002,6425.436750510400088
406364,"4",5.000000000000000,21.000000000000000,"36","24",UINT,Uintah,"10",SCH,"2","1","LOTS 1(19.27), 2(40.00), 3(40.00), 4(20.17), 5(21.07), 6(40.00), 7(40.00), 8(21.97), W2E2, W2 [ALL]",722.480000000000018,4T5.0R21.0S36C24_B10PT0L2_SQ1,Asphalt Ridge Block,{7EEFD945-50A4-4678-AB53-77FD0E80F0A8},2916120.141099906060845,6843.203404588364720
406383,"4",5.000000000000000,22.000000000000000,"31","24",UINT,Uintah,"10",SCH,"2","2",LOT 4 [SW4SW4],39.969999999999999,4T5.0R22.0S31C24_B10PT0L2_SQ2,Asphalt Ridge Block,{4990EAB3-0A1A-44DC-8D4B-CEF88B30C068},161316.121949828171637,1606.704459196844255
406385,"4",5.000000000000000,22.000000000000000,"32","24",UINT,Uintah,"10",SCH,"2","1","N2, SE4",480.000000000000000,4T5.0R22.0S32C24_B10PT0L2_SQ1,Asphalt Ridge Block,{4568CCF1-3E5B-4D4D-92F1-4E6E333D9A8E},1952878.046600844012573,6455.646448575083923
