objectid,quad,township,range,section_,county_cd,county_abr,county_nam,bene_cd,bene_abrev,parcel_lay,parcel_seq,legal_desc,acres,lin,block_id,globalid,Shape__Are,Shape__Len
415612,"3",41.000000000000000,17.000000000000000,"36","27",WASH,Washington,"10",SCH,"4","1","NE4,E2SE4,N2SW4,SW4SW4",360.000000000000000,3T41.0R17.0S36C27_B10PT0L4_SQ1,North St. George Block,{AC4EF82E-0CFE-4AAD-B5DF-35640D258F83},1458890.401550523005426,8051.508420648769970
410690,"3",5.000000000000000,8.000000000000000,"2","23",TOOL,Tooele,"10",SCH,"4","1","LOTS 1-4, S2N2, S2 (ALL)",640.960000000000036,3T5.0R8.0S2C23_B10PT0L4_SQ1,Undefined,{E0933BB7-DB7B-4CE5-A52A-F5A8D024281B},2609179.820999921765178,6460.117211725611014
410691,"3",5.000000000000000,8.000000000000000,"24","23",TOOL,Tooele,"10",SCH,"4","1",ALL,640.000000000000000,3T5.0R8.0S24C23_B10PT0L4_SQ1,Undefined,{3EB3B532-2242-4B98-A25E-CD0C8362F302},2587023.212799781467766,6433.731188429539543
410693,"3",5.000000000000000,8.000000000000000,"36","23",TOOL,Tooele,"10",SCH,"4","1",ALL,640.000000000000000,3T5.0R8.0S36C23_B10PT0L4_SQ1,Undefined,{F4E888ED-30AB-4228-BD62-3792A61B74BA},2594450.693500260822475,6442.949805908496273
410994,"3",9.000000000000000,19.000000000000000,"22","23",TOOL,Tooele,"6",NS,"4","1",NE4SW4,40.000000000000000,3T9.0R19.0S22C23_B6PT0L4_SQ1,Undefined,{983DB451-504E-4E0C-AE2C-85330CA57A43},162909.735900349274743,1614.488073847132000
410996,"3",9.000000000000000,19.000000000000000,"32","23",TOOL,Tooele,"10",SCH,"4","1",ALL,640.000000000000000,3T9.0R19.0S32C23_B10PT0L4_SQ1,Undefined,{9604495B-B954-4D8F-ACC6-FC96EAD02233},2606595.004499742761254,6458.026307289993383
411091,"3",10.000000000000000,19.000000000000000,"36","23",TOOL,Tooele,"10",SCH,"4","1",ALL,640.000000000000000,3T10.0R19.0S36C23_B10PT0L4_SQ1,Undefined,{42CA149E-D98F-44F9-ADFB-6B70783EDE42},2570231.040900453459471,6411.600464938182085
411092,"3",10.000000000000000,20.000000000000000,"36","23",TOOL,Tooele,"10",SCH,"4","1","LOTS 1(118.94), 2(119.22) [ALL]",238.159999999999997,3T10.0R20.0S36C23_B10PT0L4_SQ1,Undefined,{A8AF9564-0819-4DD5-B139-3FA6530A3E92},949202.158599921036512,4401.976615745425988
416196,"4",3.000000000000000,1.000000000000000,"22","18",SALT,Salt Lake,"10",SCH,"4","1","NE4, E2NW4",240.000000000000000,4T3.0R1.0S22C18_B10PT0L4_SQ1,Undefined,{FF27CA1B-A366-4FAB-AFB7-C1338225434C},976094.304149677511305,4033.519874762079326
416198,"4",3.000000000000000,1.000000000000000,"23","18",SALT,Salt Lake,"10",SCH,"4","1","NE4NE4, NW4",200.000000000000000,4T3.0R1.0S23C18_B10PT0L4_SQ1,Undefined,{8DC7CF25-750F-44BC-9E8D-E5042C5408BB},814775.920050021610223,4833.872273762307486
