objectid,quad,township,range,section_,county_cd,county_abr,county_nam,bene_cd,bene_abrev,parcel_lay,parcel_seq,legal_desc,acres,lin,admin,quad_lbl,merid,trs_label,globalid,gis_acres,block_id,Shape__Are,Shape__Len
297729,"3",9.000000000000000,19.000000000000000,"32","23",TOOL,Tooele,"10",SCH,"1","1",ALL,640.000000000000000,3T9.0R19.0S32C23_B10PT0L1_SQ1,,,,,{D1CE1629-A46E-405D-B240-781EEB683E08},644.103652919999945,Undefined,2606595.004499742761254,6458.026307289993383
298290,"3",10.000000000000000,20.000000000000000,"36","23",TOOL,Tooele,"10",SCH,"1","1","LOTS 1, 2 (ALL)",238.159999999999997,3T10.0R20.0S36C23_B10PT0L1_SQ1,,,,,{210AE96C-196B-4AA5-9E1D-DB1D59A66F30},234.552961490000001,Undefined,949202.158599921036512,4401.976615745425988
289628,"4",7.000000000000000,20.000000000000000,"2","24",UINT,Uintah,"10",SCH,"1","1","LOTS 1-4, S2N2, S2 (ALL)",642.879999999999995,4T7.0R20.0S2C24_B10PT0L1_SQ1,,,,,{486F4444-8A32-4ABE-BD23-7F6059A994B3},651.465775310000026,Undefined,2636388.456801514606923,6494.339350169792851
289649,"4",9.000000000000000,25.000000000000000,"21","24",UINT,Uintah,"10",SCH,"1","1","LOTS 1, 2, S2NE4, NW4, S2 (ALL)",638.590000000000032,4T9.0R25.0S21C24_B10PT0L1_SQ1,,,,,{9ECF09C5-B2EC-465E-8493-9F8AF65C0BD5},637.322855839999988,Bonanza Block,2579154.092299641575664,6367.369704914433896
289692,"4",15.000000000000000,23.000000000000000,"13","24",UINT,Uintah,"10",SCH,"1","1",ALL,640.000000000000000,4T15.0R23.0S13C24_B10PT0L1_SQ1,,,,,{B29D1195-F8BB-4323-A7EC-C038A34D06CC},641.197013839999954,PR Springs Block,2594832.253499865066260,6441.790361316991948
289755,"4",12.000000000000000,20.000000000000000,"16","24",UINT,Uintah,"10",SCH,"1","1",ALL,640.000000000000000,4T12.0R20.0S16C24_B10PT0L1_SQ1,,,,,{86D0923B-27BB-4E10-A902-BE1F95C55EB4},634.137360520000016,Undefined,2566262.850101098883897,6407.889614136858654
289759,"4",7.000000000000000,21.000000000000000,"36","24",UINT,Uintah,"10",SCH,"1","1",ALL,640.000000000000000,4T7.0R21.0S36C24_B10PT0L1_SQ1,,,,,{416E178E-89AB-41AC-BB3B-7F9B360E3D0B},647.396927750000032,Undefined,2619922.414899460505694,6475.644620829843007
289764,"4",9.000000000000000,25.000000000000000,"19","24",UINT,Uintah,"10",SCH,"1","1",SE4,160.000000000000000,4T9.0R25.0S19C24_B10PT0L1_SQ1,,,,,{CDD33D51-AD32-4DCB-BAA6-E1634762F9CE},159.871732329999986,Bonanza Block,646977.946750417933799,3217.389939016348308
289767,"4",13.000000000000000,23.000000000000000,"32","24",UINT,Uintah,"10",SCH,"1","1",ALL,640.000000000000000,4T13.0R23.0S32C24_B10PT0L1_SQ1,,,,,{83552BCC-9915-413F-A694-3E05E9FA68E3},639.411088429999950,Seep Ridge Block,2587604.869750758167356,6434.427109418906184
289768,"4",11.000000000000000,23.000000000000000,"36","24",UINT,Uintah,"10",SCH,"1","1",ALL,640.000000000000000,4T11.0R23.0S36C24_B10PT0L1_SQ1,,,,,{CB145876-AEDF-4E0A-AF7E-84D4272B788D},638.629065380000043,Undefined,2584440.134751106146723,6432.063362922142915
