state,managing_agency,rights_type,state_enabling_act,OBJECTID,MINERAL_TR,,state_reported_notes,,
WA,Department of Natural Resources,Subsurface,"25 Stat. 676-684, esp. 679-81 (1889)",3307,3,Common School and Indemnity,,0,Trust Status Not Applicable Or Unknown
WA,Department of Natural Resources,Subsurface,"26 Stat. 676-684, esp. 679-81 (1889)",1640,3,Common School and Indemnity,,3,Common School and Indemnity
WA,Department of Natural Resources,Subsurface,"27 Stat. 676-684, esp. 679-81 (1889)",10829,3,Common School and Indemnity,,4,Agricultural School
WA,Department of Natural Resources,Subsurface,"28 Stat. 676-684, esp. 679-81 (1889)",15039,3,Common School and Indemnity,,5,University - Transferred
WA,Department of Natural Resources,Subsurface,"29 Stat. 676-684, esp. 679-81 (1889)",16328,3,Common School and Indemnity,,6,Charitable/Educational/Penal & Reformatory Instit.
WA,Department of Natural Resources,Subsurface,"30 Stat. 676-684, esp. 679-81 (1889)",16332,3,Common School and Indemnity,,7,Capitol Grant
WA,Department of Natural Resources,Subsurface,"31 Stat. 676-684, esp. 679-81 (1889)",16634,3,Common School and Indemnity,,8,Normal School
WA,Department of Natural Resources,Subsurface,"32 Stat. 676-684, esp. 679-81 (1889)",16673,3,Common School and Indemnity,,9,Escheat
WA,Department of Natural Resources,Subsurface,"33 Stat. 676-684, esp. 679-81 (1889)",17303,3,Common School and Indemnity,,10,Scientific School
WA,Department of Natural Resources,Subsurface,"34 Stat. 676-684, esp. 679-81 (1889)",5632,6,Charitable/Educational/Penal & Reformatory Instit.,,11,University - Original
WA,Department of Natural Resources,Subsurface,"35 Stat. 676-684, esp. 679-81 (1889)",7996,6,Charitable/Educational/Penal & Reformatory Instit.,,12,Community College Forest Reserve
WA,Department of Natural Resources,Subsurface,"36 Stat. 676-684, esp. 679-81 (1889)",17735,6,Charitable/Educational/Penal & Reformatory Instit.,,13,Administrative Site
WA,Department of Natural Resources,Subsurface,"37 Stat. 676-684, esp. 679-81 (1889)",18599,3,Common School and Indemnity,,15,Beds Of Navigable Waters (Abutting Tidelands)
WA,Department of Natural Resources,Subsurface,"38 Stat. 676-684, esp. 679-81 (1889)",9176,3,Common School and Indemnity,,17,Beds Of Navigable Waters (Abutting Shorelands)
WA,Department of Natural Resources,Subsurface,"39 Stat. 676-684, esp. 679-81 (1889)",4375,3,Common School and Indemnity,,20,Tidelands - 1st Class (Outside 4th Class Towns)
WA,Department of Natural Resources,Subsurface,"40 Stat. 676-684, esp. 679-81 (1889)",1062,3,Common School and Indemnity,,21,Tidelands - 2nd Class
WA,Department of Natural Resources,Subsurface,"41 Stat. 676-684, esp. 679-81 (1889)",8144,3,Common School and Indemnity,,23,Shorelands - 1st Class
WA,Department of Natural Resources,Subsurface,"42 Stat. 676-684, esp. 679-81 (1889)",17845,1,State Forest Transfer,,24,Shorelands - 2nd Class
WA,Department of Natural Resources,Subsurface,"43 Stat. 676-684, esp. 679-81 (1889)",3466,3,Common School and Indemnity,,25,Harbor Areas (Outside 4th Class Towns)
WA,Department of Natural Resources,Subsurface,"44 Stat. 676-684, esp. 679-81 (1889)",1042,3,Common School and Indemnity,,28,Harbor Areas (Inside 4th Class Towns)
WA,Department of Natural Resources,Subsurface,"45 Stat. 676-684, esp. 679-81 (1889)",9082,3,Common School and Indemnity,,29,1st Class Tidelands (Inside 4th Class Towns)
WA,Department of Natural Resources,Subsurface,"46 Stat. 676-684, esp. 679-81 (1889)",4329,3,Common School and Indemnity,,30,Washington Dept. of Corrections
WA,Department of Natural Resources,Subsurface,"47 Stat. 676-684, esp. 679-81 (1889)",6021,3,Common School and Indemnity,,31,Washington Dept. of Social & Health Services
WA,Department of Natural Resources,Subsurface,"48 Stat. 676-684, esp. 679-81 (1889)",10938,3,Common School and Indemnity,,32,Washington Dept. of Fisheries
WA,Department of Natural Resources,Subsurface,"49 Stat. 676-684, esp. 679-81 (1889)",11957,3,Common School and Indemnity,,33,Washington Dept. of Wildlife
WA,Department of Natural Resources,Subsurface,"50 Stat. 676-684, esp. 679-81 (1889)",5565,3,Common School and Indemnity,,34,Washington State Parks & Recreation Commission
WA,Department of Natural Resources,Subsurface,"51 Stat. 676-684, esp. 679-81 (1889)",2507,3,Common School and Indemnity,,35,Washington Dept. of Transportation
WA,Department of Natural Resources,Subsurface,"52 Stat. 676-684, esp. 679-81 (1889)",4545,3,Common School and Indemnity,,36,Washington Dept. of Transportation - Aeronautics
WA,Department of Natural Resources,Subsurface,"53 Stat. 676-684, esp. 679-81 (1889)",9797,3,Common School and Indemnity,,38,Washington Dept. of Agriculture
WA,Department of Natural Resources,Subsurface,"54 Stat. 676-684, esp. 679-81 (1889)",10549,3,Common School and Indemnity,,40,Washington Dept. of Veterans Affairs
WA,Department of Natural Resources,Subsurface,"55 Stat. 676-684, esp. 679-81 (1889)",13261,3,Common School and Indemnity,,41,University Repayment
WA,Department of Natural Resources,Subsurface,"56 Stat. 676-684, esp. 679-81 (1889)",14981,5,University - Transferred,,42,Forest Board Repayment
WA,Department of Natural Resources,Subsurface,"57 Stat. 676-684, esp. 679-81 (1889)",14982,7,Capitol Grant,,43,Land Bank
WA,Department of Natural Resources,Subsurface,"58 Stat. 676-684, esp. 679-81 (1889)",14985,6,Charitable/Educational/Penal & Reformatory Instit.,,46,C.E.P.& R.I. Transferred
WA,Department of Natural Resources,Subsurface,"59 Stat. 676-684, esp. 679-81 (1889)",14784,13,Administrative Site,50% MINERAL INTEREST,47,Milwaukee Road Corridor
WA,Department of Natural Resources,Subsurface,"60 Stat. 676-684, esp. 679-81 (1889)",7267,3,Common School and Indemnity,,70,Under Contract To State Parks & Recreation
