state,managing_agency,rights_type,state_enabling_act,OBJECTID,SURFACE_TR,,state_reported_notes,,
WA,Department of Natural Resources,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",1640,3,Common School and Indemnity,,0,Trust Status Not Applicable Or Unknown
WA,Department of Natural Resources,Surface,"26 Stat. 676-684, esp. 679-81 (1889)",10829,3,Common School and Indemnity,,3,Common School and Indemnity
WA,Department of Natural Resources,Surface,"27 Stat. 676-684, esp. 679-81 (1889)",15039,3,Common School and Indemnity,,4,Agricultural School
WA,Department of Natural Resources,Surface,"28 Stat. 676-684, esp. 679-81 (1889)",16328,3,Common School and Indemnity,,5,University - Transferred
WA,Department of Natural Resources,Surface,"29 Stat. 676-684, esp. 679-81 (1889)",16332,3,Common School and Indemnity,,6,Charitable/Educational/Penal & Reformatory Instit.
WA,Department of Natural Resources,Surface,"30 Stat. 676-684, esp. 679-81 (1889)",16634,3,Common School and Indemnity,,7,Capitol Grant
WA,Department of Natural Resources,Surface,"31 Stat. 676-684, esp. 679-81 (1889)",16673,3,Common School and Indemnity,,8,Normal School
WA,Department of Natural Resources,Surface,"32 Stat. 676-684, esp. 679-81 (1889)",17303,3,Common School and Indemnity,,9,Escheat
WA,Department of Natural Resources,Surface,"33 Stat. 676-684, esp. 679-81 (1889)",5632,6,Charitable/Educational/Penal & Reformatory Instit.,,10,Scientific School
WA,Department of Natural Resources,Surface,"34 Stat. 676-684, esp. 679-81 (1889)",7996,6,Charitable/Educational/Penal & Reformatory Instit.,,11,University - Original
WA,Department of Natural Resources,Surface,"35 Stat. 676-684, esp. 679-81 (1889)",18404,3,Common School and Indemnity,,12,Community College Forest Reserve
WA,Department of Natural Resources,Surface,"36 Stat. 676-684, esp. 679-81 (1889)",4375,3,Common School and Indemnity,,13,Administrative Site
WA,Department of Natural Resources,Surface,"37 Stat. 676-684, esp. 679-81 (1889)",17845,1,State Forest Transfer,,15,Beds Of Navigable Waters (Abutting Tidelands)
WA,Department of Natural Resources,Surface,"38 Stat. 676-684, esp. 679-81 (1889)",14166,3,Common School and Indemnity,,17,Beds Of Navigable Waters (Abutting Shorelands)
WA,Department of Natural Resources,Surface,"39 Stat. 676-684, esp. 679-81 (1889)",6021,3,Common School and Indemnity,,20,Tidelands - 1st Class (Outside 4th Class Towns)
WA,Department of Natural Resources,Surface,"40 Stat. 676-684, esp. 679-81 (1889)",6052,3,Common School and Indemnity,,21,Tidelands - 2nd Class
WA,Department of Natural Resources,Surface,"41 Stat. 676-684, esp. 679-81 (1889)",694,3,Common School and Indemnity,,23,Shorelands - 1st Class
WA,Department of Natural Resources,Surface,"42 Stat. 676-684, esp. 679-81 (1889)",18207,3,Common School and Indemnity,,24,Shorelands - 2nd Class
WA,Department of Natural Resources,Surface,"43 Stat. 676-684, esp. 679-81 (1889)",13088,4,Agricultural School,,25,Harbor Areas (Outside 4th Class Towns)
WA,Department of Natural Resources,Surface,"44 Stat. 676-684, esp. 679-81 (1889)",13317,3,Common School and Indemnity,,28,Harbor Areas (Inside 4th Class Towns)
