OBJECTID,PARCEL_SYS,PARCEL_TYP,PARCEL_LAB,PARCEL_NM,REVERSION_,OWN_RIGHT_,SURFACE_RI,MINERAL_RI,TIMBER_RIG,SURFACE_TR,MINERAL_TR,TIMBER_TRU,OWNER_AGEN,STEWARD_AG,MANAGER_AG,TIMBER_OWN,TIMBER_EXP,ORIGINAL_P,COUNTY_JUR,COUNTY_PAR,REGION_JUR,HCP_JURISD,HCP_DESG_C,HCP_DESG_D,HCP_WITHDR,PARCEL_DES,EDIT_DATE,EDIT_STATU,EDIT_WHO,EASEMENT_T,PARCEL_ACQ,PARCEL_DIS,SHAPE.AREA,SHAPE.LEN
3307,11139,1,,,N,N,N,Y,N,"0","3","0",58706,63986,63986,,,,10,,2300,,"2",,1997/01/30 03:00:00.000,,2011/06/29 03:00:00.000,"1",jdug490,,,,3663339.748800000641495,8044.073752567950578
1640,12341,1,,,N,N,Y,Y,Y,"3","3","3",58706,63986,63986,,,,24,,2300,,"2",,1997/01/30 03:00:00.000,,2011/06/29 03:00:00.000,"1",jdug490,,,,27661267.861530002206564,21140.282882874798815
10829,12340,1,,,N,N,Y,Y,Y,"3","3","3",58706,63986,63986,,,,24,,2300,,"2",,1997/01/30 03:00:00.000,,2011/06/29 03:00:00.000,"1",jdug490,,,,27963017.207409996539354,21118.240480859501986
15039,12390,1,,,N,N,Y,Y,Y,"3","3","3",58706,63986,63986,,,,24,,2300,,"2",,1997/01/30 03:00:00.000,,2019/09/18 20:14:11.000,"1",TSTE490,,US PATENT NO 46-70-0054,,28122271.011927500367165,21208.804269805899821
16328,12388,1,,,N,N,Y,Y,Y,"3","3","3",58706,63986,63986,,,,24,,2300,,"2",,1997/01/30 03:00:00.000,,2019/01/02 20:14:47.000,"1",TSTE490,,,,13987739.890228999778628,15859.522355715800586
16332,12342,1,,,N,N,Y,Y,Y,"3","3","3",58706,63986,63986,,,,24,,2300,,"2",,1997/01/30 03:00:00.000,,2019/01/02 20:14:47.000,"1",TSTE490,,US PATENT NO 46-70-0054,,27755128.182654999196529,21051.784964631297044
16634,12387,1,,,N,N,Y,Y,Y,"3","3","3",58706,63986,63986,,,,24,,2300,,"2",,1997/01/30 03:00:00.000,,2019/01/02 20:14:47.000,"1",TSTE490,,,,13903634.300791500136256,15894.121873855800004
16673,12389,1,,,N,N,Y,Y,Y,"3","3","3",58706,63986,63986,,,,24,,2300,,"2",,1997/01/30 03:00:00.000,,2019/01/02 20:14:47.000,"1",TSTE490,,,,7000159.314426999539137,10582.830613225800334
17303,12339,1,,,N,N,Y,Y,Y,"3","3","3",58706,63986,63986,,,,24,,2300,,"2",,1997/01/30 03:00:00.000,,2023/03/30 19:25:21.000,"1",TSTE490,,,,27242465.530338998883963,20999.228327031301887
5632,2534,1,,,N,N,Y,Y,Y,"6","6","6",58706,63986,63986,,,,26,,2300,,"2",,1997/01/30 03:00:00.000,,2013/06/12 14:32:37.000,"1",JDUG490,,CLEAR LIST 11 CEP&RI,,3535505.938273500185460,7967.022008162660313
7996,2533,1,,,N,N,Y,Y,Y,"6","6","6",58706,63986,63986,,,,26,,2300,,"2",,1997/01/30 03:00:00.000,,2022/11/30 19:39:50.000,"1",TSTE490,,CLEAR LIST 11 CEP&RI,,1753833.267561000073329,5297.849072352009898
17735,2535,1,,,N,N,N,Y,N,"0","6","0",58706,63986,63986,,,,26,,2300,,"2",,1997/01/30 03:00:00.000,,2022/11/30 19:39:50.000,"1",TSTE490,,CLEAR LIST 11 CEP&RI,,23173651.028742499649525,23978.658956739400310
18599,113058,1,,,N,N,N,Y,N,"0","3","0",58706,63986,63986,,,,37,,1900,,"2",1997/01/30 03:00:00.000,2008/09/19 03:00:00.000,,2012/09/07 23:05:29.000,"0",CADASTRE_GDB,,US PATENT NO 46-70-0087,,5419484.457964999601245,10648.057803335601420
9176,2002,1,,,N,N,N,Y,N,"0","3","0",58706,63986,63986,,,,37,,1900,,"2",,1997/01/30 03:00:00.000,,2011/06/29 03:00:00.000,"1",jdug490,,US PATENT NO 46-70-0087,,17547808.792220000177622,21153.862925135701516
4375,6229,1,,,N,N,Y,Y,Y,"3","3","3",58706,63986,63986,,,,5,,200,,"1",1997/01/30 03:00:00.000,,,2011/06/29 03:00:00.000,"1",jdug490,,,,659551.233510000049137,3672.033233617050428
1062,6228,1,,,N,N,N,Y,N,"0","3","0",58706,63986,63986,,,,5,,200,,"2",,1997/01/30 03:00:00.000,,2011/06/29 03:00:00.000,"1",jdug490,,US PATENT NO 46-72-0050,,521722.677199999976438,3480.467427811110610
8144,325,1,,,N,N,N,Y,N,"0","3","0",58706,63986,63986,,,,17,,900,,"2",,1997/01/30 03:00:00.000,,2018/08/08 20:10:58.000,"1",TSTE490,,US PATENT NO 46-70-0069,,20571004.670242499560118,20959.440897871194466
17845,2134,1,,,N,N,Y,Y,Y,"1","1","1",58706,63986,63986,,,,37,,1900,,"1",1997/01/30 03:00:00.000,,,2023/10/18 19:32:34.000,"1",TSTE490,,WHATCOM COUNTY FOREST BOARD LAND,,10412397.576171999797225,15795.919696068500343
3466,9032,1,,,N,N,N,Y,N,"0","3","0",58706,63986,63986,,,,18,,900,,"2",,1997/01/30 03:00:00.000,,2011/06/29 03:00:00.000,"0",jdug490,,US PATENT NO 46-73-0056,,2420069.564094999805093,7995.780638618860394
1042,9033,1,,,N,N,N,Y,N,"0","3","0",58706,63986,63986,,,,18,,900,,"2",,1997/01/30 03:00:00.000,,2011/06/29 03:00:00.000,"1",jdug490,,US PATENT NO 46-73-0056,,1758892.694212999893352,5305.015208986469588
9082,9030,1,,,N,N,N,Y,N,"0","3","0",58706,63986,63986,,,,18,,900,,"2",,1997/01/30 03:00:00.000,,2011/06/29 03:00:00.000,"1",jdug490,,US PATENT NO 46-73-0056,,1793945.252207499928772,5357.594209637840322
4329,1455,1,,,N,N,N,Y,N,"0","3","0",58706,63986,63986,,,,29,,1900,,"2",,1997/01/30 03:00:00.000,,2011/06/29 03:00:00.000,"1",jdug490,,US PATENT NO 46-70-0090,,1700717.774612999986857,5217.454330018960718
6021,12763,1,,,N,N,Y,Y,Y,"3","3","3",58706,63986,63986,,,,29,,1900,,"1",1997/01/30 03:00:00.000,,,2013/02/25 20:18:16.000,"1",JDUG490,,,,6825519.383488499559462,10450.583899735300292
10938,1456,1,,,N,N,N,Y,N,"0","3","0",58706,63986,63986,,,,29,,1900,,"2",,1997/01/30 03:00:00.000,,2011/06/29 03:00:00.000,"1",jdug490,,US PATENT NO 46-70-0090,,1752228.372025999939069,5295.207751319690033
11957,120271,1,,,N,N,N,Y,N,"0","3","0",58706,63986,63986,,,,29,,1900,,"1",1997/01/30 03:00:00.000,,,2021/07/21 19:44:09.000,"1",TSTE490,,US PATENT NO 46-70-0090,,22890718.512337498366833,28310.346398564801348
5565,9272,1,,,N,N,N,Y,N,"0","3","0",58706,63986,63986,,,,23,,900,,"2",,1997/01/30 03:00:00.000,,2012/06/22 20:30:58.000,"1",SDE,,US PATENT NO 46-71-0004,,24200790.064791999757290,23645.162162104101299
2507,4538,1,,,N,N,Y,Y,Y,"3","3","3",58706,63986,63986,,,,33,,2300,,"2",,1997/01/30 03:00:00.000,,2011/06/29 03:00:00.000,"1",jdug490,,,,1573903.651099999900907,5028.444587960360877
4545,4311,1,,,N,N,Y,Y,Y,"3","3","3",58706,63986,63986,,,,33,,2300,,"2",,1997/01/30 03:00:00.000,,2011/06/29 03:00:00.000,"1",jdug490,,,,6279757.104861999861896,14026.953611340401039
9797,4310,1,,,N,N,Y,Y,Y,"3","3","3",58706,63986,63986,,,,33,,2300,,"2",,1997/01/30 03:00:00.000,,2016/02/23 13:39:23.000,"1",JDUG490,,,,6171367.207560000009835,13574.792254560401489
10549,4517,1,,,N,N,Y,Y,Y,"3","3","3",58706,63986,63986,,,,22,,2300,,"2",,1997/01/30 03:00:00.000,,2011/06/29 03:00:00.000,"1",jdug490,,US PATENT NO 46-70-0077,,6650617.773234999738634,14657.565005996699256
13261,4220,1,,,N,N,N,Y,N,"0","3","0",58706,63986,63986,,,,22,,2300,,"2",,1997/01/30 03:00:00.000,,2013/06/12 20:38:41.000,"1",JDUG490,,US PATENT NO 46-70-0075,,8534824.552373500540853,17875.538402070200391
14981,4752,1,,,N,N,Y,Y,Y,"5","5","5",58706,63986,63986,,,,33,,2300,,"2",,1997/01/30 03:00:00.000,,2017/09/28 14:59:23.000,"1",JDUG490,,CLEAR LIST 11 CEP&RI,,5794734.977036000229418,12865.528416363700671
14982,4539,1,,,N,N,Y,Y,Y,"7","7","7",58706,63986,63986,,,,33,,2300,,"2",,1997/01/30 03:00:00.000,,2017/09/28 14:59:23.000,"1",JDUG490,,,,6493274.384583000093699,13029.183507425399512
14985,4751,1,,,N,N,Y,Y,Y,"6","6","6",58706,63986,63986,,,,33,,2300,,"2",,1997/01/30 03:00:00.000,,2017/09/28 14:59:23.000,"1",JDUG490,,CLEAR LIST 11 CEP&RI,,7228825.809186999686062,13330.743634342499718
14784,116988,1,,,N,N,N,Y,N,"0","13","0",58706,63986,63986,,,,23,,900,,"2",,,50% MINERAL INTEREST,2016/02/17 14:19:13.000,"0",JDUG490,,,,2277837.983727499842644,6364.721080474750124
7267,694,1,,,N,N,N,Y,N,"0","3","0",58706,63986,63986,,,,31,,1900,,"2",,1997/01/30 03:00:00.000,,2011/06/29 03:00:00.000,"1",jdug490,,US PATENT NO 46-70-0093,,5006903.048910001292825,10285.202694612300547
7834,695,1,,,N,N,N,Y,N,"0","3","0",58706,63986,63986,,,,31,,1900,,"2",,1997/01/30 03:00:00.000,,2011/06/29 03:00:00.000,"1",jdug490,,US PATENT NO 46-70-0093,,1620916.379879999905825,5096.955956684699231
12707,658,1,,,N,N,N,Y,N,"0","3","0",58706,63986,63986,,,,31,,1900,,"2",,1997/01/30 03:00:00.000,,2018/03/14 20:26:50.000,"1",TSTE490,,US PATENT NO 46-70-0093,,9025004.763755500316620,14972.440672910701323
