OBJECTID,PARCEL_SYS,PARCEL_TYP,PARCEL_LAB,PARCEL_NM,REVERSION_,OWN_RIGHT_,SURFACE_RI,MINERAL_RI,TIMBER_RIG,SURFACE_TR,MINERAL_TR,TIMBER_TRU,OWNER_AGEN,STEWARD_AG,MANAGER_AG,TIMBER_OWN,TIMBER_EXP,ORIGINAL_P,COUNTY_JUR,COUNTY_PAR,REGION_JUR,HCP_JURISD,HCP_DESG_C,HCP_DESG_D,HCP_WITHDR,PARCEL_DES,EDIT_DATE,EDIT_STATU,EDIT_WHO,EASEMENT_T,PARCEL_ACQ,PARCEL_DIS,SHAPE.AREA,SHAPE.LEN
1640,12341,1,,,N,N,Y,Y,Y,"3","3","3",58706,63986,63986,,,,24,,2300,,"2",,1997/01/30 03:00:00.000,,2011/06/29 03:00:00.000,"1",jdug490,,,,27661267.861530002206564,21140.282882874798815
10829,12340,1,,,N,N,Y,Y,Y,"3","3","3",58706,63986,63986,,,,24,,2300,,"2",,1997/01/30 03:00:00.000,,2011/06/29 03:00:00.000,"1",jdug490,,,,27963017.207409996539354,21118.240480859501986
15039,12390,1,,,N,N,Y,Y,Y,"3","3","3",58706,63986,63986,,,,24,,2300,,"2",,1997/01/30 03:00:00.000,,2019/09/18 20:14:11.000,"1",TSTE490,,US PATENT NO 46-70-0054,,28122271.011927500367165,21208.804269805899821
16328,12388,1,,,N,N,Y,Y,Y,"3","3","3",58706,63986,63986,,,,24,,2300,,"2",,1997/01/30 03:00:00.000,,2019/01/02 20:14:47.000,"1",TSTE490,,,,13987739.890228999778628,15859.522355715800586
16332,12342,1,,,N,N,Y,Y,Y,"3","3","3",58706,63986,63986,,,,24,,2300,,"2",,1997/01/30 03:00:00.000,,2019/01/02 20:14:47.000,"1",TSTE490,,US PATENT NO 46-70-0054,,27755128.182654999196529,21051.784964631297044
16634,12387,1,,,N,N,Y,Y,Y,"3","3","3",58706,63986,63986,,,,24,,2300,,"2",,1997/01/30 03:00:00.000,,2019/01/02 20:14:47.000,"1",TSTE490,,,,13903634.300791500136256,15894.121873855800004
16673,12389,1,,,N,N,Y,Y,Y,"3","3","3",58706,63986,63986,,,,24,,2300,,"2",,1997/01/30 03:00:00.000,,2019/01/02 20:14:47.000,"1",TSTE490,,,,7000159.314426999539137,10582.830613225800334
17303,12339,1,,,N,N,Y,Y,Y,"3","3","3",58706,63986,63986,,,,24,,2300,,"2",,1997/01/30 03:00:00.000,,2023/03/30 19:25:21.000,"1",TSTE490,,,,27242465.530338998883963,20999.228327031301887
5632,2534,1,,,N,N,Y,Y,Y,"6","6","6",58706,63986,63986,,,,26,,2300,,"2",,1997/01/30 03:00:00.000,,2013/06/12 14:32:37.000,"1",JDUG490,,CLEAR LIST 11 CEP&RI,,3535505.938273500185460,7967.022008162660313
7996,2533,1,,,N,N,Y,Y,Y,"6","6","6",58706,63986,63986,,,,26,,2300,,"2",,1997/01/30 03:00:00.000,,2022/11/30 19:39:50.000,"1",TSTE490,,CLEAR LIST 11 CEP&RI,,1753833.267561000073329,5297.849072352009898
18404,2001,2,,,N,N,Y,N,Y,"3","3","3",999999,999999,999999,,,,37,,1900,,"2",1997/01/30 03:00:00.000,2008/09/19 03:00:00.000,,2012/09/07 23:05:29.000,"0",CADASTRE_GDB,,US PATENT NO 46-70-0087,02-081525,5419484.457964999601245,10648.057803335601420
4375,6229,1,,,N,N,Y,Y,Y,"3","3","3",58706,63986,63986,,,,5,,200,,"1",1997/01/30 03:00:00.000,,,2011/06/29 03:00:00.000,"1",jdug490,,,,659551.233510000049137,3672.033233617050428
17845,2134,1,,,N,N,Y,Y,Y,"1","1","1",58706,63986,63986,,,,37,,1900,,"1",1997/01/30 03:00:00.000,,,2023/10/18 19:32:34.000,"1",TSTE490,,WHATCOM COUNTY FOREST BOARD LAND,,10412397.576171999797225,15795.919696068500343
14166,8079,1,,,N,N,Y,N,Y,"3","0","3",58706,63986,63986,,,,27,,900,,"1",1997/01/30 03:00:00.000,,,2019/04/11 19:55:45.000,"1",TSTE490,,,,339468.882666499994230,2484.822253424089922
6021,12763,1,,,N,N,Y,Y,Y,"3","3","3",58706,63986,63986,,,,29,,1900,,"1",1997/01/30 03:00:00.000,,,2013/02/25 20:18:16.000,"1",JDUG490,,,,6825519.383488499559462,10450.583899735300292
6052,13223,1,,,N,N,Y,N,Y,"3","0","3",58706,63986,63986,,,,29,,1900,,"1",1997/01/30 03:00:00.000,,,2013/02/25 20:18:16.000,"1",JDUG490,,,,4222103.324606999754906,10084.861188763799873
694,13129,1,,,N,N,Y,N,Y,"3","0","3",58706,63986,63986,,,,29,,1900,,"1",1997/01/30 03:00:00.000,,,2015/01/05 20:12:00.000,"1",JDUG490,,,,22651235.525628000497818,21122.333988314701855
18207,1454,2,,,N,N,Y,N,Y,"3","3","3",999999,999999,999999,,,,29,,1900,,"2",1997/01/30 03:00:00.000,2021/03/05 03:00:00.000,,2022/08/03 19:37:17.000,"0",TSTE490,,US PATENT NO 46-70-0090,02-099591,22890718.512337498366833,28310.346398564801348
13088,13130,1,,,N,N,Y,N,Y,"4","0","4",58706,63986,63986,,,,29,,1900,,"1",1997/01/30 03:00:00.000,,,2013/02/21 20:25:20.000,"1",JDUG490,,,,4814319.471836499869823,12629.307904742603569
13317,13127,1,,,N,N,Y,N,Y,"3","0","3",58706,63986,63986,,,,29,,1900,,"1",1997/01/30 03:00:00.000,,,2013/02/25 20:18:16.000,"1",JDUG490,,,,8714462.099658999592066,14867.644817454998702
