OBJECTID,OwnershipT,FundCode,SurfaceOwn,Subsurface,Subsurfa_1,SurfaceAcr,ControlSou,PolygonID,Acquisitio,Township_T,Range_Temp,FirstDivis,ParcelName,Calculated,IsActive,IsAuto,GlobalID,CreateDate,UpdateDate,CreateUser,UpdateUser,Access,Shape.STAr,Shape.STLe,gis_acres
406,"0",AF,Y,"1",0.000000000000000,0.000000000000000,,PG00052B,AQ52,"2","3","15",,26.543986310000001,"1","0",{38807C96-2250-4202-B36B-E6DFDBDDE6A6},2009/06/19 02:00:00.000,2021/07/15 00:15:00.000,tstore,SDE,"1",107419.701715984992916,1673.279691300552258,26.576
407,"0",DQ,Y,"1",0.000000000000000,0.000000000000000,,PG00090C,AQ90,"1","4","4",,5.826652470000000,"1","0",{B11A2701-2993-43DC-81A5-72F60A6C8F8E},2009/06/19 02:00:00.000,2021/07/15 00:15:00.000,tstore,SDE,"1",23579.626026130001264,830.537303890531575,5.834
438,"0",DQ,Y,"1",0.000000000000000,0.000000000000000,,PG00091A,AQ91,"1","4","9",,59.235173549999999,"1","0",{53D7C37D-DCAA-4114-81DA-E6F2CF5491DE},2009/06/19 02:00:00.000,2021/07/15 00:15:01.000,tstore,SDE,"1",239716.242993705003755,1994.778802821013414,59.307
614,"0",FL,Y,"1",20.000000000000000,20.000000000000000,,PG00112A,AQ112,"5","4","29",,20.086831140000001,"1","0",{8FD59BE8-A782-4A06-9EB0-CE7BF2355769},2009/06/19 02:00:00.000,2021/07/15 00:15:07.000,tstore,SDE,"1",81288.521775285000331,1209.310903705323426,20.110
615,"0",FL,Y,"1",20.000000000000000,20.000000000000000,,PG00112B,AQ112,"5","4","29",,20.113350459999999,"1","0",{8A4C9E2A-7621-4FBF-BB05-C92268CEB42E},2009/06/19 02:00:00.000,2021/07/15 00:15:07.000,tstore,SDE,"1",81395.841662199993152,1210.086306642260752,20.137
2202,"0",DQ,Y,"1",0.000000000000000,0.000000000000000,,PG00090A,AQ90,"1","4","4",,32.592861470000003,"1","0",{4CA90ADF-4EC3-4A93-8522-9F944DDA61F1},2009/06/19 02:00:00.000,2021/07/15 00:16:12.000,tstore,SDE,"1",131898.631030054995790,1555.067725151449622,32.632
3270,"0",DQ,Y,"1",0.000000000000000,0.000000000000000,"26",PG00091B,AQ91,"1","4","9",,40.075948949999997,"1","0",{6F701AEF-6A72-4B47-9CB3-223D34F6024D},2009/06/19 02:00:00.000,2021/07/15 00:16:55.000,tstore,SDE,"1",162181.611711139994441,1610.882026017082126,40.125
3271,"0",FL,Y,"1",80.000000000000000,80.000000000000000,"26",PG00046A,AQ46,"1","3","18",,79.486946849999995,"1","0",{A8CEF85D-238D-4E27-A31A-48E2AEC95BA9},2009/06/19 02:00:00.000,2021/07/15 00:16:55.000,tstore,SDE,"1",321672.261994494998362,2405.462564724972253,79.584
3272,"0",CR,N,"1",80.000000000000000,80.000000000000000,"26",PG00004A,AQ4,"1","1","22",,80.815920849999998,"1","0",{65D4318C-A4C2-4A73-A224-A557B26BB472},2009/06/19 02:00:00.000,2021/07/15 00:16:55.000,tstore,SDE,"4",327050.428962155012414,2429.022742151274997,80.914
3273,"0",FL,Y,"1",39.710000000000001,39.710000000000001,"26",PG00087B,AQ87,"1","4","32",,39.452302500000002,"1","0",{4EBBCA4C-C918-403D-9B42-550AAB875A25},2009/06/19 02:00:00.000,2021/07/15 00:16:55.000,tstore,SDE,"1",159657.804081774986116,1628.032135207599595,39.500
