OBJECTID,state,managing_agency,rights_type,state_enabling_act,FundCode,township,range,section,gis_acres,trust_name,,,
406,WY,Office of State Lands and Investment,Subsurface,26 Stat. 222-226 (1890),AF,2,3,15,26.576,Acquired Farm Loan,,AD,Adjutant General
407,WY,Office of State Lands and Investment,Subsurface,26 Stat. 222-226 (1890),DQ,1,4,4,5.834,Department of Environmental Quality,,AF,Acquired Farm Loan
438,WY,Office of State Lands and Investment,Subsurface,26 Stat. 222-226 (1890),DQ,1,4,9,59.307,Department of Environmental Quality,,AG,Agricultural College
614,WY,Office of State Lands and Investment,Subsurface,26 Stat. 222-226 (1890),FL,5,4,29,20.11,Farm Loan,,AI,Administration and Information
615,WY,Office of State Lands and Investment,Subsurface,26 Stat. 222-226 (1890),FL,5,4,29,20.137,Farm Loan,,AT,Attorney General
2202,WY,Office of State Lands and Investment,Subsurface,26 Stat. 222-226 (1890),DQ,1,4,4,32.632,Department of Environmental Quality,,CA,Carey Act
3270,WY,Office of State Lands and Investment,Subsurface,26 Stat. 222-226 (1890),DQ,1,4,9,40.125,Department of Environmental Quality,,CD,Department of Corrections
3271,WY,Office of State Lands and Investment,Subsurface,26 Stat. 222-226 (1890),FL,1,3,18,79.584,Farm Loan,,CR,Board of Charities and Reform
3272,WY,Office of State Lands and Investment,Subsurface,26 Stat. 222-226 (1890),CR,1,1,22,80.914,Board of Charities and Reform,,CS,Common School
3273,WY,Office of State Lands and Investment,Subsurface,26 Stat. 222-226 (1890),FL,1,4,32,39.5,Farm Loan,,DA,Department of Agriculture
3464,WY,Office of State Lands and Investment,Subsurface,26 Stat. 222-226 (1890),DQ,1,4,9,40.14,Department of Environmental Quality,,DC,Department of Commerce
3465,WY,Office of State Lands and Investment,Subsurface,26 Stat. 222-226 (1890),CR,1,1,14,80.05,Board of Charities and Reform,,DD,"Deaf, Dumb and Blind"
8660,WY,Office of State Lands and Investment,Subsurface,26 Stat. 222-226 (1890),DQ,1,4,4,40.14,Department of Environmental Quality,,DE,Department of Education
8662,WY,Office of State Lands and Investment,Subsurface,26 Stat. 222-226 (1890),FL,1,3,33,159.51,Farm Loan,,DP,Department of Public Social Services
9083,WY,Office of State Lands and Investment,Subsurface,26 Stat. 222-226 (1890),FL,3,2,1,80.793,Farm Loan,,DQ,Department of Environmental Quality
9084,WY,Office of State Lands and Investment,Subsurface,26 Stat. 222-226 (1890),FL,3,2,1,40.065,Farm Loan,,EC,Employment Security Commission
9085,WY,Office of State Lands and Investment,Subsurface,26 Stat. 222-226 (1890),FL,3,2,1,40.263,Farm Loan,,ES,Escheat
9086,WY,Office of State Lands and Investment,Subsurface,26 Stat. 222-226 (1890),FL,3,2,1,40.069,Farm Loan,,FD,Forestry Division
9089,WY,Office of State Lands and Investment,Subsurface,26 Stat. 222-226 (1890),FL,3,1,7,39.962,Farm Loan,,FH,Fish Hatchery
9095,WY,Office of State Lands and Investment,Subsurface,26 Stat. 222-226 (1890),FL,4,2,28,161.678,Farm Loan,,FL,Farm Loan
9111,WY,Office of State Lands and Investment,Subsurface,26 Stat. 222-226 (1890),FL,2,2,17,159.037,Farm Loan,,GA,Game and Fish Commission
