OBJECTID,state,managing_agency,rights_type,state_enabling_act,FundCode,township,range,section,gis_acres,trust_name
406,WY,Office of State Lands and Investment,Surface,26 Stat. 222-226 (1890),AF,2,3,15,26.576,Acquired Farm Loan
407,WY,Office of State Lands and Investment,Surface,26 Stat. 222-226 (1890),DQ,1,4,4,5.834,Department of Environmental Quality
436,WY,Office of State Lands and Investment,Surface,26 Stat. 222-226 (1890),AF,3,1,14,99.597,Acquired Farm Loan
438,WY,Office of State Lands and Investment,Surface,26 Stat. 222-226 (1890),DQ,1,4,9,59.307,Department of Environmental Quality
592,WY,Office of State Lands and Investment,Surface,26 Stat. 222-226 (1890),AF,3,2,12,40.228,Acquired Farm Loan
600,WY,Office of State Lands and Investment,Surface,26 Stat. 222-226 (1890),AF,3,2,12,20.078,Acquired Farm Loan
601,WY,Office of State Lands and Investment,Surface,26 Stat. 222-226 (1890),AF,3,2,23,5.026,Acquired Farm Loan
602,WY,Office of State Lands and Investment,Surface,26 Stat. 222-226 (1890),AF,2,3,17,10.069,Acquired Farm Loan
612,WY,Office of State Lands and Investment,Surface,26 Stat. 222-226 (1890),AF,3,2,,262.962,Acquired Farm Loan
614,WY,Office of State Lands and Investment,Surface,26 Stat. 222-226 (1890),FL,5,4,29,20.11,Farm Loan
615,WY,Office of State Lands and Investment,Surface,26 Stat. 222-226 (1890),FL,5,4,29,20.137,Farm Loan
658,WY,Office of State Lands and Investment,Surface,26 Stat. 222-226 (1890),AF,3,2,23,19.878,Acquired Farm Loan
659,WY,Office of State Lands and Investment,Surface,26 Stat. 222-226 (1890),AF,3,2,23,20.049,Acquired Farm Loan
2202,WY,Office of State Lands and Investment,Surface,26 Stat. 222-226 (1890),DQ,1,4,4,32.632,Department of Environmental Quality
2266,WY,Office of State Lands and Investment,Surface,26 Stat. 222-226 (1890),AF,3,2,12,40.151,Acquired Farm Loan
2267,WY,Office of State Lands and Investment,Surface,26 Stat. 222-226 (1890),AF,3,2,14,9.946,Acquired Farm Loan
2268,WY,Office of State Lands and Investment,Surface,26 Stat. 222-226 (1890),AF,3,2,23,10.052,Acquired Farm Loan
3270,WY,Office of State Lands and Investment,Surface,26 Stat. 222-226 (1890),DQ,1,4,9,40.125,Department of Environmental Quality
3271,WY,Office of State Lands and Investment,Surface,26 Stat. 222-226 (1890),FL,1,3,18,79.584,Farm Loan
3273,WY,Office of State Lands and Investment,Surface,26 Stat. 222-226 (1890),FL,1,4,32,39.5,Farm Loan
3275,WY,Office of State Lands and Investment,Surface,26 Stat. 222-226 (1890),FL,1,4,25,40.281,Farm Loan
3276,WY,Office of State Lands and Investment,Surface,26 Stat. 222-226 (1890),FL,1,4,24,39.644,Farm Loan
3464,WY,Office of State Lands and Investment,Surface,26 Stat. 222-226 (1890),DQ,1,4,9,40.14,Department of Environmental Quality
3516,WY,Office of State Lands and Investment,Surface,26 Stat. 222-226 (1890),FL,1,1,19,79.998,Farm Loan
8660,WY,Office of State Lands and Investment,Surface,26 Stat. 222-226 (1890),DQ,1,4,4,40.14,Department of Environmental Quality
8662,WY,Office of State Lands and Investment,Surface,26 Stat. 222-226 (1890),FL,1,3,33,159.51,Farm Loan
8663,WY,Office of State Lands and Investment,Surface,26 Stat. 222-226 (1890),FL,1,1,20,79.779,Farm Loan
9082,WY,Office of State Lands and Investment,Surface,26 Stat. 222-226 (1890),AF,3,3,17,40.208,Acquired Farm Loan
9083,WY,Office of State Lands and Investment,Surface,26 Stat. 222-226 (1890),FL,3,2,1,80.793,Farm Loan
9084,WY,Office of State Lands and Investment,Surface,26 Stat. 222-226 (1890),FL,3,2,1,40.065,Farm Loan
9085,WY,Office of State Lands and Investment,Surface,26 Stat. 222-226 (1890),FL,3,2,1,40.263,Farm Loan
9086,WY,Office of State Lands and Investment,Surface,26 Stat. 222-226 (1890),FL,3,2,1,40.069,Farm Loan
9088,WY,Office of State Lands and Investment,Surface,26 Stat. 222-226 (1890),AF,3,2,12,40.265,Acquired Farm Loan
9089,WY,Office of State Lands and Investment,Surface,26 Stat. 222-226 (1890),FL,3,1,7,39.962,Farm Loan
9090,WY,Office of State Lands and Investment,Surface,26 Stat. 222-226 (1890),AF,3,1,15,80.252,Acquired Farm Loan
9091,WY,Office of State Lands and Investment,Surface,26 Stat. 222-226 (1890),AF,3,1,14,40.152,Acquired Farm Loan
9111,WY,Office of State Lands and Investment,Surface,26 Stat. 222-226 (1890),FL,2,2,17,159.037,Farm Loan
9112,WY,Office of State Lands and Investment,Surface,26 Stat. 222-226 (1890),AF,3,3,20,40.123,Acquired Farm Loan
9113,WY,Office of State Lands and Investment,Surface,26 Stat. 222-226 (1890),FL,3,2,1,80.492,Farm Loan
