state,managing_agency,rights_type,state_enabling_act,OBJECTID,FundCode,,acres,township,range,section,,,
WY,Office of State Lands and Investment,Subsurface,26 Stat. 222-226 (1890),406,AF,Acquired Farm Loan,0,2,3,15,,AD,Adjutant General
WY,Office of State Lands and Investment,Subsurface,27 Stat. 222-226 (1890),407,DQ,Department of Environmental Quality,0,1,4,4,,AF,Acquired Farm Loan
WY,Office of State Lands and Investment,Subsurface,28 Stat. 222-226 (1890),438,DQ,Department of Environmental Quality,0,1,4,9,,AG,Agricultural College
WY,Office of State Lands and Investment,Subsurface,29 Stat. 222-226 (1890),614,FL,Farm Loan,20.000000000000000,5,4,29,,AI,Administration and Information
WY,Office of State Lands and Investment,Subsurface,30 Stat. 222-226 (1890),615,FL,Farm Loan,20.000000000000000,5,4,29,,AT,Attorney General
WY,Office of State Lands and Investment,Subsurface,31 Stat. 222-226 (1890),2202,DQ,Department of Environmental Quality,0,1,4,4,,CA,Carey Act
WY,Office of State Lands and Investment,Subsurface,32 Stat. 222-226 (1890),3270,DQ,Department of Environmental Quality,0,1,4,9,,CD,Department of Corrections
WY,Office of State Lands and Investment,Subsurface,33 Stat. 222-226 (1890),3271,FL,Farm Loan,80.000000000000000,1,3,18,,CR,Board of Charities and Reform
WY,Office of State Lands and Investment,Subsurface,34 Stat. 222-226 (1890),3272,CR,Board of Charities and Reform,80.000000000000000,1,1,22,,CS,Common School
WY,Office of State Lands and Investment,Subsurface,35 Stat. 222-226 (1890),3273,FL,Farm Loan,39.710000000000001,1,4,32,,DA,Department of Agriculture
WY,Office of State Lands and Investment,Subsurface,36 Stat. 222-226 (1890),3464,DQ,Department of Environmental Quality,0,1,4,9,,DC,Department of Commerce
WY,Office of State Lands and Investment,Subsurface,37 Stat. 222-226 (1890),3465,CR,Board of Charities and Reform,80.000000000000000,1,1,14,,DD,"Deaf, Dumb and Blind"
WY,Office of State Lands and Investment,Subsurface,38 Stat. 222-226 (1890),8660,DQ,Department of Environmental Quality,0,1,4,4,,DE,Department of Education
WY,Office of State Lands and Investment,Subsurface,39 Stat. 222-226 (1890),8662,FL,Farm Loan,160.000000000000000,1,3,33,,DP,Department of Public Social Services
WY,Office of State Lands and Investment,Subsurface,40 Stat. 222-226 (1890),9083,FL,Farm Loan,80.000000000000000,3,2,1,,DQ,Department of Environmental Quality
WY,Office of State Lands and Investment,Subsurface,41 Stat. 222-226 (1890),9084,FL,Farm Loan,40.000000000000000,3,2,1,,EC,Employment Security Commission
WY,Office of State Lands and Investment,Subsurface,42 Stat. 222-226 (1890),9085,FL,Farm Loan,39.960000000000001,3,2,1,,ES,Escheat
WY,Office of State Lands and Investment,Subsurface,43 Stat. 222-226 (1890),9086,FL,Farm Loan,39.960000000000001,3,2,1,,FD,Forestry Division
WY,Office of State Lands and Investment,Subsurface,44 Stat. 222-226 (1890),9089,FL,Farm Loan,40.000000000000000,3,1,7,,FH,Fish Hatchery
WY,Office of State Lands and Investment,Subsurface,45 Stat. 222-226 (1890),9095,FL,Farm Loan,160.000000000000000,4,2,28,,FL,Farm Loan
WY,Office of State Lands and Investment,Subsurface,46 Stat. 222-226 (1890),9111,FL,Farm Loan,160.000000000000000,2,2,17,,GA,Game and Fish Commission
WY,Office of State Lands and Investment,Subsurface,47 Stat. 222-226 (1890),9113,FL,Farm Loan,80.000000000000000,3,2,1,,GF,General Fund
WY,Office of State Lands and Investment,Subsurface,48 Stat. 222-226 (1890),9114,GA,Game and Fish Commission,20.000000000000000,3,2,27,,HB,State Home for the Blind
WY,Office of State Lands and Investment,Subsurface,49 Stat. 222-226 (1890),9115,GA,Game and Fish Commission,282.500000000000000,3,2,27,,HC,Department of Transportation
WY,Office of State Lands and Investment,Subsurface,50 Stat. 222-226 (1890),9116,FL,Farm Loan,35.280000000000001,3,1,7,,IA,Insane Asylum
WY,Office of State Lands and Investment,Subsurface,51 Stat. 222-226 (1890),9117,FL,Farm Loan,35.210000000000001,3,1,6,,LB,Wyoming Livestock and Sanitary Board
WY,Office of State Lands and Investment,Subsurface,52 Stat. 222-226 (1890),9122,FL,Farm Loan,80.000000000000000,4,2,21,,MD,Military Department
WY,Office of State Lands and Investment,Subsurface,53 Stat. 222-226 (1890),9124,FL,Farm Loan,27.280000000000001,5,4,29,,MH,Miners Hospital
WY,Office of State Lands and Investment,Subsurface,54 Stat. 222-226 (1890),9129,FL,Farm Loan,40.000000000000000,4,2,21,,OM,Omnibus
WY,Office of State Lands and Investment,Subsurface,55 Stat. 222-226 (1890),9219,FL,Farm Loan,80.000000000000000,3,2,12,,PB,Public Buildings at Capitol
WY,Office of State Lands and Investment,Subsurface,56 Stat. 222-226 (1890),9226,FL,Farm Loan,80.000000000000000,4,2,36,,PC,State Parks and Cultural Resources
WY,Office of State Lands and Investment,Subsurface,57 Stat. 222-226 (1890),9227,FL,Farm Loan,80.000000000000000,4,2,16,,PE,Penitentiary
WY,Office of State Lands and Investment,Subsurface,58 Stat. 222-226 (1890),9228,FL,Farm Loan,40.000000000000000,4,2,16,,PF,Poor Farm
