state,managing_agency,rights_type,state_enabling_act,OBJECTID,FundCode,trust_name,acres,township,range,section,,,,,,,
WY,Office of State Lands and Investment,Surface,26 Stat. 222-226 (1890),406,AF,Acquired Farm Loan,0,2,3,15,,AD,Adjutant General,,,,
WY,Office of State Lands and Investment,Surface,27 Stat. 222-226 (1890),407,DQ,Department of Environmental Quality,0,1,4,4,,AF,Acquired Farm Loan,,,,
WY,Office of State Lands and Investment,Surface,28 Stat. 222-226 (1890),436,AF,Acquired Farm Loan,101.200000000000003,3,1,14,,AG,Agricultural College,,,,
WY,Office of State Lands and Investment,Surface,29 Stat. 222-226 (1890),438,DQ,Department of Environmental Quality,0,1,4,9,,AI,Administration and Information,,,,
WY,Office of State Lands and Investment,Surface,30 Stat. 222-226 (1890),592,AF,Acquired Farm Loan,40.000000000000000,3,2,12,,AT,Attorney General,,,,
WY,Office of State Lands and Investment,Surface,31 Stat. 222-226 (1890),600,AF,Acquired Farm Loan,20.000000000000000,3,2,12,,CA,Carey Act,,,,
WY,Office of State Lands and Investment,Surface,32 Stat. 222-226 (1890),601,AF,Acquired Farm Loan,5.000000000000000,3,2,23,,CD,Department of Corrections,,,,
WY,Office of State Lands and Investment,Surface,33 Stat. 222-226 (1890),602,AF,Acquired Farm Loan,10.000000000000000,2,3,17,,CR,Board of Charities and Reform,,,,
WY,Office of State Lands and Investment,Surface,34 Stat. 222-226 (1890),612,AF,Acquired Farm Loan,262.680000000000007,3,2,,,CS,Common School,,,,
WY,Office of State Lands and Investment,Surface,35 Stat. 222-226 (1890),614,FL,Farm Loan,20.000000000000000,5,4,29,,DA,Department of Agriculture,,,,
WY,Office of State Lands and Investment,Surface,36 Stat. 222-226 (1890),615,FL,Farm Loan,20.000000000000000,5,4,29,,DC,Department of Commerce,,,,
WY,Office of State Lands and Investment,Surface,37 Stat. 222-226 (1890),658,AF,Acquired Farm Loan,20.000000000000000,3,2,23,,DD,"Deaf, Dumb and Blind",,,,
WY,Office of State Lands and Investment,Surface,38 Stat. 222-226 (1890),659,AF,Acquired Farm Loan,20.000000000000000,3,2,23,,DE,Department of Education,,,,
WY,Office of State Lands and Investment,Surface,39 Stat. 222-226 (1890),2202,DQ,Department of Environmental Quality,0,1,4,4,,DP,Department of Public Social Services,,,,
WY,Office of State Lands and Investment,Surface,40 Stat. 222-226 (1890),2266,AF,Acquired Farm Loan,40.000000000000000,3,2,12,,DQ,Department of Environmental Quality,,,,
WY,Office of State Lands and Investment,Surface,41 Stat. 222-226 (1890),2267,AF,Acquired Farm Loan,10.000000000000000,3,2,14,,EC,Employment Security Commission,,,,
WY,Office of State Lands and Investment,Surface,42 Stat. 222-226 (1890),2268,AF,Acquired Farm Loan,10.000000000000000,3,2,23,,ES,Escheat,,,,
WY,Office of State Lands and Investment,Surface,43 Stat. 222-226 (1890),3270,DQ,Department of Environmental Quality,0,1,4,9,,FD,Forestry Division,,,,
WY,Office of State Lands and Investment,Surface,44 Stat. 222-226 (1890),3271,FL,Farm Loan,80.000000000000000,1,3,18,,FH,Fish Hatchery,,,,
WY,Office of State Lands and Investment,Surface,45 Stat. 222-226 (1890),3273,FL,Farm Loan,39.710000000000001,1,4,32,,FL,Farm Loan,,,,
WY,Office of State Lands and Investment,Surface,46 Stat. 222-226 (1890),3275,FL,Farm Loan,40.000000000000000,1,4,25,,GA,Game and Fish Commission,,,,
WY,Office of State Lands and Investment,Surface,47 Stat. 222-226 (1890),3276,FL,Farm Loan,40.000000000000000,1,4,24,,GF,General Fund,,,,
WY,Office of State Lands and Investment,Surface,48 Stat. 222-226 (1890),3464,DQ,Department of Environmental Quality,40.000000000000000,1,4,9,,HB,State Home for the Blind,,,,
WY,Office of State Lands and Investment,Surface,49 Stat. 222-226 (1890),3516,FL,Farm Loan,80.000000000000000,1,1,19,,HC,Department of Transportation,,,,
WY,Office of State Lands and Investment,Surface,50 Stat. 222-226 (1890),8660,DQ,Department of Environmental Quality,40.000000000000000,1,4,4,,IA,Insane Asylum,,,,
WY,Office of State Lands and Investment,Surface,51 Stat. 222-226 (1890),8662,FL,Farm Loan,160.000000000000000,1,3,33,,LB,Wyoming Livestock and Sanitary Board,,,,
WY,Office of State Lands and Investment,Surface,52 Stat. 222-226 (1890),8663,FL,Farm Loan,80.000000000000000,1,1,20,,MD,Military Department,,,,
WY,Office of State Lands and Investment,Surface,53 Stat. 222-226 (1890),9082,AF,Acquired Farm Loan,40.000000000000000,3,3,17,,MH,Miners Hospital,,,,
WY,Office of State Lands and Investment,Surface,54 Stat. 222-226 (1890),9083,FL,Farm Loan,80.000000000000000,3,2,1,,OM,Omnibus,,,,
WY,Office of State Lands and Investment,Surface,55 Stat. 222-226 (1890),9084,FL,Farm Loan,40.000000000000000,3,2,1,,PB,Public Buildings at Capitol,,,,
WY,Office of State Lands and Investment,Surface,56 Stat. 222-226 (1890),9085,FL,Farm Loan,39.960000000000001,3,2,1,,PC,State Parks and Cultural Resources,,,,
