OBJECTID,OwnershipT,FundCode,SurfaceOwn,Subsurface,Subsurfa_1,SurfaceAcr,ControlSou,PolygonID,Acquisitio,Township_T,Range_Temp,FirstDivis,ParcelName,Calculated,IsActive,IsAuto,GlobalID,CreateDate,UpdateDate,CreateUser,UpdateUser,Access,Shape.STAr,Shape.STLe
406,"0",AF,Y,"1",0.000000000000000,0.000000000000000,,PG00052B,AQ52,"2","3","15",,26.543986310000001,"1","0",{38807C96-2250-4202-B36B-E6DFDBDDE6A6},2009/06/19 02:00:00.000,2021/07/15 00:15:00.000,tstore,SDE,"1",107419.701715984992916,1673.279691300552258
407,"0",DQ,Y,"1",0.000000000000000,0.000000000000000,,PG00090C,AQ90,"1","4","4",,5.826652470000000,"1","0",{B11A2701-2993-43DC-81A5-72F60A6C8F8E},2009/06/19 02:00:00.000,2021/07/15 00:15:00.000,tstore,SDE,"1",23579.626026130001264,830.537303890531575
436,"0",AF,Y,"2",0.000000000000000,101.200000000000003,,PG00007A,AQ7,"3","1","14",,99.477519400000006,"1","0",{15552F2B-F3CF-4DA9-93CB-F47D56E222AE},2009/06/19 02:00:00.000,2021/07/15 00:15:01.000,tstore,SDE,"1",402571.239030690048821,3213.083676923708936
438,"0",DQ,Y,"1",0.000000000000000,0.000000000000000,,PG00091A,AQ91,"1","4","9",,59.235173549999999,"1","0",{53D7C37D-DCAA-4114-81DA-E6F2CF5491DE},2009/06/19 02:00:00.000,2021/07/15 00:15:01.000,tstore,SDE,"1",239716.242993705003755,1994.778802821013414
592,"0",AF,Y,"2",0.000000000000000,40.000000000000000,,PG00022B,AQ22,"3","2","12",,40.180018779999997,"1","0",{66449EA4-712C-4AE8-AD1D-611F588CA906},2009/06/19 02:00:00.000,2021/07/15 00:15:06.000,tstore,SDE,"1",162602.767360280005960,1613.016281835085465
600,"0",AF,Y,"2",0.000000000000000,20.000000000000000,,PG00022D,AQ22,"3","2","12",,20.054368510000000,"1","0",{91673143-8DD4-4F6D-8A77-2A55186121F1},2009/06/19 02:00:00.000,2021/07/15 00:15:07.000,tstore,SDE,"1",81157.150160460005281,1819.153376636495523
601,"0",AF,Y,"2",0.000000000000000,5.000000000000000,,PG00025F,AQ25,"3","2","23",,5.019935060000000,"1","0",{A28C741D-8539-49B3-8D7F-92CD1676E0B3},2009/06/19 02:00:00.000,2021/07/15 00:15:07.000,tstore,SDE,"1",20314.956498974999704,604.291235596834213
602,"0",AF,Y,"4",0.000000000000000,10.000000000000000,,PG00054C,AQ54,"2","3","17",,10.057309480000001,"1","0",{ACBBF310-7BC5-4418-8DB2-7A5BC5591B06},2009/06/19 02:00:00.000,2021/07/15 00:15:07.000,tstore,SDE,"4",40700.487569595010427,1008.677460561897760
612,"0",AF,Y,"2",0.000000000000000,262.680000000000007,,PG00020A,AQ20,"3","2",,,262.648012670000014,"1","0",{AEDAA5E3-CA76-44AC-843A-C3E14B2E9FC9},2009/06/19 02:00:00.000,2021/07/15 00:15:07.000,tstore,SDE,"1",1062898.798939394997433,5549.520477475604821
614,"0",FL,Y,"1",20.000000000000000,20.000000000000000,,PG00112A,AQ112,"5","4","29",,20.086831140000001,"1","0",{8FD59BE8-A782-4A06-9EB0-CE7BF2355769},2009/06/19 02:00:00.000,2021/07/15 00:15:07.000,tstore,SDE,"1",81288.521775285000331,1209.310903705323426
615,"0",FL,Y,"1",20.000000000000000,20.000000000000000,,PG00112B,AQ112,"5","4","29",,20.113350459999999,"1","0",{8A4C9E2A-7621-4FBF-BB05-C92268CEB42E},2009/06/19 02:00:00.000,2021/07/15 00:15:07.000,tstore,SDE,"1",81395.841662199993152,1210.086306642260752
658,"0",AF,Y,"2",0.000000000000000,20.000000000000000,,PG00025B,AQ25,"3","2","23",,19.854374979999999,"1","0",{F840BE20-F6DE-40A8-92E6-A8BEAB712740},2009/06/19 02:00:00.000,2021/07/15 00:15:09.000,tstore,SDE,"1",80347.805065130000003,1203.929164870020713
659,"0",AF,Y,"2",0.000000000000000,20.000000000000000,,PG00025D,AQ25,"3","2","23",,20.025309379999999,"1","0",{48741E32-AEB5-4C60-8547-66BD0595739C},2009/06/19 02:00:00.000,2021/07/15 00:15:09.000,tstore,SDE,"1",81039.552043724994292,1208.148922796896613
2202,"0",DQ,Y,"1",0.000000000000000,0.000000000000000,,PG00090A,AQ90,"1","4","4",,32.592861470000003,"1","0",{4CA90ADF-4EC3-4A93-8522-9F944DDA61F1},2009/06/19 02:00:00.000,2021/07/15 00:16:12.000,tstore,SDE,"1",131898.631030054995790,1555.067725151449622
2266,"0",AF,Y,"2",0.000000000000000,40.000000000000000,,PG00022C,AQ22,"3","2","12",,40.103070299999999,"1","0",{2280D07F-7AB0-4982-85B6-440FE1257EA9},2009/06/19 02:00:00.000,2021/07/15 00:16:14.000,tstore,SDE,"1",162291.367911395005649,2019.534558355762329
2267,"0",AF,Y,"2",0.000000000000000,10.000000000000000,,PG00023A,AQ23,"3","2","14",,9.933872729999999,"1","0",{6120753C-5EC0-48D4-881A-13AFD8F903DA},2009/06/19 02:00:00.000,2021/07/15 00:16:14.000,tstore,SDE,"1",40200.956768830008514,802.016308748887241
2268,"0",AF,Y,"2",0.000000000000000,10.000000000000000,,PG00025E,AQ25,"3","2","23",,10.039598489999999,"1","0",{185E3ABE-438F-45C4-BB2E-5CD395244A96},2009/06/19 02:00:00.000,2021/07/15 00:16:14.000,tstore,SDE,"1",40628.813718974997755,806.286992344170699
